seed,num_v,time,solution,dual_gap,rel_dual_gap,number_nodes,termination,ncalls
1,4,71.688,-496.9002969752026,0.0,0.0,1,Optimal (tree empty),5
2,4,159.519,-504.33739039654085,1.4398511251261539,0.0028549363036400196,3,Optimal (tolerance reached),10
3,4,69.834,-500.99490891263304,0.0,0.0,1,Optimal (tree empty),5
1,5,182.853,-523.3854306110235,1.1883736102016655,0.002270551568113589,3,Optimal (tolerance reached),11
2,5,240.601,-483.75700641436805,0.5868851258121026,0.0012131816553151871,3,Optimal (tolerance reached),11
3,5,74.226,-523.5145522650987,0.0,0.0,1,Optimal (tree empty),5
1,6,84.216,-454.6798118413621,0.0,0.0,1,Optimal (tree empty),5
2,6,89.691,-483.2098939161635,0.0,0.0,1,Optimal (tree empty),5
3,6,84.91,-499.7414190988706,0.0,0.0,1,Optimal (tree empty),5
1,7,529.332,-431.7489410568381,1.4925101301279824,0.0034568935513185177,5,Optimal (tolerance reached),24
2,7,467.16,-470.22474367989355,0.0,0.0,7,Optimal (tree empty),32
3,7,620.696,-434.1037578407427,2.4123930264244677,0.0055571807035807545,11,Optimal (tolerance reached),36
1,8,248.522,-469.0401713386133,1.5691557752666085,0.0033454613722921204,3,Optimal (tolerance reached),11
2,8,499.528,-419.6789235379473,6.551493040954597,0.015610726852148466,3,Optimal (tree empty),24
3,8,589.077,-450.7905027225901,0.0,0.0,7,Optimal (tree empty),38
