seed,num_v,time,solution,dual_gap,rel_dual_gap,number_nodes,termination,ncalls
1,4,84.297,-486.73062876289487,0.0,0.0,1,Optimal (tree empty),4
2,4,83.863,-495.94215241088,0.0,0.0,1,Optimal (tree empty),4
3,4,79.173,-498.8067467473449,0.0,0.0,1,Optimal (tree empty),4
1,5,88.826,-527.1405350432673,0.0,0.0,1,Optimal (tree empty),4
2,5,206.376,-483.98119436801915,2.8701656974208163,0.005930324836626489,3,Optimal (tolerance reached),10
3,5,362.152,-491.53486808832656,2.0467929795077,0.004164085016934954,5,Optimal (tolerance reached),18
1,6,345.457,-445.1219397331901,4.242298510902231,0.009530643475909322,5,Optimal (tolerance reached),21
2,6,82.538,-481.93276609841007,0.0,0.0,1,Optimal (tree empty),4
3,6,87.535,-495.68266186258535,0.0,0.0,1,Optimal (tree empty),4
1,7,1772.669,-427.26006438281934,3.472919333555126,0.008128349974790615,17,Optimal (tolerance reached),87
2,7,214.749,-472.32085223404783,3.837099913354848,0.008123926553751772,3,Optimal (tolerance reached),11
3,7,401.578,-439.5435209749558,8.785619085901601,0.019988052756218844,3,Optimal (tree empty),22
1,8,323.322,-456.14136888070027,0.0,0.0,3,Optimal (tree empty),20
2,8,1969.099,-420.388405761544,5.5604327335136645,0.013226893647175648,17,Time limit reached,95
3,8,923.292,-454.4379759932601,1.8231946765679936,0.004011976931688107,11,Optimal (tolerance reached),61
