seed,dimension,time,solution,termination,calls
9,50,1800.001931,14.127326014252441,TIME_LIMIT,1671
10,50,1800.002021,2.414053344306489,TIME_LIMIT,1995
1,55,1800.004726,13.063665052617793,TIME_LIMIT,695
2,55,1800.003453,15.706078223086585,TIME_LIMIT,794
3,55,1800.006135,6.59800687213111,TIME_LIMIT,388
4,55,1800.001831,21.365184334010554,TIME_LIMIT,1898
6,55,1800.010327,26.440764199978254,TIME_LIMIT,284
7,55,1800.001497,3.523896116627275,TIME_LIMIT,2535
8,55,1800.003467,17.634603667223985,TIME_LIMIT,851
9,55,1800.00317,5.750496394400767,TIME_LIMIT,2972
10,55,1800.007301,4.809409336615266,TIME_LIMIT,578
1,60,1800.006348,17.298524774381658,TIME_LIMIT,514
2,60,1800.004569,18.494092304140867,TIME_LIMIT,542
3,60,1800.004136,5.707295646050133,TIME_LIMIT,764
4,60,1800.007984,14.24993490502217,TIME_LIMIT,468
5,60,1800.003092,18.59264273006885,TIME_LIMIT,1175
6,60,1800.001129,28.496503452677622,TIME_LIMIT,2219
7,60,1800.005691,2.6939846743286258,TIME_LIMIT,575
8,60,1800.006566,23.218345277199546,TIME_LIMIT,1021
9,60,1800.005823,4.185893974078489,TIME_LIMIT,945
10,60,1800.004742,3.4176504872121027,TIME_LIMIT,738
1,65,1800.008773,14.393100078346817,TIME_LIMIT,725
2,65,1800.004971,14.431297442745906,TIME_LIMIT,679
3,65,1800.005817,26.162494962684935,TIME_LIMIT,569
4,65,1800.002601,1.434588036948108,TIME_LIMIT,3684
5,65,1800.006855,21.18358287718135,TIME_LIMIT,573
6,65,1800.004168,5.403431767430432,TIME_LIMIT,923
7,65,1800.006377,17.478203381964914,TIME_LIMIT,441
8,65,1800.012702,11.639331205531674,TIME_LIMIT,275
9,65,1800.004825,17.8892516459915,TIME_LIMIT,1138
10,65,1800.006082,5.547762034018348,TIME_LIMIT,444
1,70,1800.011674,21.06053732017967,TIME_LIMIT,777
2,70,1800.006643,6.690108042998515,TIME_LIMIT,539
3,70,1800.006651,19.868830623986703,TIME_LIMIT,530
4,70,1800.004337,535.3046108458014,TIME_LIMIT,2573
5,70,1800.005972,4.708759686755691,TIME_LIMIT,460
6,70,1800.004428,5.169472575606235,TIME_LIMIT,611
7,70,1800.012079,3.7256596713356736,TIME_LIMIT,398
8,70,1800.00407,3.874598609232817,TIME_LIMIT,1227
9,70,1800.005597,18.447931681221572,TIME_LIMIT,650
10,70,1800.008277,20.872747351159376,TIME_LIMIT,386
1,75,1800.010014,21.54455820231983,TIME_LIMIT,402
