seed,n0,m0,M,time,solution,dual_gap,rel_dual_gap,termination,ncalls
1,5,50,20.0,4.897,3.7832568240600732,0.012835538379130984,0.0034042716732681695,OPTIMAL,432
2,5,50,20.0,5.006,5.452331495095906,8.913228993989719e-6,1.634758189772728e-6,OPTIMAL,395
3,5,50,20.0,6.412,2.951593366334075,1.526348986669035e-5,5.1712979751347595e-6,OPTIMAL,1423
4,5,50,20.0,6.568,2.7602201258493935,1.1635015452426956e-5,4.215266886926962e-6,OPTIMAL,1431
5,5,50,20.0,5.365,2.7548417925382047,6.358150407059782e-6,2.307996451509541e-6,OPTIMAL,384
6,5,50,20.0,10.88,1.893835835268943,8.771931446105441e-6,4.631854521418994e-6,OPTIMAL,4947
7,5,50,20.0,5.882,1.7685158153348035,6.526534871653666e-6,3.6904159412600073e-6,OPTIMAL,480
8,5,50,20.0,0.524,6.916214432417929,0.06408625492352993,0.009352751913488605,OPTIMAL,33
9,5,50,20.0,4.101,1.1585655366644907,1.001876198092333e-5,8.647632181720262e-6,OPTIMAL,335
10,5,50,20.0,11.895,4.333125343194689,0.03879500472495678,0.00903400569290653,OPTIMAL,816
1,6,60,20.0,19.531,5.461960938639965,0.07754878710253177,0.014402461200966747,OPTIMAL,1163
2,6,60,20.0,12.446,3.047681195692938,0.06650589472504276,0.022308615901738604,OPTIMAL,958
3,6,60,20.0,7.791,2.8841788118660294,1.479531299342085e-5,5.129844526353685e-6,OPTIMAL,629
4,6,60,20.0,9.343,3.7350558456147525,0.023566060357725238,0.006349488135825018,OPTIMAL,560
5,6,60,20.0,7.44,4.631797846437221,0.019189485830057862,0.004160224395797593,OPTIMAL,532
6,6,60,20.0,7.441,2.306592758527604,9.352773812754123e-6,4.054817089823655e-6,OPTIMAL,478
7,6,60,20.0,12.714,1.7454602042502534,2.054180212240908e-5,1.176884114893861e-5,OPTIMAL,840
8,6,60,20.0,4.142,6.820332553419049,0.0576556103048107,0.008525560335026158,OPTIMAL,277
9,6,60,20.0,13.502,0.5525107537770229,1.2439998439361943e-5,2.251590299757428e-5,OPTIMAL,1023
10,6,60,20.0,7.897,5.5753757181990835,0.024839407387570844,0.004475136454685983,OPTIMAL,561
1,7,70,20.0,12.64,5.1397486550323315,2.0300425864760996e-5,3.949707934771844e-6,OPTIMAL,1008
2,7,70,20.0,15.117,3.2852063967497984,2.09497595609065e-5,6.377040169863128e-6,OPTIMAL,1174
3,7,70,20.0,19.198,1.1115658488876181,0.03051734247756288,0.02822939238767818,OPTIMAL,2347
4,7,70,20.0,15.454,1.8430805575525198,0.11030315679157132,0.06365685329409983,OPTIMAL,1223
5,7,70,20.0,24.368,3.1735550613410988,2.1179066780785405e-5,6.673653903328548e-6,OPTIMAL,4588
6,7,70,20.0,52.53,2.4845738168464586,2.5079968275942832e-5,1.009437565207742e-5,OPTIMAL,3791
7,7,70,20.0,22.163,2.3499406351571013,0.05140680719988966,0.022365042695750407,OPTIMAL,1541
