seed,dimension,p,k,time,solution,dual_gap,rel_dual_gap,termination,ncalls
1,15,75,3.0,2.107,2.8156085839248965,0.0233097210292601,0.008347860373759466,OPTIMAL,555
2,15,75,3.0,4.274,2.510955015317064,0.024237680158538666,0.00974685776137622,OPTIMAL,1150
3,15,75,3.0,5.345,4.977486303591386,0.04601994154941913,0.009331898094984411,OPTIMAL,1455
4,15,75,3.0,22.736,3.570152937436937,0.03529164752539504,0.009983884693330695,OPTIMAL,6311
5,15,75,3.0,13.056,3.0960683648881093,0.030053206586877934,0.009802041097386268,OPTIMAL,3548
6,15,75,3.0,0.213,3.274959746910336,0.03226339559447666,0.009949558052632477,OPTIMAL,49
7,15,75,3.0,4.762,4.4719289037401655,0.041881045395555816,0.009453858453620779,OPTIMAL,1320
8,15,75,3.0,97.131,2.287455683965412,0.022626543830656765,0.009990397699188252,OPTIMAL,23487
9,15,75,3.0,0.216,4.3133398005811046,0.03486161002070265,0.008148133160434884,OPTIMAL,51
10,15,75,3.0,0.995,2.391722770462672,0.015092731759525968,0.006350475889702045,OPTIMAL,243
1,16,80,4.0,21.09,2.6633825943920137,0.02498410071398105,0.009469418957692103,OPTIMAL,5263
2,16,80,4.0,11.006,2.346449784313559,0.023047841446244277,0.009919868371032215,OPTIMAL,2674
3,16,80,4.0,19.291,5.091732867438444,0.04971172250288802,0.00985948314651969,OPTIMAL,4706
4,16,80,4.0,14.794,3.5972405325105408,0.03339940716280987,0.009371744134511896,OPTIMAL,3494
5,16,80,4.0,78.283,3.63769637900974,0.03583294910881696,0.009948447465095205,OPTIMAL,19012
6,16,80,4.0,0.635,3.452723946379324,0.025124863577081324,0.0073301640507326855,OPTIMAL,155
7,16,80,4.0,16.745,4.703793852904876,0.0465129215671487,0.009987141049227759,OPTIMAL,4042
8,16,80,4.0,1800.245,2.133833155360607,0.049632525193037846,0.023813698390949725,Time limit reached,353063
9,16,80,4.0,0.472,4.506263132840163,0.03289703924301435,0.007353978761116998,OPTIMAL,102
10,16,80,4.0,8.35,1.9988265865273447,0.01862355644052327,0.009404872206314484,OPTIMAL,1971
1,17,85,4.0,3.96,2.3474422755205793,0.021242122360709548,0.009131682986029649,OPTIMAL,939
2,17,85,4.0,31.121,2.510257899045362,0.02473293582465086,0.009950789547734915,OPTIMAL,7361
3,17,85,4.0,8.762,5.014570729546344,0.049483402521047104,0.009966270331582223,OPTIMAL,2081
4,17,85,4.0,23.342,3.9150015695258875,0.03790593354101679,0.009776888965337018,OPTIMAL,5581
5,17,85,4.0,50.575,3.8998167893942313,0.038564146880643246,0.009987470505307018,OPTIMAL,12292
6,17,85,4.0,0.475,3.193775533784988,0.024579705111687833,0.007755817702807427,OPTIMAL,106
7,17,85,4.0,6.678,4.518599214707445,0.03936344561504157,0.008787982514038888,OPTIMAL,1621
8,17,85,4.0,1800.67,1.9114825258867625,0.13764688387315416,0.07759844295207717,Time limit reached,307365
9,17,85,4.0,0.322,4.771345768384261,0.031210730803572062,0.006584354782327396,OPTIMAL,71
10,17,85,4.0,23.573,2.2440767386834564,0.021178773435590603,0.009527550866793407,OPTIMAL,5573
1,18,90,4.0,16.835,2.5444467333794374,0.025154109845073158,0.009984592345522757,OPTIMAL,4012
2,18,90,4.0,51.494,2.6345054709356903,0.02577352483925255,0.009879713735180276,OPTIMAL,11892
3,18,90,4.0,9.959,5.04847551003505,0.04835239155047244,0.009670240193030876,OPTIMAL,2296
4,18,90,4.0,101.017,4.028020637083428,0.03972289872408341,0.009959862911444548,OPTIMAL,23272
5,18,90,4.0,117.217,3.991629504656097,0.03951565918050637,0.00999861358390376,OPTIMAL,29186
6,18,90,4.0,1.715,3.655307345648596,0.03256290770994008,0.00898846393053008,OPTIMAL,365
7,18,90,4.0,9.32,4.62556213200753,0.04322975158793607,0.009434006091015515,OPTIMAL,2156
8,18,90,4.0,1307.676,2.0434252666920547,0.020219126185170744,0.00999360657342862,OPTIMAL,202079
9,18,90,4.0,0.281,4.705116246234705,0.03021932882899403,0.0064641700903565495,OPTIMAL,56
10,18,90,4.0,18.76,2.1813146857106016,0.02093496033336617,0.009690407703539527,OPTIMAL,4205
1,19,95,4.0,13.793,2.722326936292461,0.026200936771508143,0.009717994179857884,OPTIMAL,3135
2,19,95,4.0,11.053,2.8056349490336143,0.025978357143825015,0.009345887265219066,OPTIMAL,2534
3,19,95,4.0,12.963,5.181127574970973,0.04880700196877985,0.009509733711008194,OPTIMAL,2936
4,19,95,4.0,14.04,3.9361600595812054,0.038617536196402735,0.00990817571962384,OPTIMAL,3151
5,19,95,4.0,247.156,4.178160862783165,0.041352297326513465,0.009996183452097619,OPTIMAL,57159
6,19,95,4.0,1.689,3.5875915636396223,0.03344428984246273,0.009409933597583228,OPTIMAL,378
7,19,95,4.0,26.011,5.093563664756703,0.05018868010077249,0.009951407589851554,OPTIMAL,5677
8,19,95,4.0,1119.652,2.1470014564255115,0.02123830625160794,0.00999090902947983,OPTIMAL,190609
9,19,95,4.0,1.365,5.310003417992356,0.04916042711584989,0.009344591199757378,OPTIMAL,289
10,19,95,4.0,4.85,2.1517612804867037,0.02023564202243744,0.009493501582752216,OPTIMAL,1024
1,20,100,4.0,32.821,2.654499422520585,0.025026289859008344,0.00951760622618589,OPTIMAL,2161
2,20,100,4.0,165.893,3.1191382473600155,0.030830710451615673,0.009983044137657111,OPTIMAL,16606
3,20,100,4.0,62.848,5.18800102635046,0.05100962870852488,0.009929864537429466,OPTIMAL,4214
4,20,100,4.0,342.233,4.252012558500874,0.042065676674791774,0.009991973261321913,OPTIMAL,25417
5,20,100,4.0,109.755,4.1681319312766,0.040994118754339226,0.009932820423383455,OPTIMAL,10931
6,20,100,4.0,1.052,3.7097736428286248,0.028495338757847044,0.00774060975676214,OPTIMAL,137
7,20,100,4.0,88.501,5.183353910013434,0.05113909873314171,0.009964333258370464,OPTIMAL,8698
8,20,100,4.0,1800.176,2.4692161713401415,0.12979914063341447,0.055483540954732104,Time limit reached,110416
9,20,100,4.0,1.961,5.098485980297229,0.04851398158893172,0.009606782295296058,OPTIMAL,102
10,20,100,4.0,53.952,2.2411762901230188,0.02195557631783318,0.009893372110873579,OPTIMAL,3309
1,21,105,5.0,106.35,2.8240260478591983,0.027660721632205565,0.009891669508549838,OPTIMAL,8289
2,21,105,5.0,57.152,3.0547449239361724,0.03003855375425024,0.009931064400292039,OPTIMAL,3037
3,21,105,5.0,326.133,5.917432857407691,0.05810134842316472,0.00991603706567444,OPTIMAL,25491
4,21,105,5.0,124.832,4.4040904004188,0.043004969207030896,0.009861070113245076,OPTIMAL,8855
5,21,105,5.0,924.425,4.268244857783212,0.04212654250844583,0.009968140824686524,OPTIMAL,63705
6,21,105,5.0,3.427,3.4372800733085014,0.022668726988357868,0.006638742945895582,OPTIMAL,286
7,21,105,5.0,46.597,5.125226080112155,0.0506206972017047,0.009975297265907226,OPTIMAL,2514
8,21,105,5.0,1801.923,2.161884741888665,0.276289381383896,0.1465263370768658,Time limit reached,97015
9,21,105,5.0,1.895,4.948293389150535,0.04655997862703298,0.009498676228918047,OPTIMAL,119
10,21,105,5.0,58.766,1.86223669515536,0.018209342498298087,0.009874768111254,OPTIMAL,4680
1,22,110,5.0,73.992,2.833149522892048,0.02784672664636778,0.009926460232255458,OPTIMAL,6033
2,22,110,5.0,573.646,3.2455791672423677,0.031941312150307155,0.009939300440992638,OPTIMAL,34288
3,22,110,5.0,163.001,5.872043837599708,0.05808904394533165,0.009991313315461752,OPTIMAL,12098
4,22,110,5.0,180.53,4.397493315195604,0.04319893702896849,0.009920995981708819,OPTIMAL,12952
5,22,110,5.0,1232.319,4.387951913543736,0.04337302547117261,0.009983251907393652,OPTIMAL,76610
6,22,110,5.0,12.858,3.585870472421875,0.03484314323252358,0.009812130406914601,OPTIMAL,794
7,22,110,5.0,101.145,5.328576129934933,0.051883207692735134,0.009832523600916437,OPTIMAL,5154
8,22,110,5.0,1800.399,2.361419136915378,0.34356053151541355,0.17025996301030005,Time limit reached,89037
9,22,110,5.0,10.039,5.3574506821002155,0.052698342611832594,0.009934175855778988,OPTIMAL,789
10,22,110,5.0,212.715,2.0931169374023684,0.02037912668404651,0.009831984816730864,OPTIMAL,13198
1,23,115,5.0,76.604,3.009254643542085,0.02960575385269859,0.009935987409504764,OPTIMAL,4248
2,23,115,5.0,403.41,3.3639564519681846,0.03317103927495069,0.009958924147001405,OPTIMAL,22932
3,23,115,5.0,274.021,6.150088467900773,0.060783346720453935,0.009981984070568632,OPTIMAL,19831
4,23,115,5.0,591.343,4.6313633071927915,0.04580392644232667,0.009988732592713798,OPTIMAL,38848
5,23,115,5.0,725.34,4.260633793294362,0.04178297145251886,0.009903875063844393,OPTIMAL,46935
6,23,115,5.0,16.253,3.6780389906691457,0.03606764555924258,0.009903330405844853,OPTIMAL,1260
7,23,115,5.0,73.548,5.131105838383593,0.050326970701735974,0.009905365301737296,OPTIMAL,3800
8,23,115,5.0,1801.664,2.390833456618253,0.412328530073343,0.20840409570947993,Time limit reached,83925
9,23,115,5.0,10.544,5.301264060442235,0.0511083812881683,0.009734641106185857,OPTIMAL,524
10,23,115,5.0,843.956,2.175036125906605,0.021505697272312663,0.009986251871050162,OPTIMAL,48803
1,24,120,5.0,39.036,2.7933726237952254,0.026105678738665983,0.009433740675181742,OPTIMAL,2405
2,24,120,5.0,878.382,3.482510049977039,0.034435136422811485,0.009986771542418789,OPTIMAL,46249
3,24,120,5.0,130.767,5.824768462631013,0.05727273937480781,0.009930261264671184,OPTIMAL,8046
4,24,120,5.0,262.864,4.512027803014818,0.04364010894342307,0.009766410600701516,OPTIMAL,15865
5,24,120,5.0,1801.232,4.586682765248187,0.06225142133522965,0.013758949269720041,Time limit reached,113031
6,24,120,5.0,29.443,3.896540232509097,0.03747068296533307,0.00970977135402056,OPTIMAL,1456
7,24,120,5.0,402.033,5.441829021885716,0.0529827233568696,0.009831923276663851,OPTIMAL,19702
8,24,120,5.0,1801.71,2.3942356412436028,0.2961454331082325,0.14115000010958775,Time limit reached,80778
9,24,120,5.0,19.051,5.580355562138196,0.05517992977251307,0.009987000132498411,OPTIMAL,1434
10,24,120,5.0,640.258,2.104806905280289,0.020637870307420147,0.009902205608619843,OPTIMAL,41231
1,25,125,5.0,333.51,3.2556069749362564,0.031971483739579476,0.00991783463945889,OPTIMAL,19254
2,25,125,5.0,374.501,3.65929746449191,0.03616115960934341,0.009980623572072723,OPTIMAL,19246
3,25,125,5.0,321.864,5.945514641916456,0.058842049573153865,0.009995808098736245,OPTIMAL,17259
4,25,125,5.0,1800.862,4.884672325565907,0.14780041247592557,0.03120211295295752,Time limit reached,93954
5,25,125,5.0,381.931,4.894533786447226,0.04752346731064261,0.009804696953710664,OPTIMAL,16905
6,25,125,5.0,15.337,3.78635467547559,0.03468213144149468,0.009244445253263418,OPTIMAL,794
7,25,125,5.0,227.992,5.263450191286596,0.05203506065977859,0.009984823575841276,OPTIMAL,8459
8,25,125,5.0,1805.402,2.4856970215150085,0.3847441488096228,0.18312840511943035,Time limit reached,75621
9,25,125,5.0,23.618,5.610723655358916,0.050564705656722886,0.009094111537842129,OPTIMAL,1031
10,25,125,5.0,395.822,2.129746512550934,0.020999635750970747,0.00995834824084616,OPTIMAL,18108
1,26,130,6.0,822.259,3.025581528422717,0.02991361060234876,0.00998562304733488,OPTIMAL,34108
2,26,130,6.0,651.389,3.7070399595975227,0.03669610502591292,0.009998001952924915,OPTIMAL,29634
3,26,130,6.0,246.99,5.998170344082331,0.05765936503503433,0.00970612885632296,OPTIMAL,13364
4,26,130,6.0,1800.139,5.037757043805911,0.19263092172628582,0.03975766922731926,Time limit reached,78825
5,26,130,6.0,1539.516,5.04277457237946,0.04990543033918282,0.009995341139421403,OPTIMAL,70640
6,26,130,6.0,132.613,4.084618122133698,0.04015951954339769,0.009929516775787312,OPTIMAL,5611
7,26,130,6.0,561.57,5.551365819982829,0.05450086713200353,0.00991490014753553,OPTIMAL,23976
8,26,130,6.0,1802.493,2.4904623553541443,0.45206219889273846,0.22177303973401535,Time limit reached,61722
9,26,130,6.0,56.081,5.767390891505263,0.056370731307012534,0.009870518703449245,OPTIMAL,2245
10,26,130,6.0,1802.514,2.0399755865373486,0.05709622527657987,0.028794603641583386,Time limit reached,63603
1,27,135,6.0,210.695,3.10866462066773,0.03053568172733323,0.009920208780417338,OPTIMAL,9279
2,27,135,6.0,649.554,3.613939111182163,0.03577750066128971,0.009998849844035294,OPTIMAL,30588
3,27,135,6.0,792.335,6.377443938471518,0.06279225268024113,0.00994389806511913,OPTIMAL,34595
4,27,135,6.0,976.893,4.816536694787371,0.047520093232479965,0.009964337976300294,OPTIMAL,40668
5,27,135,6.0,1334.52,5.009688064248175,0.0486853918875676,0.009813619363442409,OPTIMAL,53116
6,27,135,6.0,46.789,3.8093869889692282,0.03690603576864859,0.009782961458648968,OPTIMAL,1687
7,27,135,6.0,116.97,5.734069052956908,0.05544249473507534,0.009763363406033912,OPTIMAL,4711
8,27,135,6.0,1804.088,2.2318762692806517,0.42105001740668513,0.23251817614801742,Time limit reached,64685
9,27,135,6.0,30.109,5.795033269275499,0.05640629952664078,0.009829232641185128,OPTIMAL,1044
10,27,135,6.0,753.569,2.082768560879226,0.020522604734729555,0.009951579574483883,OPTIMAL,25638
1,28,140,6.0,753.875,3.021453087549278,0.02986716094839803,0.009983721571499,OPTIMAL,26496
2,28,140,6.0,1801.378,3.7959262974493706,0.06626366521145144,0.0177666646411102,Time limit reached,64908
3,28,140,6.0,849.664,6.449544719835144,0.06351385550257405,0.009945748282757813,OPTIMAL,34293
4,28,140,6.0,757.015,4.716504057817988,0.046254560725165206,0.009904087726781651,OPTIMAL,29657
5,28,140,6.0,1803.74,5.176891131084282,0.11385855397576528,0.02248821279376195,Time limit reached,75015
6,28,140,6.0,462.139,3.954622037877673,0.03902785870592318,0.009967288978394228,OPTIMAL,6313
7,28,140,6.0,1800.737,5.962622957672978,0.060027234169989896,0.010169633324364928,Time limit reached,38355
8,28,140,6.0,1812.097,2.6111456849869232,0.5152309272451787,0.2458262795956059,Time limit reached,54047
9,28,140,6.0,78.991,6.060032596950799,0.05929819182463891,0.009881822427265421,OPTIMAL,1504
10,28,140,6.0,1800.931,2.0790026229489516,0.08733379720953938,0.04384955775823648,Time limit reached,44950
