seed,dimension,p,k,solution,termination,time
1,15,75,3.0,2.8156085607058303,LOCALLY_SOLVED,29.303693056106567
1,16,80,4.0,2.663382578445467,LOCALLY_SOLVED,65.60672092437744
1,17,85,4.0,2.3474422611309858,LOCALLY_SOLVED,43.649466037750244
1,18,90,4.0,2.54444672037482,LOCALLY_SOLVED,169.32310700416565
1,19,95,4.0,2.7223269185808263,LOCALLY_SOLVED,173.51516604423523
1,20,100,4.0,2.65449939891695,LOCALLY_SOLVED,43.510682106018066
1,21,105,5.0,2.8240260357217677,LOCALLY_SOLVED,490.9039731025696
1,22,110,5.0,2.8331495167441227,LOCALLY_SOLVED,767.7998638153076
1,23,115,5.0,3.0092546315577007,LOCALLY_SOLVED,242.19388103485107
1,24,120,5.0,2.793372607278403,LOCALLY_SOLVED,198.0308609008789
1,25,125,5.0,3.2556069613151335,LOCALLY_SOLVED,1259.1775579452515
1,26,130,6.0,3.0255815063069074,LOCALLY_SOLVED,1801.2355098724365
1,27,135,6.0,3.1086646053097557,LOCALLY_SOLVED,973.8275480270386
1,28,140,6.0,3.021453073539263,LOCALLY_SOLVED,1806.8536350727081
1,29,145,6.0,3.2553970570520643,LOCALLY_SOLVED,900.2861070632935
1,30,150,6.0,3.617797219687317,LOCALLY_SOLVED,1810.424451828003
2,15,75,3.0,2.5109550006333263,LOCALLY_SOLVED,62.500245809555054
2,16,80,4.0,2.3464497655199685,LOCALLY_SOLVED,115.64307498931885
2,17,85,4.0,2.5102578822099697,LOCALLY_SOLVED,224.5712149143219
2,18,90,4.0,2.6345054524060867,LOCALLY_SOLVED,221.62441515922546
2,19,95,4.0,2.805634925805373,LOCALLY_SOLVED,191.55313992500305
2,20,100,4.0,3.1191382195372155,LOCALLY_SOLVED,920.0734970569611
2,21,105,5.0,3.0547449098420825,LOCALLY_SOLVED,200.93137097358704
2,22,110,5.0,3.245579146926076,LOCALLY_SOLVED,1445.0042929649353
2,23,115,5.0,3.3639564209215433,LOCALLY_SOLVED,1806.5819540023804
2,24,120,5.0,3.4825100256075365,LOCALLY_SOLVED,1807.56378698349
2,25,125,5.0,3.659297442461414,LOCALLY_SOLVED,1801.3419671058655
2,26,130,6.0,3.7070399325848706,LOCALLY_SOLVED,1801.2254691123962
2,27,135,6.0,3.613939073220604,LOCALLY_SOLVED,1801.2062358856201
2,28,140,6.0,3.795926272291247,LOCALLY_SOLVED,1813.1100959777832
2,29,145,6.0,3.7844627697044766,LOCALLY_SOLVED,1802.5483770370483
2,30,150,6.0,4.115566751961236,LOCALLY_SOLVED,1825.2732310295105
3,15,75,3.0,4.977486268613305,LOCALLY_SOLVED,78.0174560546875
3,16,80,4.0,5.091732830532552,LOCALLY_SOLVED,197.04808115959167
3,17,85,4.0,5.014570687949316,LOCALLY_SOLVED,165.02733707427979
3,18,90,4.0,5.048475466035432,LOCALLY_SOLVED,171.02027010917664
3,19,95,4.0,5.181127523590914,LOCALLY_SOLVED,190.71877789497375
3,20,100,4.0,5.188000971208068,LOCALLY_SOLVED,258.57875394821167
3,21,105,5.0,5.91743280258086,LOCALLY_SOLVED,1801.2185611724854
3,22,110,5.0,5.8720437880578205,LOCALLY_SOLVED,1260.9239888191223
3,23,115,5.0,6.1500884067228885,LOCALLY_SOLVED,1801.325933933258
3,24,120,5.0,5.824768403161743,LOCALLY_SOLVED,1105.051213979721
3,25,125,5.0,5.9455145737149735,LOCALLY_SOLVED,1801.3682270050049
3,26,130,6.0,5.998170275521448,LOCALLY_SOLVED,1491.9031851291656
3,27,135,6.0,6.3774438663887585,LOCALLY_SOLVED,1808.702223777771
3,28,140,6.0,6.449544649315833,LOCALLY_SOLVED,1801.4448590278625
3,29,145,6.0,6.517959364236609,LOCALLY_SOLVED,1810.7378940582275
3,30,150,6.0,6.401715669723838,LOCALLY_SOLVED,1804.6898488998413
4,15,75,3.0,3.5701529054799206,LOCALLY_SOLVED,239.09401082992554
4,16,80,4.0,3.5972404989430613,LOCALLY_SOLVED,231.32403993606567
4,17,85,4.0,3.9150015318160336,LOCALLY_SOLVED,342.3218638896942
4,18,90,4.0,4.028020605299188,LOCALLY_SOLVED,430.3620619773865
4,19,95,4.0,3.9361600318504926,LOCALLY_SOLVED,150.04497599601746
4,20,100,4.0,4.252012523591749,LOCALLY_SOLVED,1043.912682056427
4,21,105,5.0,4.404090361340452,LOCALLY_SOLVED,690.3519320487976
4,22,110,5.0,4.397493266593554,LOCALLY_SOLVED,1484.858894109726
4,23,115,5.0,4.631363259234958,LOCALLY_SOLVED,1811.4221889972687
4,24,120,5.0,4.512027743608458,LOCALLY_SOLVED,1577.7308690547943
4,25,125,5.0,4.884672325565907,LOCALLY_SOLVED,1801.3039178848267
4,26,130,6.0,5.037757043805911,LOCALLY_SOLVED,1808.089077949524
4,27,135,6.0,4.816536629910424,LOCALLY_SOLVED,1801.1776649951935
4,28,140,6.0,4.716504014862536,LOCALLY_SOLVED,1809.8317711353302
4,29,145,6.0,5.022077072203834,LOCALLY_SOLVED,1810.4223959445953
4,30,150,6.0,4.973018758321764,LOCALLY_SOLVED,1819.3096849918365
5,15,75,3.0,3.0960683415191323,LOCALLY_SOLVED,66.09500503540039
5,16,80,4.0,3.6376963559859288,LOCALLY_SOLVED,570.7391560077667
5,17,85,4.0,3.899816765095021,LOCALLY_SOLVED,542.1663339138031
5,18,90,4.0,3.9916294749390335,LOCALLY_SOLVED,902.7342069149017
5,19,95,4.0,4.17816083845724,LOCALLY_SOLVED,1505.8453090190887
5,20,100,4.0,4.168131906773809,LOCALLY_SOLVED,678.6228199005127
5,21,105,5.0,4.268244818699362,LOCALLY_SOLVED,1808.8653619289398
5,22,110,5.0,4.38795189310356,LOCALLY_SOLVED,1801.6469731330872
5,23,115,5.0,4.260633772019691,LOCALLY_SOLVED,1809.378800868988
5,24,120,5.0,4.586682765248186,LOCALLY_SOLVED,1801.239784002304
5,25,125,5.0,4.894533755308138,LOCALLY_SOLVED,1803.3187820911407
5,26,130,6.0,5.042774572379459,LOCALLY_SOLVED,1801.5955159664154
5,27,135,6.0,5.009688027589807,LOCALLY_SOLVED,1802.5175759792328
5,29,145,6.0,5.317290666019952,LOCALLY_SOLVED,1810.26659989357
5,30,150,6.0,5.306261651610235,LOCALLY_SOLVED,1811.9441828727722
6,15,75,3.0,3.2749597198020104,LOCALLY_SOLVED,5.655699968338013
6,16,80,4.0,3.452723928669366,LOCALLY_SOLVED,26.631507873535156
6,17,85,4.0,3.1937755174265834,LOCALLY_SOLVED,21.718183994293213
6,18,90,4.0,3.6553073162899956,LOCALLY_SOLVED,21.12112808227539
6,19,95,4.0,3.5875915317046236,LOCALLY_SOLVED,17.6685528755188
6,20,100,4.0,3.7097736103808745,LOCALLY_SOLVED,11.269659996032715
6,21,105,5.0,3.437280053553698,LOCALLY_SOLVED,19.605648040771484
6,22,110,5.0,3.585870451074232,LOCALLY_SOLVED,53.157089948654175
6,23,115,5.0,3.678038968094878,LOCALLY_SOLVED,108.19322896003723
6,24,120,5.0,3.8965402050846545,LOCALLY_SOLVED,90.63343596458435
6,25,125,5.0,3.786354643332281,LOCALLY_SOLVED,103.90951180458069
6,26,130,6.0,4.084618080473506,LOCALLY_SOLVED,1298.1592161655426
6,27,135,6.0,3.809386960787708,LOCALLY_SOLVED,355.0461838245392
6,28,140,6.0,3.954621994580649,LOCALLY_SOLVED,959.7742919921875
6,29,145,6.0,4.116280909391653,LOCALLY_SOLVED,433.68887400627136
6,30,150,6.0,4.334812896349376,LOCALLY_SOLVED,1109.6196920871735
