seed,num_v,time,lowerBound,upperBound,termination,LMOcalls,openNodes
1,7,141.0,-9.251747393654206,-8.400099009752287,Optimal (tolerance reached),39,2
1,7,288.0,-9.251747393654206,-8.400099009752287,Optimal (tolerance reached),69,3
1,7,380.0,-9.119136413785071,-8.400099009752287,Optimal (tolerance reached),98,4
1,7,487.0,-9.119136413785071,-8.400099009752287,Optimal (tolerance reached),128,5
1,7,604.0,-9.087889532548898,-8.400099009752287,Optimal (tolerance reached),159,6
1,7,701.0,-9.087889532548898,-8.400099009752287,Optimal (tolerance reached),186,7
1,7,832.0,-8.991394868683766,-8.400099009752287,Optimal (tolerance reached),216,8
1,7,916.0,-8.991394868683766,-8.400099009752287,Optimal (tolerance reached),239,9
1,7,1031.0,-8.963975404081005,-8.400099009752287,Optimal (tolerance reached),269,10
1,7,1151.0,-8.963975404081005,-8.400099009752287,Optimal (tolerance reached),300,11
1,7,1273.0,-8.944772871975841,-8.400099009752287,Optimal (tolerance reached),328,12
1,7,1371.0,-8.944772871975841,-8.400099009752287,Optimal (tolerance reached),352,13
1,7,1509.0,-8.913620775283379,-8.400099009752287,Optimal (tolerance reached),390,14
1,7,1614.0,-8.913620775283379,-8.400099009752287,Optimal (tolerance reached),418,15
1,7,1737.0,-8.871516402413965,-8.400099009752287,Optimal (tolerance reached),448,16
1,7,1814.0,-8.871516402413965,-8.400099009752287,Optimal (tolerance reached),473,17
1,7,1888.0,-8.842032756542528,-8.400099009752287,Optimal (tolerance reached),493,18
1,7,1994.0,-8.842032756542528,-8.400099009752287,Optimal (tolerance reached),522,19
1,7,2115.0,-8.823240943719624,-8.400099009752287,Optimal (tolerance reached),552,20
1,7,2239.0,-8.823240943719624,-8.400099009752287,Optimal (tolerance reached),580,21
1,7,2320.0,-8.812920602109095,-8.400099009752287,Optimal (tolerance reached),602,22
1,7,2413.0,-8.812920602109095,-8.400099009752287,Optimal (tolerance reached),625,23
1,7,2508.0,-8.79312591939756,-8.400099009752287,Optimal (tolerance reached),651,24
1,7,2636.0,-8.79312591939756,-8.400099009752287,Optimal (tolerance reached),680,25
1,7,2732.0,-8.783911788200333,-8.400099009752287,Optimal (tolerance reached),705,26
1,7,2848.0,-8.783911788200333,-8.400099009752287,Optimal (tolerance reached),737,27
1,7,2979.0,-8.764827817009131,-8.400099009752287,Optimal (tolerance reached),771,28
1,7,3107.0,-8.764827817009131,-8.400099009752287,Optimal (tolerance reached),802,29
1,7,3205.0,-8.754801977719342,-8.400099009752287,Optimal (tolerance reached),831,30
1,7,3333.0,-8.754801977719342,-8.400099009752287,Optimal (tolerance reached),864,31
1,7,3428.0,-8.73697609764572,-8.400099009752287,Optimal (tolerance reached),888,32
1,7,3573.0,-8.73697609764572,-8.400099009752287,Optimal (tolerance reached),922,33
1,7,3675.0,-8.724718309508862,-8.400099009752287,Optimal (tolerance reached),952,34
1,7,3800.0,-8.724718309508862,-8.400099009752287,Optimal (tolerance reached),985,35
1,7,3894.0,-8.706369275759778,-8.400099009752287,Optimal (tolerance reached),1008,36
1,7,4005.0,-8.706369275759778,-8.400099009752287,Optimal (tolerance reached),1033,37
1,7,4081.0,-8.697479134529265,-8.400099009752287,Optimal (tolerance reached),1055,38
1,7,4160.0,-8.697479134529265,-8.400099009752287,Optimal (tolerance reached),1076,39
1,7,4281.0,-8.686701260390333,-8.400099009752287,Optimal (tolerance reached),1108,40
1,7,4358.0,-8.686701260390333,-8.400099009752287,Optimal (tolerance reached),1130,41
1,7,4481.0,-8.675957839199011,-8.400099009752287,Optimal (tolerance reached),1156,42
1,7,4583.0,-8.675957839199011,-8.400099009752287,Optimal (tolerance reached),1184,43
1,7,4685.0,-8.671218412348946,-8.400099009752287,Optimal (tolerance reached),1211,44
1,7,4788.0,-8.671218412348946,-8.400099009752287,Optimal (tolerance reached),1241,43
1,7,4876.0,-8.668499457919937,-8.400099009752287,Optimal (tolerance reached),1263,44
1,7,4986.0,-8.668499457919937,-8.400099009752287,Optimal (tolerance reached),1287,45
1,7,5082.0,-8.657535009832726,-8.400099009752287,Optimal (tolerance reached),1314,46
1,7,5197.0,-8.657535009832726,-8.400099009752287,Optimal (tolerance reached),1344,47
1,7,5297.0,-8.649019143981237,-8.400099009752287,Optimal (tolerance reached),1372,48
1,7,5442.0,-8.649019143981237,-8.400099009752287,Optimal (tolerance reached),1406,49
1,7,5549.0,-8.641173150844185,-8.400099009752287,Optimal (tolerance reached),1435,50
1,7,5616.0,-8.641173150844185,-8.400099009752287,Optimal (tolerance reached),1456,49
1,7,5688.0,-8.638173967518101,-8.400099009752287,Optimal (tolerance reached),1475,50
1,7,5787.0,-8.638173967518101,-8.400099009752287,Optimal (tolerance reached),1501,51
1,7,5904.0,-8.62987578247956,-8.400099009752287,Optimal (tolerance reached),1525,52
1,7,5992.0,-8.62987578247956,-8.400099009752287,Optimal (tolerance reached),1549,51
1,7,6096.0,-8.622310305486275,-8.400099009752287,Optimal (tolerance reached),1574,52
1,7,6155.0,-8.622310305486275,-8.400099009752287,Optimal (tolerance reached),1592,51
1,7,6236.0,-8.619630926302289,-8.400099009752287,Optimal (tolerance reached),1613,52
1,7,6365.0,-8.619630926302289,-8.400099009752287,Optimal (tolerance reached),1646,51
1,7,6455.0,-8.617316132297029,-8.400099009752287,Optimal (tolerance reached),1672,52
1,7,6542.0,-8.617316132297029,-8.400099009752287,Optimal (tolerance reached),1694,53
1,7,6592.0,-8.613260731341708,-8.400099009752287,Optimal (tolerance reached),1710,52
1,7,6646.0,-8.613260731341708,-8.400099009752287,Optimal (tolerance reached),1727,51
1,7,6774.0,-8.607841437218095,-8.400099009752287,Optimal (tolerance reached),1755,52
1,7,6854.0,-8.607841437218095,-8.400099009752287,Optimal (tolerance reached),1780,51
1,7,6939.0,-8.604058049175562,-8.400099009752287,Optimal (tolerance reached),1802,52
1,7,6978.0,-8.604058049175562,-8.400099009752287,Optimal (tolerance reached),1814,51
1,7,7081.0,-8.599383099785921,-8.400099009752287,Optimal (tolerance reached),1842,52
1,7,7141.0,-8.599383099785921,-8.400099009752287,Optimal (tolerance reached),1859,51
1,7,7259.0,-8.593617177092293,-8.400099009752287,Optimal (tolerance reached),1884,52
1,7,7302.0,-8.593617177092293,-8.400099009752287,Optimal (tolerance reached),1898,51
1,7,7405.0,-8.58698796950298,-8.400099009752287,Optimal (tolerance reached),1927,52
1,7,7494.0,-8.58698796950298,-8.400099009752287,Optimal (tolerance reached),1947,53
1,7,7524.0,-8.584840831781577,-8.400099009752287,Optimal (tolerance reached),1957,52
1,7,7572.0,-8.584840831781577,-8.400099009752287,Optimal (tolerance reached),1972,51
1,7,7680.0,-8.580309314022568,-8.400099009752287,Optimal (tolerance reached),1997,52
1,7,7761.0,-8.580309314022568,-8.400099009752287,Optimal (tolerance reached),2016,51
1,7,7861.0,-8.573950116815903,-8.400099009752287,Optimal (tolerance reached),2042,52
1,7,7898.0,-8.573950116815903,-8.400099009752287,Optimal (tolerance reached),2054,51
