seed,dimension,p,k,Ns,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings
5,90,90,45.0,1.0,2620.0,0.25159750689235855,0.9999999999999984,Time limit reached,28,0,0
5,90,90,45.0,1.0,4702.0,0.25159750689235855,0.9999999999999984,Time limit reached,54,0,0
5,90,90,45.0,1.0,5156.0,0.2539091868008299,0.9999999999999984,Time limit reached,89,0,0
5,90,90,45.0,1.0,5659.0,0.2539091868008299,0.9999999999999984,Time limit reached,125,0,0
5,90,90,45.0,1.0,6139.0,0.25483864427998526,0.9999999999999984,Time limit reached,162,0,0
5,90,90,45.0,1.0,6548.0,0.25483864427998526,0.9999999999999984,Time limit reached,188,0,0
5,90,90,45.0,1.0,7018.0,0.2552348624720545,0.9999999999999984,Time limit reached,222,0,0
5,90,90,45.0,1.0,7369.0,0.2552348624720545,0.9999999999999984,Time limit reached,246,0,0
5,90,90,45.0,1.0,7802.0,0.25644362834885753,0.9999999999999984,Time limit reached,281,0,0
5,90,90,45.0,1.0,8237.0,0.25644362834885753,0.9999999999999984,Time limit reached,316,0,0
5,90,90,45.0,1.0,8740.0,0.25664124762217405,0.9999999999999984,Time limit reached,353,0,0
5,90,90,45.0,1.0,9252.0,0.25664124762217405,0.9999999999999984,Time limit reached,392,0,0
5,90,90,45.0,1.0,9755.0,0.2568848188003108,0.9999999999999984,Time limit reached,430,0,0
5,90,90,45.0,1.0,10193.0,0.2568848188003108,0.9999999999999984,Time limit reached,464,0,0
5,90,90,45.0,1.0,10592.0,0.2568848188003108,0.9999999999999984,Time limit reached,497,0,0
5,90,90,45.0,1.0,11094.0,0.2568848188003108,0.9999999999999984,Time limit reached,534,0,0
5,90,90,45.0,1.0,11546.0,0.2568848188003108,0.9999999999999984,Time limit reached,570,0,0
5,90,90,45.0,1.0,12012.0,0.2568848188003108,0.9999999999999984,Time limit reached,606,0,0
5,90,90,45.0,1.0,12355.0,0.2568848188003108,0.9999999999999984,Time limit reached,637,0,0
5,90,90,45.0,1.0,12852.0,0.2568848188003108,0.9999999999999984,Time limit reached,672,0,0
5,90,90,45.0,1.0,13355.0,0.2568848188003108,0.9999999999999984,Time limit reached,712,0,0
5,90,90,45.0,1.0,13865.0,0.2568848188003108,0.9999999999999984,Time limit reached,748,0,0
5,90,90,45.0,1.0,14363.0,0.256892834740653,0.9999999999999984,Time limit reached,785,0,0
5,90,90,45.0,1.0,14893.0,0.256892834740653,0.9999999999999984,Time limit reached,823,0,0
5,90,90,45.0,1.0,15251.0,0.2570969187055389,0.9999999999999984,Time limit reached,854,0,0
5,90,90,45.0,1.0,15569.0,0.2570969187055389,0.9999999999999984,Time limit reached,883,0,0
5,90,90,45.0,1.0,16036.0,0.2570969187055389,0.9999999999999984,Time limit reached,918,0,0
5,90,90,45.0,1.0,16447.0,0.2570969187055389,0.9999999999999984,Time limit reached,952,0,0
5,90,90,45.0,1.0,16970.0,0.25720234455261587,0.9999999999999984,Time limit reached,989,0,0
5,90,90,45.0,1.0,17431.0,0.25720234455261587,0.9999999999999984,Time limit reached,1024,0,0
5,90,90,45.0,1.0,17892.0,0.25734712966592477,0.9999999999999984,Time limit reached,1062,0,0
5,90,90,45.0,1.0,18378.0,0.25734712966592477,0.9999999999999984,Time limit reached,1097,0,0
5,90,90,45.0,1.0,18809.0,0.25734712966592477,0.9999999999999984,Time limit reached,1131,0,0
5,90,90,45.0,1.0,19248.0,0.25734712966592477,0.9999999999999984,Time limit reached,1164,0,0
5,90,90,45.0,1.0,19756.0,0.25734712966592477,0.9999999999999984,Time limit reached,1201,0,0
5,90,90,45.0,1.0,20235.0,0.25734712966592477,0.9999999999999984,Time limit reached,1236,0,0
5,90,90,45.0,1.0,20678.0,0.2573885671515651,0.9999999999999984,Time limit reached,1270,0,0
5,90,90,45.0,1.0,21211.0,0.2573885671515651,0.9999999999999984,Time limit reached,1308,0,0
5,90,90,45.0,1.0,21657.0,0.2573885671515651,0.9999999999999984,Time limit reached,1342,0,0
5,90,90,45.0,1.0,22109.0,0.2573885671515651,0.9999999999999984,Time limit reached,1375,0,0
5,90,90,45.0,1.0,22525.0,0.25746033445714056,0.9999999999999984,Time limit reached,1410,0,0
5,90,90,45.0,1.0,22955.0,0.25746033445714056,0.9999999999999984,Time limit reached,1443,0,0
5,90,90,45.0,1.0,23448.0,0.2577878527199212,0.9999999999999984,Time limit reached,1479,0,0
5,90,90,45.0,1.0,23870.0,0.2577878527199212,0.9999999999999984,Time limit reached,1514,0,0
5,90,90,45.0,1.0,24330.0,0.2577878527199212,0.9999999999999984,Time limit reached,1548,0,0
5,90,90,45.0,1.0,24768.0,0.2577878527199212,0.9999999999999984,Time limit reached,1580,0,0
5,90,90,45.0,1.0,25247.0,0.25816200434697895,0.9999999999999984,Time limit reached,1617,0,0
5,90,90,45.0,1.0,25708.0,0.25816200434697895,0.9999999999999984,Time limit reached,1651,0,0
5,90,90,45.0,1.0,26160.0,0.25816386426445037,0.9999999999999984,Time limit reached,1688,0,0
5,90,90,45.0,1.0,26569.0,0.25816386426445037,0.9999999999999984,Time limit reached,1720,0,0
5,90,90,45.0,1.0,27062.0,0.25821782689301886,0.9999999999999984,Time limit reached,1757,0,0
5,90,90,45.0,1.0,27555.0,0.25821782689301886,0.9999999999999984,Time limit reached,1794,0,0
