seed,num_v,time,solution,termination
1,7,9.557638168334961,23.332124665390708,ALMOST_LOCALLY_SOLVED
1,8,9.159800052642822,20.97392421322317,ALMOST_LOCALLY_SOLVED
2,8,9.766764163970947,17.719861003821524,ALMOST_LOCALLY_SOLVED
