dimension,time_boscia,seed,p,k,termination_boscia,solution_boscia,termination_afw,time_afw,termination_no_ws,time_no_ws,termination_no_as,time_no_as,termination_no_ss,time_no_ss,termination_ipopt,time_ipopt,solution_ipopt,solution_scip,termination_scip,time_scip,solution_scip_tol,termination_scip_tol,time_scip_tol,optimal_scip,optimal_ipopt,optimal_boscia
15,1.511,1,75,3.0,1,2.8156085839248965,1,1.497,1,3.431,1,2.978,1,1.892,1,21.244,2.815606245803557,3.606724134253159,1,0.04242,3.606724134253159,1,1.019709,0,1,1
15,2.738,2,75,3.0,1,2.510955015317064,1,2.463,1,7.276,1,6.389,1,3.467,1,23.459,2.510953567208758,3.4415595100112117,1,0.023614,3.4415595100112117,1,0.01897,0,1,1
15,4.832,3,75,3.0,1,4.977486303591386,1,3.897,1,10.467,1,9.136,1,6.067,1,35.662,4.97748303124901,5.624186575013328,1,0.022999,5.624186575013328,1,0.016656,0,1,1
15,26.065,4,75,3.0,1,3.570152937436937,1,21.32,1,60.612,1,51.014,1,32.939,1,176.436,3.5701497183497706,4.040172421343416,1,0.025643,4.040172421343416,1,0.020191999999999998,0,1,1
15,11.338,5,75,3.0,1,3.0960683648881093,1,9.514,1,25.153,1,22.397,1,14.286,1,77.123,3.096066196742239,3.605183469908247,1,0.0255,3.605183469908247,1,0.020996,0,1,1
15,0.215,6,75,3.0,1,3.274959746910336,1,0.226,1,0.408,1,0.378,1,0.262,1,2.825,3.2749568893217735,3.352257202420142,1,0.024419,3.352257202420142,1,0.020548999999999998,0,1,1
15,3.622,7,75,3.0,1,4.4719289037401655,1,3.458,1,9.357,1,8.091,1,4.526,1,39.505,4.47192513838839,5.032000370072083,1,0.025715,5.032000370072083,1,0.022192999999999997,0,1,1
15,33.35,8,75,3.0,1,2.287455683965412,1,32.051,1,102.05,1,85.933,1,42.202,1,238.925,2.287453738930412,2.9648885335570343,1,0.038855,4.081978299492437,0,1800.009389,0,1,1
15,0.147,9,75,3.0,1,4.3133398005811046,1,0.14,1,0.197,1,0.188,1,0.167,1,1.728,4.329813847966928,5.618540127219655,1,0.021804999999999998,5.618540127219655,1,0.019871,0,1,1
15,0.623,10,75,3.0,1,2.391722770462672,1,0.551,1,1.286,1,1.142,1,0.749,1,7.18,2.391720049437202,3.135600932276933,1,0.025202,3.135600932276933,1,0.022317,0,1,1
16,18.173,1,80,4.0,1,2.6633825943920137,1,14.77,1,41.701,1,35.464,1,23.347,1,158.093,2.663381002980705,3.6325891279505873,1,0.039915,3.6325891279505873,1,0.030039999999999997,0,1,1
16,9.92,2,80,4.0,1,2.346449784313559,1,8.246,1,22.46,1,19.304,1,12.894,1,47.918,2.3464480491551583,3.326877201499783,1,0.030549,3.566359000583607,0,1800.013801,0,1,1
16,30.691,3,80,4.0,1,5.091732867438444,1,22.757,1,53.76,1,45.997,1,38.599,1,147.309,5.091729404016699,5.6438036904427795,1,0.024699,5.6438036904427795,1,0.020801,0,1,1
