seed,dimension,min_number_lower,adaptive_gap,iteration,time,memory,lb,ub,list_time,list_num_nodes,list_lmo_calls,active_set_size,discarded_set_size,node_level
30,40,Inf,0.8,71,6033.0,1195883816,1619.0171312929313,1731.0505722623268,315.0,3,49,7,5,1
30,40,Inf,0.8,71,6033.0,1195883816,1619.0171312929313,1731.0505722623268,533.0,5,78,11,6,2
30,40,Inf,0.8,71,6033.0,1195883816,1632.3191676986664,1731.0505722623268,774.0,7,105,17,8,2
30,40,Inf,0.8,71,6033.0,1195883816,1632.3191676986664,1731.0505722623268,963.0,9,123,5,0,3
30,40,Inf,0.8,71,6033.0,1195883816,1633.8011585695394,1731.0505722623268,1048.0,9,148,15,5,3
30,40,Inf,0.8,71,6033.0,1195883816,1633.8011585695394,1731.0505722623268,1082.0,9,162,9,3,4
30,40,Inf,0.8,71,6033.0,1195883816,1634.30806066431,1731.0505722623268,1240.0,11,174,17,7,4
30,40,Inf,0.8,71,6033.0,1195883816,1634.30806066431,1731.0505722623268,1411.0,13,188,17,6,5
30,40,Inf,0.8,71,6033.0,1195883816,1634.612582310855,1731.0505722623268,1674.0,15,217,5,1,5
30,40,Inf,0.8,71,6033.0,1195883816,1634.612582310855,1731.0505722623268,1829.0,17,227,10,8,6
30,40,Inf,0.8,71,6033.0,1195883816,1646.429712485716,1731.0505722623268,2044.0,19,257,2,2,6
30,40,Inf,0.8,71,6033.0,1195883816,1646.429712485716,1731.0505722623268,2203.0,21,276,6,7,7
30,40,Inf,0.8,71,6033.0,1195883816,1659.9215997707759,1731.0505722623268,2337.0,23,295,5,5,7
30,40,Inf,0.8,71,6033.0,1195883816,1659.9215997707759,1731.0505722623268,2610.0,25,311,11,7,3
30,40,Inf,0.8,71,6033.0,1195883816,1666.5233023505891,1731.0505722623268,2845.0,27,341,6,1,3
30,40,Inf,0.8,71,6033.0,1195883816,1666.5233023505891,1731.0505722623268,2913.0,29,343,4,5,8
30,40,Inf,0.8,71,6033.0,1195883816,1666.5233023505891,1731.0505722623268,3062.0,31,361,11,4,8
30,40,Inf,0.8,71,6033.0,1195883816,1666.5233023505891,1731.0505722623268,3072.0,31,365,5,5,9
30,40,Inf,0.8,71,6033.0,1195883816,1669.5689750415108,1731.0505722623268,3085.0,31,372,5,2,9
