seed,dimension,p,k,Ns,time,solution,dual_gap,rel_dual_gap,termination,ncalls
1,50,50,25.0,0.1,0.017,-222.7156054633275,0.0,0.0,OPTIMAL,4
1,50,50,25.0,1.0,17.785,-817.6416575460487,8.805971901892917e-6,1.0769964838046396e-8,OPTIMAL,295
1,50,50,25.0,5.0,9.465,-601.4079555133303,9.191160188493086e-8,1.5282737955549647e-10,OPTIMAL,133
1,50,50,25.0,10.0,9.324,-534.5650566964625,1.3708017831959296e-7,2.5643310688268576e-10,OPTIMAL,116
2,50,50,25.0,0.1,0.02,-302.01535887823866,0.0,0.0,OPTIMAL,4
2,50,50,25.0,1.0,18.958,-1089.8195062758466,1.2720511222141795e-7,1.1672126575904834e-10,OPTIMAL,316
2,50,50,25.0,5.0,6.671,-799.3142630280256,5.546928605326684e-8,6.939609189899064e-11,OPTIMAL,105
2,50,50,25.0,10.0,9.372,-833.0086184042991,8.543952390027698e-8,1.0256739487755105e-10,OPTIMAL,101
3,50,50,25.0,0.1,0.018,-853.8272777602954,0.0,0.0,OPTIMAL,4
3,50,50,25.0,1.0,4.644,-2868.473855031597,0.0004479713179534883,1.5617061217682035e-7,OPTIMAL,65
3,50,50,25.0,5.0,6.556,-1897.747076889649,1.8224227460450493e-8,9.603085512490663e-12,OPTIMAL,90
3,50,50,25.0,10.0,3.343,-1850.7434014773896,3.01504314847989e-8,1.6290984185452596e-11,OPTIMAL,60
4,50,50,25.0,0.1,0.018,-773.7579916614262,0.0,0.0,OPTIMAL,4
4,50,50,25.0,1.0,27.383,-2673.7038740269318,2.3992170099518262e-5,8.973383452290496e-9,OPTIMAL,444
4,50,50,25.0,5.0,6.633,-1745.7362015036924,6.261097951210104e-8,3.586508629320454e-11,OPTIMAL,111
4,50,50,25.0,10.0,9.27,-1925.6024525443881,1.1729480320354924e-7,6.091330172983637e-11,OPTIMAL,107
5,50,50,25.0,0.1,0.018,-37.879343832756625,0.0,0.0,OPTIMAL,4
5,50,50,25.0,1.0,1335.641,-101.07463102075086,0.45136643790192466,0.00446567485177619,OPTIMAL,71908
5,50,50,25.0,5.0,6.057,-65.7583839787302,8.044935384532437e-8,1.2234083165934556e-9,OPTIMAL,144
5,50,50,25.0,10.0,7.379,-55.13767504838153,1.1893244078464704e-7,2.1570086275906202e-9,OPTIMAL,102
6,50,50,25.0,0.1,0.018,-101.22956851891348,0.0,0.0,OPTIMAL,4
6,50,50,25.0,1.0,23.727,-447.9136625554451,4.4948257027499494e-7,1.0035027011915619e-9,OPTIMAL,1146
6,50,50,25.0,5.0,5.439,-341.50549163876883,1.3187388958613155e-8,3.8615452112735744e-11,OPTIMAL,188
6,50,50,25.0,10.0,7.535,-342.78333594484496,1.6008527836675057e-7,4.670159298306988e-10,OPTIMAL,198
7,50,50,25.0,0.1,0.019,-541.6138774625181,0.0,0.0,OPTIMAL,4
7,50,50,25.0,1.0,22.178,-1805.0323988130465,0.0003879854239130509,2.149465151806596e-7,OPTIMAL,370
7,50,50,25.0,5.0,5.369,-1168.2271316595854,8.828078534861561e-8,7.556816902822979e-11,OPTIMAL,83
7,50,50,25.0,10.0,5.378,-1203.3672381567078,8.134156814776361e-8,6.7594966497809e-11,OPTIMAL,85
8,50,50,25.0,0.1,0.018,-511.98607096648544,0.0,0.0,OPTIMAL,4
8,50,50,25.0,1.0,23.039,-2260.281151123279,2.9529668154282263e-5,1.306459956966286e-8,OPTIMAL,514
8,50,50,25.0,5.0,5.56,-1594.0510966893507,3.63875187758822e-8,2.2827071761660983e-11,OPTIMAL,131
8,50,50,25.0,10.0,4.902,-1639.9822837975871,4.045386958750896e-8,2.4667260120537944e-11,OPTIMAL,56
9,50,50,25.0,0.1,0.019,-102.22410050053469,0.0,0.0,OPTIMAL,4
9,50,50,25.0,1.0,229.597,-242.66414720579655,1.3528544087648697e-5,5.5750073685897753e-8,OPTIMAL,7567
9,50,50,25.0,5.0,5.5,-153.72475837451884,3.04579828025453e-8,1.9813322931587036e-10,OPTIMAL,100
9,50,50,25.0,10.0,5.503,-151.15479397739122,1.254119297300349e-8,8.29692042376064e-11,OPTIMAL,104
10,50,50,25.0,0.1,0.016,-21.262779980770613,0.0,0.0,OPTIMAL,4
10,50,50,25.0,1.0,1800.468,-16.956704951916898,35.94529780558014,2.1198279917889735,Time limit reached,156632
10,50,50,25.0,5.0,3.974,-30.174272472610788,2.500635787328065e-8,8.287310952063199e-10,OPTIMAL,150
10,50,50,25.0,10.0,4.485,-29.94973060112961,7.286532266448376e-8,2.4329208043606077e-9,OPTIMAL,147
1,70,70,35.0,0.1,0.023,-2797.8213805446567,0.0,0.0,OPTIMAL,4
1,70,70,35.0,1.0,69.819,-7040.064067357973,4.790126695297658e-7,6.804095317125883e-11,OPTIMAL,414
1,70,70,35.0,5.0,10.382,-4015.308340625341,7.263770385179669e-8,1.8090193252875854e-11,OPTIMAL,86
1,70,70,35.0,10.0,5.215,-4732.897682828308,3.847617335850373e-8,8.129517250732316e-12,OPTIMAL,35
2,70,70,35.0,0.1,0.025,-276.76328207083367,0.0,0.0,OPTIMAL,4
2,70,70,35.0,1.0,1803.931,-620.672332849894,21.941137242018613,0.0353505965720643,Time limit reached,24918
2,70,70,35.0,5.0,10.59,-423.42499025486023,4.3456680032250006e-8,1.0263135391723893e-10,OPTIMAL,66
2,70,70,35.0,10.0,10.495,-429.6176890484229,3.7547863485087873e-8,8.739831818437018e-11,OPTIMAL,121
3,70,70,35.0,0.1,0.024,-146048.30629797274,0.0,0.0,OPTIMAL,4
