seed,num_v,time,lowerBound,upperBound,termination,LMOcalls,openNodes
1,3,64183.0,-397.72796115951786,-380.31400385337474,Time limit reached,82,2
1,3,102246.0,-397.72796115951786,-380.31400385337474,Time limit reached,128,3
1,3,124755.0,-397.4257845080321,-380.31400385337474,Time limit reached,165,4
1,3,175685.0,-397.4257845080321,-380.31400385337474,Time limit reached,232,5
1,3,220325.0,-396.77291591844715,-382.5686624220194,Time limit reached,289,6
1,3,244260.0,-396.77291591844715,-382.5686624220194,Time limit reached,332,7
1,3,274436.0,-396.2733450064516,-382.7556060250281,Time limit reached,399,8
1,3,307229.0,-396.2733450064516,-383.77600933249755,Time limit reached,457,9
1,3,335590.0,-396.22366386005706,-383.77600933249755,Time limit reached,509,10
1,3,368933.0,-396.22366386005706,-383.77600933249755,Time limit reached,554,11
1,3,401455.0,-395.8804643614778,-383.77600933249755,Time limit reached,611,12
1,3,439601.0,-395.8804643614778,-383.77600933249755,Time limit reached,667,13
1,3,468393.0,-395.52312298222046,-383.77600933249755,Time limit reached,728,14
1,3,508468.0,-395.52312298222046,-383.77600933249755,Time limit reached,796,15
1,3,542638.0,-395.0157882140264,-383.77600933249755,Time limit reached,857,16
1,3,577282.0,-395.0157882140264,-383.77600933249755,Time limit reached,895,17
1,3,609847.0,-395.0032628738755,-383.77600933249755,Time limit reached,960,18
