seed;dimension;var_A;p;k;M;time;x;solution;dual_gap;rel_dual_gap;termination;ncalls
1;5;1;25;5.0;0.1;18.927;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03902221680378037, 0.0, -0.0417208658538556, 0.0, 0.0, 0.0, 0.0, -0.03481062190013456, 0.0, -0.036800947254788365, 0.04878194806801483, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.653897246423264;0.0064480717062470605;0.009959193644914821;OPTIMAL;10280
1;5;5;25;5.0;0.1;10.528;[0.0, 0.0, 0.0, -0.06890923175794689, 0.0, 0.0, -0.07829738783670534, 0.0, -0.08207627648333192, 0.0, 0.0, 0.0, 0.0, -0.062352083359686616, 0.0, 0.0, 0.09637503107981257, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.3507216199955216;0.0034151680105509175;0.009833298491957488;OPTIMAL;5182
1;5;1;25;5.0;1.0;217.473;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03939445649944375, 0.0, -0.041539829194022014, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.036725561635802186, 0.04836238655072534, 0.0, 0.0, 0.0347393056264634, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.6539544271161665;0.0064708604280824256;0.009993860479241584;OPTIMAL;109309
1;5;5;25;5.0;1.0;440.032;[0.0, 0.0, 0.0, -0.0689092214997174, 0.0, 0.0, -0.07829741748177704, 0.0, -0.08207629090581423, 0.0, 0.0, 0.0, 0.0, -0.06235207023363635, 0.0, 0.0, 0.09637503360079508, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.35072161999551266;0.0034684449951334906;0.00998823119509189;OPTIMAL;205090
2;5;1;25;5.0;0.1;0.026;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.1, -0.1, 0.0, 0.0, 0.1, 0.1, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.5150083111257999;0.0035353865824147013;0.0069121676099881514;OPTIMAL;11
2;5;5;25;5.0;0.1;0.145;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.1, -0.1, 0.0, 0.0, 0.1, 0.1, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.13744112423431368;0.0006193921565108007;0.004527001281920529;OPTIMAL;76
2;5;1;25;5.0;1.0;32.906;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.3829619452569307, -0.3309739229171069, 0.0, 0.0, 0.26139563850096503, 0.275090952828273, 0.3334008602537675, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.3660217199680986;0.0034699659291005935;0.009570953361674663;OPTIMAL;16991
2;5;5;25;5.0;1.0;113.6;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.22326507320258718, -0.18064800302612408, 0.0, 0.0, 0.12558685694642005, 0.1628229940609395, 0.2075438616952733, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.06958437127924136;0.0006886115442932134;0.009994977150152646;OPTIMAL;47633
3;5;1;25;5.0;0.1;2.767;[0.0, 0.0, 0.0, -0.038115728175849475, -0.03254077563211416, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04790437130438656, 0.0, 0.0, 0.049024107889810875, 0.0, 0.031109239418461332, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0];0.654847813553246;0.0064280967135343925;0.009913481263129771;OPTIMAL;1582
3;5;5;25;5.0;0.1;4.92;[0.0, 0.0, 0.0, -0.070555253626354, -0.06746612950711987, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10000000000000002, 0.0, 0.0, 0.06909735817329386, 0.0, 0.07020098155101472, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0];0.36138332348683605;0.0034824314787614274;0.009730155907750183;OPTIMAL;2667
