seed,dimension,p,Ns,k,time,num_nodes,solution,termination
1,50,50,0.1,25.0,8657.0,1,-222.71563408090228,Optimal
1,50,50,1.0,25.0,1.800091e6,35243,Inf,Time limit reached
1,50,50,5.0,25.0,1.800058e6,34055,Inf,Time limit reached
1,50,50,10.0,25.0,1.800039e6,27715,-825.8042271035523,Time limit reached
2,50,50,0.1,25.0,286.0,3,-302.0153998798551,Optimal
2,50,50,1.0,25.0,1.800021e6,36021,Inf,Time limit reached
2,50,50,5.0,25.0,104217.0,2225,-1210.6857101022597,Optimal
2,50,50,10.0,25.0,10127.0,249,-1210.432734908089,Optimal
3,50,50,0.1,25.0,123.0,1,-853.8273904458755,Optimal
3,50,50,1.0,25.0,1.800063e6,33589,Inf,Time limit reached
3,50,50,5.0,25.0,1.32459e6,28101,-2870.9998411084157,Optimal
3,50,50,10.0,25.0,142176.0,2865,-2869.5455902954827,Optimal
4,50,50,0.1,25.0,284.0,3,-773.7596248149442,Optimal
4,50,50,1.0,25.0,1.800051e6,33239,Inf,Time limit reached
4,50,50,5.0,25.0,263878.0,5745,-2703.2323079263365,Optimal
4,50,50,10.0,25.0,3592.0,101,-2694.1750444700388,Optimal
5,50,50,0.1,25.0,106.0,1,-37.87934867243069,Optimal
5,50,50,1.0,25.0,1.800048e6,35457,Inf,Time limit reached
5,50,50,5.0,25.0,1.800066e6,29613,-101.59583475554183,Time limit reached
5,50,50,10.0,25.0,1.800078e6,27909,-101.59583835164219,Time limit reached
6,50,50,0.1,25.0,279.0,3,-101.22958198210041,Optimal
6,50,50,1.0,25.0,1.800095e6,35163,Inf,Time limit reached
6,50,50,5.0,25.0,1.800028e6,32811,Inf,Time limit reached
6,50,50,10.0,25.0,1.800002e6,28289,-463.45821447487765,Time limit reached
7,50,50,0.1,25.0,139.0,1,-541.6139508599326,Optimal
7,50,50,1.0,25.0,1.800048e6,36409,Inf,Time limit reached
7,50,50,5.0,25.0,3950.0,113,-1824.7863003760501,Optimal
7,50,50,10.0,25.0,3592.0,101,-1824.9642983018323,Optimal
8,50,50,0.1,25.0,116.0,1,-511.9861407488388,Optimal
8,50,50,1.0,25.0,1.800009e6,33373,Inf,Time limit reached
8,50,50,5.0,25.0,463908.0,8735,-2313.2133567909227,Optimal
8,50,50,10.0,25.0,284422.0,4521,-2304.264891471863,Optimal
9,50,50,0.1,25.0,312.0,3,-102.21426236675205,Optimal
9,50,50,1.0,25.0,1.800031e6,35249,Inf,Time limit reached
9,50,50,5.0,25.0,1.800024e6,30331,-242.17185133599764,Time limit reached
9,50,50,10.0,25.0,1.800062e6,28719,-242.17185856022041,Time limit reached
10,50,50,0.1,25.0,618.0,9,-21.380232171490142,Optimal
10,50,50,1.0,25.0,1.800044e6,37289,Inf,Time limit reached
10,50,50,5.0,25.0,1.800031e6,30035,-49.327540389685886,Time limit reached
