seed,dimension,p,k,M,time,solution,termination,calls
1,1,5,0.2,0.1,0.115641,0.6931471805599453,OPTIMAL,1
1,1,5,0.2,1.0,0.003029,0.6931471805599453,OPTIMAL,1
1,1,5,0.2,5.0,0.00276,0.6931471805599453,OPTIMAL,1
1,1,5,0.2,10.0,0.002636,0.6931471805599453,OPTIMAL,1
2,1,5,0.2,0.1,0.002548,0.6931471805599453,OPTIMAL,1
2,1,5,0.2,1.0,0.00249,0.6931471805599453,OPTIMAL,1
2,1,5,0.2,5.0,0.0024619999999999998,0.6931471805599453,OPTIMAL,1
2,1,5,0.2,10.0,0.0034449999999999997,0.6931471805599453,OPTIMAL,1
3,1,5,0.2,0.1,0.0030729999999999998,0.6931471805599453,OPTIMAL,1
3,1,5,0.2,1.0,0.00282,0.6931471805599453,OPTIMAL,1
3,1,5,0.2,5.0,0.0026219999999999998,0.6931471805599453,OPTIMAL,1
3,1,5,0.2,10.0,0.002508,0.6931471805599453,OPTIMAL,1
1,2,10,0.4,0.1,0.002614,0.6931471805599453,OPTIMAL,1
1,2,10,0.4,1.0,0.002626,0.6931471805599453,OPTIMAL,1
1,2,10,0.4,5.0,0.0025889999999999997,0.6931471805599453,OPTIMAL,1
1,2,10,0.4,10.0,0.002577,0.6931471805599453,OPTIMAL,1
2,2,10,0.4,0.1,0.002534,0.6931471805599453,OPTIMAL,1
2,2,10,0.4,1.0,0.002508,0.6931471805599453,OPTIMAL,1
2,2,10,0.4,5.0,0.0025299999999999997,0.6931471805599453,OPTIMAL,1
2,2,10,0.4,10.0,0.002469,0.6931471805599453,OPTIMAL,1
3,2,10,0.4,0.1,0.002461,0.6931471805599453,OPTIMAL,1
3,2,10,0.4,1.0,0.002484,0.6931471805599453,OPTIMAL,1
3,2,10,0.4,5.0,0.0025009999999999998,0.6931471805599453,OPTIMAL,1
3,2,10,0.4,10.0,0.002434,0.6931471805599453,OPTIMAL,1
1,3,15,0.6,0.1,0.0025,0.6931471805599452,OPTIMAL,1
1,3,15,0.6,1.0,0.002521,0.6931471805599452,OPTIMAL,1
1,3,15,0.6,5.0,0.002506,0.6931471805599452,OPTIMAL,1
1,3,15,0.6,10.0,0.002534,0.6931471805599452,OPTIMAL,1
2,3,15,0.6,0.1,0.0025369999999999998,0.6931471805599452,OPTIMAL,1
2,3,15,0.6,1.0,0.002598,0.6931471805599452,OPTIMAL,1
2,3,15,0.6,5.0,0.002548,0.6931471805599452,OPTIMAL,1
2,3,15,0.6,10.0,0.0025169999999999997,0.6931471805599452,OPTIMAL,1
3,3,15,0.6,0.1,0.0023409999999999998,0.6931471805599452,OPTIMAL,1
3,3,15,0.6,1.0,0.00234,0.6931471805599452,OPTIMAL,1
3,3,15,0.6,5.0,0.002346,0.6931471805599452,OPTIMAL,1
3,3,15,0.6,10.0,0.0023,0.6931471805599452,OPTIMAL,1
1,4,20,0.8,0.1,0.003547,0.6931471805599453,OPTIMAL,1
1,4,20,0.8,1.0,0.003303,0.6931471805599453,OPTIMAL,1
1,4,20,0.8,5.0,0.003094,0.6931471805599453,OPTIMAL,1
1,4,20,0.8,10.0,0.0029159999999999998,0.6931471805599453,OPTIMAL,1
2,4,20,0.8,0.1,0.002905,0.6931471805599453,OPTIMAL,1
2,4,20,0.8,1.0,0.002761,0.6931471805599453,OPTIMAL,1
2,4,20,0.8,5.0,0.0027489999999999997,0.6931471805599453,OPTIMAL,1
2,4,20,0.8,10.0,0.0027459999999999997,0.6931471805599453,OPTIMAL,1
3,4,20,0.8,0.1,0.0026609999999999997,0.6931471805599453,OPTIMAL,1
3,4,20,0.8,1.0,0.002732,0.6931471805599453,OPTIMAL,1
3,4,20,0.8,5.0,0.002624,0.6931471805599453,OPTIMAL,1
3,4,20,0.8,10.0,0.002623,0.6931471805599453,OPTIMAL,1
1,5,25,1.0,0.1,0.008794999999999999,0.6927789507236878,OPTIMAL,9
1,5,25,1.0,1.0,0.009582,0.692779222063479,OPTIMAL,12
1,5,25,1.0,5.0,0.009856,0.6927790110663251,OPTIMAL,15
1,5,25,1.0,10.0,0.010064,0.6927790048974342,OPTIMAL,16
2,5,25,1.0,0.1,0.008463,0.6931266560205034,OPTIMAL,7
2,5,25,1.0,1.0,0.009301,0.6931266222027154,OPTIMAL,11
2,5,25,1.0,5.0,0.009361999999999999,0.6931265723860982,OPTIMAL,13
2,5,25,1.0,10.0,0.009370999999999999,0.6931265883768283,OPTIMAL,14
3,5,25,1.0,0.1,0.008244,0.6931176648279064,OPTIMAL,9
3,5,25,1.0,1.0,0.00967,0.6931180685205376,OPTIMAL,12
3,5,25,1.0,5.0,0.009675,0.6931176861336596,OPTIMAL,15
3,5,25,1.0,10.0,0.010015999999999999,0.6931177044703992,OPTIMAL,16
1,6,30,1.2,0.1,0.008515,0.6926813355836786,OPTIMAL,9
1,6,30,1.2,1.0,0.009972,0.692681254830227,OPTIMAL,12
1,6,30,1.2,5.0,0.010258999999999999,0.6926813716349606,OPTIMAL,15
1,6,30,1.2,10.0,0.051965,0.6926813615287937,OPTIMAL,16
2,6,30,1.2,0.1,0.011944,0.6930429225065997,OPTIMAL,9
2,6,30,1.2,1.0,0.012296999999999999,0.6930430012959272,OPTIMAL,13
2,6,30,1.2,5.0,0.011843999999999999,0.6930431068804702,OPTIMAL,15
2,6,30,1.2,10.0,0.011737,0.6930430903591634,OPTIMAL,16
3,6,30,1.2,0.1,0.009564,0.6929752384980339,OPTIMAL,9
3,6,30,1.2,1.0,0.010919,0.6929754599167613,OPTIMAL,13
3,6,30,1.2,5.0,0.011202,0.6929752477249859,OPTIMAL,15
3,6,30,1.2,10.0,0.01166,0.692975255873014,OPTIMAL,16
1,7,35,1.4,0.1,0.009701999999999999,0.6931463653636954,OPTIMAL,9
