seed,dimension,p,k,Ns,solution,termination,time
1,50,50,25.0,0.1,-222.71560550387514,LOCALLY_SOLVED,1.4055628776550293
1,50,50,25.0,1.0,-833.8984312677679,LOCALLY_SOLVED,663.4426698684692
1,50,50,25.0,5.0,-834.845722012485,LOCALLY_SOLVED,635.7035658359528
1,50,50,25.0,10.0,-834.845722012503,LOCALLY_SOLVED,684.9468569755554
2,50,50,25.0,0.1,-302.01535895437155,LOCALLY_SOLVED,1.5838589668273926
2,50,50,25.0,1.0,-1219.398647495054,LOCALLY_SOLVED,244.2457890510559
2,50,50,25.0,5.0,-1220.3803375657471,LOCALLY_SOLVED,870.0213739871979
2,50,50,25.0,10.0,-1220.380337565724,LOCALLY_SOLVED,1048.0897550582886
3,50,50,25.0,0.1,-853.8272779310887,LOCALLY_SOLVED,1.8458669185638428
3,50,50,25.0,1.0,-2892.676187071547,LOCALLY_SOLVED,277.30375504493713
3,50,50,25.0,5.0,-2895.598916413124,LOCALLY_SOLVED,1798.6423330307007
3,50,50,25.0,10.0,-2895.598916413084,LOCALLY_SOLVED,1809.1846280097961
4,50,50,25.0,0.1,-773.759516012182,LOCALLY_SOLVED,3.0317041873931885
4,50,50,25.0,1.0,-2704.2389662671967,LOCALLY_SOLVED,627.109344959259
4,50,50,25.0,5.0,-2717.6590144510737,LOCALLY_SOLVED,1806.0574741363525
4,50,50,25.0,10.0,-2717.659014450942,LOCALLY_SOLVED,1804.3830180168152
5,50,50,25.0,0.1,-37.87934384134722,LOCALLY_SOLVED,1.4584379196166992
5,50,50,25.0,1.0,-101.74953875753894,LOCALLY_SOLVED,63.67045307159424
5,50,50,25.0,5.0,-102.70308736034646,LOCALLY_SOLVED,475.0350270271301
5,50,50,25.0,10.0,-102.70308736085263,LOCALLY_SOLVED,562.6890909671783
6,50,50,25.0,0.1,-101.2350636320607,LOCALLY_SOLVED,2.751922845840454
6,50,50,25.0,1.0,-475.5515211376795,LOCALLY_SOLVED,1522.9381160736084
6,50,50,25.0,5.0,-479.60235189443637,LOCALLY_SOLVED,1806.121395111084
6,50,50,25.0,10.0,-479.6023518943287,LOCALLY_SOLVED,1801.6746711730957
7,50,50,25.0,0.1,-541.6138775988267,LOCALLY_SOLVED,1.3806641101837158
7,50,50,25.0,1.0,-1834.4534692053323,LOCALLY_SOLVED,98.28293085098267
7,50,50,25.0,5.0,-1836.9118518168382,LOCALLY_SOLVED,310.3524739742279
7,50,50,25.0,10.0,-1836.911851816832,LOCALLY_SOLVED,362.05874609947205
8,50,50,25.0,0.1,-511.98607109957976,LOCALLY_SOLVED,1.7420949935913086
8,50,50,25.0,1.0,-2313.0913017674156,LOCALLY_SOLVED,643.6613209247589
8,50,50,25.0,5.0,-2323.5262409195307,LOCALLY_SOLVED,1811.0333139896393
8,50,50,25.0,10.0,-2323.5262409194484,LOCALLY_SOLVED,1813.3681049346924
9,50,50,25.0,0.1,-102.2241005224634,LOCALLY_SOLVED,1.8401210308074951
9,50,50,25.0,1.0,-246.8121374062978,LOCALLY_SOLVED,819.882817029953
9,50,50,25.0,5.0,-248.00835812026847,LOCALLY_SOLVED,488.85784697532654
9,50,50,25.0,10.0,-248.00835812026682,LOCALLY_SOLVED,982.7934679985046
10,50,50,25.0,0.1,-21.38022952089062,LOCALLY_SOLVED,1.97147798538208
10,50,50,25.0,1.0,-52.619720394248425,LOCALLY_SOLVED,276.3188600540161
10,50,50,25.0,5.0,-52.88675505600216,LOCALLY_SOLVED,1443.1301300525665
10,50,50,25.0,10.0,-52.886755056002364,LOCALLY_SOLVED,1008.4021329879761
1,70,70,35.0,0.1,-2797.8213811187265,LOCALLY_SOLVED,1.7753701210021973
1,70,70,35.0,1.0,-7248.664069866579,LOCALLY_SOLVED,1821.3131041526794
1,70,70,35.0,5.0,-7252.149737466252,LOCALLY_SOLVED,1801.7686500549316
1,70,70,35.0,10.0,-7252.259250843956,LOCALLY_SOLVED,1800.8094520568848
2,70,70,35.0,0.1,-276.76328213309256,LOCALLY_SOLVED,3.05833101272583
2,70,70,35.0,1.0,-641.458852111693,LOCALLY_SOLVED,1804.4568319320679
2,70,70,35.0,5.0,-645.4865468470596,LOCALLY_SOLVED,1806.332767009735
2,70,70,35.0,10.0,-645.3179493704612,LOCALLY_SOLVED,1826.9232249259949
3,70,70,35.0,0.1,-146048.30632817594,LOCALLY_SOLVED,1.81797194480896
3,70,70,35.0,1.0,-453594.06474894774,LOCALLY_SOLVED,1801.803235054016
3,70,70,35.0,5.0,-453595.93923789804,LOCALLY_SOLVED,1801.6209650039673
3,70,70,35.0,10.0,-453596.09982618684,LOCALLY_SOLVED,1803.0906450748444
4,70,70,35.0,0.1,-46348.15536630374,LOCALLY_SOLVED,1.7496819496154785
4,70,70,35.0,1.0,-121681.58427670444,LOCALLY_SOLVED,321.04572010040283
4,70,70,35.0,5.0,-121681.71880961779,LOCALLY_SOLVED,523.9199299812317
4,70,70,35.0,10.0,-121681.7013878342,LOCALLY_SOLVED,1804.2138319015503
5,70,70,35.0,0.1,-3035.6683957601745,LOCALLY_SOLVED,2.9263410568237305
5,70,70,35.0,1.0,-10633.41650996938,LOCALLY_SOLVED,1824.3066527843475
5,70,70,35.0,5.0,-10637.688612972976,LOCALLY_SOLVED,1801.136729001999
5,70,70,35.0,10.0,-10637.188369256004,LOCALLY_SOLVED,1801.7411589622498
