lmo_calls,active_set_size,discarded_set_size
[27],[8],[5]
"[20, 18]","[5, 4]","[7, 2]"
"[19, 27, 19, 21]","[8, 4, 4, 8]","[3, 7, 6, 7]"
"[21, 19, 18, 19, 16, 28, 13, 17]","[7, 5, 5, 6, 3, 7, 5, 4]","[9, 3, 4, 8, 2, 6, 9, 5]"
"[19, 18, 22, 19, 20, 16, 17, 23, 16, 22, 17, 20, 20, 19, 17, 23]","[9, 10, 5, 7, 7, 5, 5, 7, 3, 7, 6, 7, 6, 6, 7, 8]","[4, 6, 6, 5, 3, 8, 9, 5, 1, 6, 3, 2, 10, 4, 5, 8]"
"[18, 19, 17, 19, 19, 14, 24, 8, 18, 20, 18, 18, 20, 16, 16, 21, 20, 20, 19, 15, 21, 23, 17, 20, 18, 26, 14, 24, 16, 21]","[5, 7, 5, 8, 7, 4, 7, 2, 5, 7, 8, 6, 6, 4, 4, 4, 5, 5, 5, 6, 6, 7, 4, 6, 7, 6, 5, 7, 5, 5]","[8, 3, 4, 5, 5, 6, 3, 4, 6, 4, 7, 3, 8, 7, 11, 1, 5, 7, 4, 0, 6, 5, 7, 3, 6, 7, 3, 2, 5, 3]"
"[23, 10, 17, 21, 19, 17, 9, 24, 13, 20, 14, 19, 19, 19, 19, 15, 19, 20, 20, 18, 19, 23, 21, 26, 18, 21, 23, 18, 21, 12, 25, 23, 18, 25, 18, 15, 19, 21, 19, 18, 13, 11, 18, 15]","[6, 8, 8, 6, 7, 3, 9, 6, 6, 4, 4, 7, 5, 6, 3, 5, 7, 8, 7, 6, 5, 8, 5, 9, 7, 8, 4, 4, 10, 4, 9, 6, 7, 5, 4, 6, 4, 3, 2, 7, 6, 7, 7, 8]","[5, 10, 6, 7, 7, 4, 4, 5, 10, 2, 5, 7, 6, 4, 5, 5, 3, 6, 8, 4, 8, 7, 5, 5, 6, 8, 5, 5, 7, 3, 3, 6, 5, 3, 5, 5, 3, 6, 3, 2, 6, 3, 5, 3]"
"[15, 26, 16, 19, 16, 16, 18, 15, 20, 20, 17, 18, 14, 20, 12, 22, 7, 15, 19, 22, 17, 22, 20, 16, 25, 21, 15, 20, 16, 16, 15, 25, 19, 17, 12, 23, 19, 23, 18, 21, 17, 13, 14, 17, 20, 19, 21, 22, 21, 13, 18, 19, 22, 16, 17, 19, 16, 21, 16, 11, 19, 16, 18, 20, 18, 10]","[4, 10, 5, 5, 6, 6, 5, 6, 9, 8, 6, 5, 7, 5, 5, 3, 6, 8, 5, 7, 5, 9, 4, 7, 7, 7, 6, 5, 4, 5, 5, 5, 6, 5, 4, 5, 5, 4, 5, 7, 6, 5, 6, 5, 8, 4, 3, 6, 5, 4, 2, 6, 7, 4, 3, 11, 13, 7, 8, 7, 6, 6, 3, 4, 7, 7]","[6, 4, 6, 8, 4, 2, 9, 5, 7, 3, 8, 2, 4, 4, 7, 3, 5, 9, 9, 5, 5, 2, 3, 8, 7, 2, 5, 3, 8, 3, 5, 3, 5, 4, 3, 3, 7, 6, 7, 7, 12, 4, 4, 4, 2, 10, 7, 3, 7, 8, 5, 4, 3, 7, 0, 14, 4, 3, 7, 3, 5, 2, 7, 4, 4, 4]"
"[21, 23, 16, 16, 14, 22, 13, 18, 17, 23, 8, 19, 18, 16, 18, 19, 20, 23, 18, 24, 18, 18, 16, 19, 17, 21, 17, 25, 18, 21, 13, 15, 19, 22, 20, 23, 13, 20, 17, 20, 18, 15, 20, 13, 16, 24, 18, 19, 20, 17, 16, 17, 19, 17, 10, 20, 20, 19, 7, 19, 15, 18, 17, 20, 17, 8, 13, 16, 17, 9, 24, 17, 19, 8, 6, 15, 7, 17, 5, 19, 7, 18, 20, 15, 14, 19, 15, 5, 20, 13, 2, 15]","[5, 4, 4, 5, 6, 2, 6, 6, 5, 7, 7, 7, 6, 3, 5, 4, 5, 10, 7, 4, 7, 5, 5, 6, 6, 4, 7, 4, 6, 6, 3, 7, 4, 2, 3, 7, 6, 5, 7, 5, 5, 7, 7, 4, 4, 2, 4, 6, 4, 3, 2, 5, 8, 5, 5, 6, 5, 3, 5, 5, 3, 7, 6, 7, 6, 6, 7, 4, 3, 4, 6, 6, 2, 6, 7, 5, 7, 2, 6, 7, 9, 6, 6, 10, 9, 8, 5, 6, 3, 8, 4, 5]","[4, 3, 5, 3, 6, 5, 10, 2, 3, 2, 7, 5, 4, 3, 5, 3, 8, 3, 9, 2, 5, 6, 4, 5, 6, 3, 6, 4, 3, 7, 3, 3, 9, 4, 2, 6, 8, 2, 4, 3, 0, 6, 7, 6, 3, 4, 4, 4, 6, 0, 2, 2, 5, 2, 11, 3, 3, 7, 6, 2, 4, 8, 3, 2, 4, 2, 6, 5, 4, 7, 2, 3, 5, 1, 10, 5, 8, 1, 10, 3, 6, 5, 2, 3, 9, 2, 4, 7, 4, 6, 6, 6]"
"[21, 18, 17, 19, 23, 18, 20, 16, 20, 21, 18, 14, 17, 20, 18, 20, 22, 19, 23, 20, 18, 18, 16, 17, 19, 20, 5, 13, 19, 14, 2, 17, 15, 18, 16, 20, 16, 18, 15, 18, 12, 17, 15, 20, 9, 17, 18, 17, 13, 16, 12, 24, 16, 21, 12, 23, 20, 13, 19, 19, 19, 6, 16, 7, 11, 4, 17, 19, 7, 19, 11, 8, 5, 11, 7, 13, 6, 15, 15, 5, 22, 16, 16, 16, 20, 13, 19, 13, 13, 21, 21, 21, 13, 7, 8, 18, 11, 10, 12, 19, 21, 15, 6, 14, 13, 14, 14, 13, 11, 15]","[6, 7, 5, 5, 8, 6, 6, 6, 3, 2, 5, 7, 4, 7, 4, 8, 7, 6, 8, 7, 3, 2, 4, 5, 7, 6, 6, 5, 5, 3, 2, 5, 5, 4, 3, 5, 6, 4, 7, 3, 7, 4, 2, 6, 8, 8, 6, 5, 5, 5, 9, 6, 5, 4, 7, 4, 3, 4, 7, 3, 4, 8, 5, 8, 4, 3, 7, 5, 6, 6, 9, 7, 3, 4, 6, 8, 5, 10, 4, 3, 6, 7, 5, 3, 7, 10, 9, 7, 8, 3, 5, 4, 9, 6, 6, 6, 7, 5, 6, 6, 3, 4, 6, 10, 8, 7, 6, 4, 7, 9]","[4, 3, 6, 1, 7, 6, 7, 1, 0, 2, 3, 8, 6, 2, 2, 3, 6, 6, 9, 2, 2, 1, 3, 1, 5, 2, 10, 6, 3, 8, 3, 7, 7, 6, 6, 3, 2, 5, 6, 4, 9, 1, 4, 2, 4, 5, 1, 5, 3, 2, 3, 6, 1, 1, 7, 4, 2, 4, 3, 2, 2, 6, 4, 7, 5, 3, 8, 4, 6, 3, 5, 5, 5, 3, 5, 9, 4, 9, 5, 2, 6, 1, 5, 3, 8, 4, 5, 6, 9, 2, 7, 3, 4, 1, 6, 2, 7, 2, 3, 4, 4, 6, 3, 6, 12, 1, 3, 5, 5, 2]"
