seed,dimension,p,k,Ns,time,solution,termination
2,50,50,25.0,0.1,1.5838589668273926,-302.01535895437155,LOCALLY_SOLVED
2,50,50,25.0,0.1,0.33724498748779297,-302.01535895437155,LOCALLY_SOLVED
2,50,50,25.0,0.1,0.3464779853820801,-302.01535895437155,LOCALLY_SOLVED
