dimension,p,k,timeBoscia,terminationBoscia,relGapBoscia,timeScip,terminationScip,relGapScip,timeScipTol,terminationScipTol,timeIpopt,terminationIpopt,relGapIpopt,timeNoWs,terminationNoWs,relGapNoWs,timeNoAs,terminationNoAs,relGapNoAs,timeNoSs,terminationNoSs,relGapNoSs,timeAfw,terminationAfw,relGapAfw,optimalBoscia,optimalIpopt,optimalScip,NumInstances,terminationBosciaRel,terminationScipRel,terminationNoWsRel,terminationNoAsRel,terminationNoSsRel,terminationAfwRel,terminationIpoptRel,terminationScipTolRel,BosciaGeoMeanIntersection,NoWsGeoMeanIntersection,NoAsGeoMeanIntersection,NoSsGeoMeanIntersection,AfwGeoMeanIntersection
15,75,3,2,10,1.0,0,10.0,22.0,0,9.0,25,10.0,1.0,4,10.0,1.0,4,10.0,1.0,2,10.0,1.0,19,10.0,NaN,10.0,10.0,0.0,10,100,100,100,100,100,100,100,90,2,4,4,2,19
16,80,4,12,10,1.0,0,10.0,28.0,1,7.0,76,9.0,1.0,17,9.0,1.0,14,9.0,1.0,11,10.0,1.0,16,10.0,NaN,10.0,10.0,0.0,10,100,100,90,90,100,100,90,70,7,10,8,6,9
17,85,4,9,9,1.0,0,10.0,29.0,2,6.0,75,9.0,1.0,14,9.0,2.0,12,9.0,2.0,9,9.0,1.0,13,9.0,NaN,10.0,10.0,0.0,10,90,100,90,90,90,90,90,60,5,8,7,5,8
18,90,4,14,10,1.0,0,10.0,28.0,7,5.0,147,9.0,1.0,23,10.0,1.0,20,10.0,1.0,14,10.0,1.0,32,10.0,NaN,10.0,10.0,0.0,10,100,100,100,100,100,100,90,50,14,23,20,14,32
19,95,4,11,10,1.0,0,10.0,32.0,0,9.0,122,8.0,1.0,20,10.0,1.0,17,10.0,1.0,12,10.0,1.0,15,10.0,NaN,10.0,10.0,0.0,10,100,100,100,100,100,100,80,90,11,20,17,12,15
20,100,4,37,9,1.0,0,10.0,31.0,0,8.0,147,9.0,1.0,73,9.0,2.0,54,9.0,1.0,43,9.0,1.0,155,10.0,NaN,10.0,10.0,0.0,10,90,100,90,90,90,100,90,80,24,51,37,28,118
21,105,5,74,9,2.0,0,10.0,31.0,4,6.0,184,8.0,1.0,91,9.0,2.0,77,9.0,2.0,62,9.0,2.0,90,9.0,NaN,10.0,8.0,0.0,10,90,100,90,90,90,90,80,60,52,65,54,43,64
22,110,5,137,9,3.0,0,10.0,31.0,13,5.0,402,8.0,1.0,186,9.0,3.0,154,9.0,3.0,130,9.0,3.0,168,9.0,NaN,10.0,8.0,0.0,10,90,100,90,90,90,90,80,50,103,145,118,97,129
23,115,5,155,9,3.0,0,10.0,36.0,10,5.0,506,9.0,1.0,231,9.0,3.0,192,9.0,3.0,155,9.0,3.0,186,9.0,NaN,10.0,9.0,0.0,10,90,100,90,90,90,90,90,50,118,184,150,118,145
24,120,5,200,9,2.0,0,10.0,38.0,28,4.0,571,7.0,1.0,272,8.0,2.0,237,8.0,2.0,202,9.0,2.0,199,9.0,NaN,10.0,8.0,0.0,10,90,100,80,80,90,90,70,40,115,170,143,117,115
25,125,5,178,8,3.0,0,10.0,34.0,5,6.0,545,8.0,1.0,246,8.0,3.0,264,8.0,3.0,191,8.0,3.0,217,8.0,NaN,10.0,8.0,0.0,10,80,100,80,80,80,80,80,60,100,149,163,109,128
26,130,6,505,7,3.0,0,10.0,40.0,29,4.0,1197,5.0,1.0,611,7.0,4.0,588,7.0,4.0,558,7.0,4.0,695,7.0,NaN,10.0,6.0,0.0,10,70,100,70,70,70,70,50,40,293,385,364,338,462
27,135,6,324,9,3.0,0,10.0,40.0,197,3.0,809,6.0,2.0,393,9.0,3.0,355,9.0,3.0,307,9.0,3.0,290,9.0,3.0,10.0,6.0,0.0,10,90,100,90,90,90,90,60,30,268,332,296,252,237
28,140,6,592,6,4.0,0,10.0,39.0,83,3.0,1158,4.0,2.0,884,5.0,4.0,896,5.0,4.0,615,6.0,4.0,749,6.0,NaN,10.0,5.0,0.0,10,60,100,50,50,60,60,40,30,237,434,446,253,382
29,145,6,655,5,4.0,0,10.0,44.0,647,1.0,908,4.0,2.0,675,4.0,4.0,651,4.0,4.0,674,5.0,4.0,624,5.0,4.0,10.0,5.0,0.0,10,50,100,40,40,50,50,40,10,146,155,142,157,133
30,150,6,795,4,4.0,0,10.0,40.0,236,2.0,1173,3.0,2.0,857,4.0,4.0,881,4.0,4.0,796,4.0,4.0,760,6.0,4.0,10.0,4.0,0.0,10,40,100,40,40,40,60,30,20,233,282,302,234,220
