dimension,time_boscia,seed,solution_boscia,termination_boscia,lb_boscia,rel_gap_boscia,termination_afw,time_afw,rel_gap_afw,termination_no_ws,time_no_ws,rel_gap_no_ws,termination_ipopt,time_ipopt,solution_ipopt,termination_no_as,time_no_as,rel_gap_no_as,termination_no_ss,time_no_ss,rel_gap_no_ss,termination_pavito,time_pavito,solution_pavito,termination_scip,time_scip,solution_scip,optimal_scip,optimal_ipopt,optimal_boscia,optimal_pavito,rel_gap_scip,rel_gap_ipopt,rel_gap_pavito
20,18.493,1,-2.485383514659386,1,-2.5094500057635267,0.009683210241876522,1,26.881,0.008655145954049976,1,19.4,0.00834614929676957,1,7.604,-2.4853835177181796,1,21.069,0.008693633985891108,1,19.674,0.009847880268821515,0,9.258414030075073,-0.5518160722106553,1,34.583713,-2.485383514659386,1,1,1,0,0.01,0.01,3.548
25,6.36,1,4.76260907095854,1,4.718101663531427,0.00943332946195985,1,6.413,0.009420809434588952,1,7.117,0.0094106429488626,1,1.501,4.762608865652315,1,7.907,0.009408645507241737,1,6.844,0.00943332946195985,0,9.536549091339111,8.509304099575786,1,13.869545,4.76260907095854,1,1,1,0,0.009,0.009,0.804
30,42.37,1,3.940864615749264,1,3.904933299633917,0.009201518530089993,1,39.414,0.009216110947327839,1,40.694,0.009084123734896326,1,4.008,3.9408644354907603,1,44.123,0.009129238255951556,1,45.583,0.009085192562708384,0,9.491075038909912,3.940864615749264,1,195.089814,3.940864615749264,1,1,1,1,0.009,0.009,0.009
35,37.791,1,5.444620365578516,1,5.396883042967871,0.008845350590438882,1,39.879,0.008918464025674857,1,41.3,0.00938864285452056,1,3.162,5.444620174907913,1,40.079,0.008799957593543435,1,36.698,0.008845350590438882,0,11.887639045715332,6.623467467504758,0,1800.002163,5.444620365578516,1,1,1,0,0.009,0.009,0.227
40,87.722,1,4.38234345670403,1,4.341032130199495,0.009516475636552441,1,98.474,0.009457684534339176,1,92.532,0.009113602847426511,1,7.839,4.382343245167058,1,100.981,0.007092577825250039,1,94.714,0.009263773874174446,0,9.25043797492981,5.84652615576876,0,1800.001164,5.918082771621908,0,1,1,0,0.363,0.01,0.347
45,186.318,1,9.570033809940176,1,9.476485030760509,0.00987167487480949,1,181.443,0.008841787281379647,1,210.275,0.009955830793871448,1,6.134,9.570033444033822,1,212.503,0.009775628307173762,1,188.621,0.008441719745505867,0,9.241243839263916,13.64063400710165,0,1800.003635,9.570033809940176,1,1,1,0,0.01,0.01,0.439
50,170.204,1,7.593465317694221,1,7.536734552058492,0.007527234141506846,1,158.967,0.006649012931521404,1,190.023,0.007822343144604199,1,6.74,7.593464871197256,1,188.065,0.009255999013579137,1,208.222,0.009913348470315076,0,9.588149070739746,9.126276514892815,0,1800.010387,10.541085289164421,0,1,1,0,0.399,0.008,0.211
55,442.701,1,10.195430430955852,1,10.094733999864504,0.00997514457465646,1,428.152,0.009624902997773755,1,501.887,0.00984773918134481,1,12.157,10.19543019979385,1,502.004,0.009717724956768854,1,457.733,0.007917512177511615,0,9.596599102020264,12.668798582570373,0,1800.004726,13.063665052617793,0,1,1,0,0.294,0.01,0.255
60,708.902,1,12.541279912026196,1,12.428504168631358,0.009073959493812296,1,611.247,0.00985939058337156,1,934.356,0.009016056981146095,1,18.925,12.541279610811339,1,723.643,0.009627386950698714,1,700.453,0.00958338652939878,0,11.707895994186401,16.43524951022471,0,1800.006348,17.298524774381658,0,1,1,0,0.392,0.009,0.322
65,333.392,1,9.812801297611847,1,9.725467342935957,0.008979923698918604,1,291.227,0.009853079737848453,1,375.442,0.009348950552551494,1,15.513,9.812800908728509,1,391.68,0.008983580333790977,1,350.285,0.00898021991066987,0,9.109781980514526,13.171217740306876,0,1800.008773,14.393100078346817,0,1,1,0,0.48,0.009,0.354
70,476.189,1,16.60647948866525,1,16.443676227043298,0.009900660860386334,1,460.611,0.009229365424659079,1,544.523,0.009968294534014661,1,26.707,16.60647895616116,1,528.256,0.009832664816408468,1,491.487,0.009453438608555397,0,6.871381998062134,18.655297449273025,0,1800.011674,21.06053732017967,0,1,1,0,0.281,0.01,0.134
80,233.539,1,14.894398525861385,1,14.781276568862037,0.007653057330491285,1,250.797,0.008894328614481521,1,293.258,0.009555246115807393,1,19.581,14.89439795576267,1,309.969,0.009402852364273974,1,230.748,0.008301369757025119,0,9.599561929702759,14.894398525861385,0,1800.005897,23.96335864173823,0,1,1,1,0.621,0.008,0.008
85,1643.106,1,11.027272700661898,1,10.921331666418723,0.009700376975907258,1,1059.633,0.008977863266396664,0,1800.892,0.1443202550087281,1,56.258,11.027272243390561,0,1800.43,0.18070231819222418,1,1469.668,0.009510748945148993,0,9.341561794281006,11.027272700661898,0,1800.011942,16.40695168910607,0,1,1,1,0.502,0.01,0.01
95,1800.952,1,7.936791180583102,0,-0.989084620715408,9.024380335468562,0,1800.11,9.917389122274917,0,1800.777,5.541384945694935,1,218.818,7.356136459710876,0,1800.285,5.708184456892408,0,1800.19,54.90668720544368,0,9.629021167755127,7.936791180583102,0,1800,Inf,0,0,1,0,Inf,Inf,Inf
100,1800.904,1,4.52077837430226,0,-0.5532941282077628,9.170660312167096,0,1800.244,42.99547388593552,0,1800.388,3.3527473869046256,1,730.944,4.40572830004109,0,1802.073,2.769018597393151,0,1800.495,14.130023510012066,0,9.999212980270386,5.4646249104408025,0,1800,Inf,0,0,1,0,Inf,Inf,Inf
