dimension,time_boscia,seed,M,varA,termination_boscia,solution_boscia,lb_boscia,rel_gap_boscia,termination_afw,time_afw,rel_gap_afw,termination_no_ws,time_no_ws,rel_gap_no_ws,termination_no_as,time_no_as,rel_gap_no_as,termination_no_ss,time_no_ss,rel_gap_no_ss,termination_scip,solution_scip,time_scip,optimal_scip,optimal_boscia,rel_gap_scip
10,1.178,1,0.1,1,1,0.4839787794388131,0.483978690874162,1.8299287299793733e-7,1,0.323,1.1655803764174296e-7,1,0.404,1.8299287299793733e-7,1,0.6,1.8299287299793733e-7,1,0.282,1.8299287299793733e-7,1,0.4839792224020128,17.202905,1,1,0.0
10,0.613,1,0.1,5,1,0.11922551715862784,0.11922543398130198,6.976474992183101e-7,1,0.322,6.328558940706941e-7,1,726.898,0.00997201979371505,1,685.729,0.00997201979371505,1,0.359,6.976474992183101e-7,1,0.1192259073501298,22.044521,1,1,0.0
10,0.852,1,1.0,1,1,0.4833375449435047,0.4833371801132648,7.548151785505201e-7,1,0.668,5.176256182151627e-7,1,4.762,0.00958914002926745,1,2.992,0.00958914002926745,1,0.816,7.548151785505201e-7,1,0.48333801772506246,36.949886,1,1,0.0
10,0.864,1,1.0,5,1,0.1192255171586075,0.11922521437364428,2.5396051063333772e-6,1,0.865,1.137642333425462e-6,0,1800.561,0.011306012630712878,0,1801.948,0.011361255514670687,1,0.847,2.5396051063333772e-6,1,0.11922593678275004,36.871485,1,1,0.0
10,0.606,2,0.1,1,1,0.6202681730603599,0.620268074467977,1.5895124523048563e-7,1,0.285,1.5435590659442762e-7,1,2.427,0.00821309721465836,1,2.404,0.00821309721465836,1,0.597,1.5895124523048563e-7,1,0.6202685831439365,24.177041,1,1,0.0
10,0.413,2,0.1,5,1,0.2506403354067891,0.2506402642657521,2.83837224694089e-7,1,0.334,2.195510151932519e-7,1,63.604,0.00993046305432493,1,63.047,0.00993046305432493,1,0.347,2.83837224694089e-7,1,0.2506407614406179,24.154858,1,1,0.0
10,0.77,2,1.0,1,1,0.6202681730603544,0.6202673663518632,1.300581870000176e-6,1,0.577,1.0035764232024152e-6,1,1.595,0.00978961732010008,1,1.584,0.00978961732010008,1,0.701,1.300581870000176e-6,1,0.620268590455355,41.60995,1,1,0.0
10,0.802,2,1.0,5,1,0.25064033540678643,0.25063991013626036,1.6967390621904933e-6,1,0.731,2.7333906935049125e-6,1,674.783,0.0099982297878424,1,552.251,0.009991961931095798,1,0.759,1.6967390621904933e-6,1,0.2506405994331876,41.970913,1,1,0.0
10,0.556,3,0.1,1,1,0.6177061922885748,0.6177060730932642,1.9296444670645034e-7,1,0.248,1.0970779804062361e-7,1,1.834,0.009510180063807909,1,1.85,0.009510180063807909,1,0.563,1.9296444670645034e-7,1,0.6177065765499764,21.803597,1,1,0.0
10,0.391,3,0.1,5,1,0.25014774592436784,0.2501476515093455,3.7743717275045624e-7,1,0.331,2.9800291641889023e-7,1,70.906,0.009990181503190488,1,68.239,0.009990181503190488,1,0.372,3.7743717275045624e-7,1,0.25014814853954925,25.181911,1,1,0.0
