seed,dimension,var_A,M,time,solution,dual_gap,rel_dual_gap,termination,ncalls
1,10,1,0.1,0.282,0.4839787794388131,8.85646511128435e-8,1.8299287299793733e-7,OPTIMAL,21
1,10,5,0.1,0.359,0.11922551715862784,8.317732586027304e-8,6.976474992183101e-7,OPTIMAL,29
1,10,1,1.0,0.816,0.4833375449435047,3.648302399072989e-7,7.548151785505201e-7,OPTIMAL,53
1,10,5,1.0,0.847,0.1192255171586075,3.0278496322699855e-7,2.5396051063333772e-6,OPTIMAL,72
2,10,1,0.1,0.597,0.6202681730603599,9.859238281340055e-8,1.5895124523048563e-7,OPTIMAL,30
2,10,5,0.1,0.347,0.2506403354067891,7.114103700578411e-8,2.83837224694089e-7,OPTIMAL,33
2,10,1,1.0,0.701,0.6202681730603544,8.067084912299904e-7,1.300581870000176e-6,OPTIMAL,55
2,10,5,1.0,0.759,0.25064033540678643,4.252705260721079e-7,1.6967390621904933e-6,OPTIMAL,68
3,10,1,0.1,0.563,0.6177061922885748,1.1919531062165589e-7,1.9296444670645034e-7,OPTIMAL,25
3,10,5,0.1,0.372,0.25014774592436784,9.441502235585375e-8,3.7743717275045624e-7,OPTIMAL,36
3,10,1,1.0,0.713,0.617706192288567,8.796468519145506e-7,1.4240558303644837e-6,OPTIMAL,52
3,10,5,1.0,0.752,0.25014774592436595,9.165175795522451e-7,3.6639184343280757e-6,OPTIMAL,68
4,10,1,0.1,0.531,0.6105890503771487,9.826674873814056e-8,1.6093764618324284e-7,OPTIMAL,21
4,10,5,0.1,0.381,0.2402774497229948,8.964271941414026e-8,3.730801744458617e-7,OPTIMAL,38
4,10,1,1.0,0.726,0.6105890503771372,4.1294841379713176e-7,6.763119856539043e-7,OPTIMAL,61
4,10,5,1.0,0.819,0.24027744972298654,5.537056727566991e-7,2.30444825089134e-6,OPTIMAL,72
5,10,1,0.1,0.322,0.6051447637018624,6.45080470151882e-8,1.0659937549007199e-7,OPTIMAL,27
5,10,5,0.1,0.41,0.2250744327169264,9.871046188769661e-8,4.385682726705813e-7,OPTIMAL,37
5,10,1,1.0,0.719,0.6051447637018582,6.742336556841977e-7,1.114170438773864e-6,OPTIMAL,60
5,10,5,1.0,0.836,0.2250744327169104,6.254828698315507e-7,2.77901226054771e-6,OPTIMAL,74
1,15,1,0.1,1.047,0.5636770554553646,1.0088399104990486e-7,1.7897483697309963e-7,OPTIMAL,27
1,15,5,0.1,0.541,0.18277872952962687,8.981863239276855e-8,4.914066136764546e-7,OPTIMAL,38
1,15,1,1.0,1.174,0.563677055455361,9.501628707164755e-7,1.6856539807083683e-6,OPTIMAL,55
1,15,5,1.0,1.454,0.18277872952962068,5.623235805052307e-7,3.076535830843192e-6,OPTIMAL,83
2,15,1,0.1,1.047,0.6274398534232225,1.5707190148539496e-7,2.5033784505315393e-7,OPTIMAL,29
2,15,5,0.1,1.15,0.2631059047003624,1.1743305877720545e-7,4.46334001227798e-7,OPTIMAL,46
2,15,1,1.0,1.181,0.6274398534232165,1.6816179430056977e-6,2.680133308063365e-6,OPTIMAL,62
2,15,5,1.0,1.252,0.26310590470035694,1.0154147973562289e-6,3.859353583711451e-6,OPTIMAL,68
3,15,1,0.1,1.065,0.6252714289032715,1.930301366526166e-7,3.0871424364030985e-7,OPTIMAL,36
3,15,5,0.1,1.138,0.26389846403729855,1.120323122605349e-7,4.2452827541120103e-7,OPTIMAL,44
3,15,1,1.0,1.228,0.6252714289032598,1.2076949892358968e-6,1.9314769011422774e-6,OPTIMAL,65
3,15,5,1.0,1.354,0.2638984640372931,9.370278432618839e-7,3.550726124191115e-6,OPTIMAL,83
4,15,1,0.1,1.023,0.6340664353316329,1.1130797683556182e-7,1.7554626798222623e-7,OPTIMAL,31
4,15,5,0.1,1.146,0.28085071265848094,1.241881874558537e-7,4.421859613407557e-7,OPTIMAL,44
4,15,1,1.0,1.234,0.6340664353316313,1.4236535639255976e-6,2.2452801175038284e-6,OPTIMAL,63
4,15,5,1.0,1.429,0.2808507126584747,1.0316706380852914e-6,3.6733908133937745e-6,OPTIMAL,89
5,15,1,0.1,1.019,0.6091351395410676,1.2413008543266102e-7,2.0378090619024865e-7,OPTIMAL,27
5,15,5,0.1,0.627,0.2347666892690487,9.871863984600715e-8,4.20496969413586e-7,OPTIMAL,41
5,15,1,1.0,1.266,0.6091351395410545,1.0593977275430433e-6,1.7391864321460572e-6,OPTIMAL,67
5,15,5,1.0,1.38,0.2347666892690475,1.1952506192847157e-6,5.091253398554785e-6,OPTIMAL,87
1,20,1,0.1,1.523,0.6222824804020576,1.9235476600432122e-7,3.091117483159071e-7,OPTIMAL,32
1,20,5,0.1,1.716,0.2631864298415595,1.3897619782765602e-7,5.280525720800257e-7,OPTIMAL,44
1,20,1,1.0,1.921,0.6222824804020556,2.509653316273841e-6,4.032997098161745e-6,OPTIMAL,75
1,20,5,1.0,2.142,0.26318642984156027,1.251079016162393e-6,4.753607410739361e-6,OPTIMAL,89
