seed,dimension,M,time,solution,termination,ncalls
1,30,20.0,4.003,-19.701334217049705,OPTIMAL,44
2,30,20.0,3.952,-621.5629090824182,OPTIMAL,37
3,30,20.0,3.953,-714.0766044131303,primal>tree.incumbent+1e-2,43
1,40,20.0,5.474,-6377.720068404949,primal>tree.incumbent+1e-2,27
2,40,20.0,5.819,-329.5514021794312,OPTIMAL,49
3,40,20.0,5.772,-2358.917340789256,primal>tree.incumbent+1e-2,38
1,50,20.0,7.706,-812.5307312913062,primal>tree.incumbent+1e-2,73
2,50,20.0,7.26,-918.4785203334446,OPTIMAL,44
3,50,20.0,7.269,-364.4223568010698,primal>tree.incumbent+1e-2,48
1,60,20.0,7.949,-1651.5411439757718,primal>tree.incumbent+1e-2,54
2,60,20.0,7.769,-65140.74543286552,OPTIMAL,22
3,60,20.0,7.906,-1830.6574187446668,OPTIMAL,51
1,70,20.0,11.073,-56293.988473301026,primal>tree.incumbent+1e-2,32
2,70,20.0,11.353,-264.5901971799661,primal>tree.incumbent+1e-2,58
3,70,20.0,11.055,-166058.34962918144,primal>tree.incumbent+1e-2,28
1,80,20.0,13.07,-4.28277000889534e6,OPTIMAL,26
2,80,20.0,13.182,-8905.758526501946,primal>tree.incumbent+1e-2,44
3,80,20.0,13.096,-11054.73878137592,primal>tree.incumbent+1e-2,36
1,90,20.0,15.529,-64864.66861527709,primal>tree.incumbent+1e-2,49
2,90,20.0,15.374,-14951.889034406113,primal>tree.incumbent+1e-2,36
3,100,20.0,17.91,-219729.79773279236,OPTIMAL,38
1,110,20.0,20.785,-1.5179987082713581e10,primal>tree.incumbent+1e-2,25
1,120,20.0,23.242,-7.76975485323761e8,primal>tree.incumbent+1e-2,31
3,130,20.0,26.144,-1.5527068216853878e7,OPTIMAL,36
