seed,dimension,p,k,time,solution,dual_gap,rel_dual_gap,termination,ncalls
1,15,75,3.0,3.344,2.8156085839248965,0.025855870907991463,0.009268158710751932,OPTIMAL,340
2,15,75,3.0,1.6,2.510955015317064,0.02317843693090449,0.009316928671279848,OPTIMAL,623
3,15,75,3.0,2.213,4.977486303591386,0.044018539291659664,0.008922433751405653,OPTIMAL,848
4,15,75,3.0,8.524,3.570152937436937,0.035317649814142094,0.00999131414632151,OPTIMAL,3322
5,15,75,3.0,4.987,3.0960683648881093,0.030631134511220015,0.009992419419873092,OPTIMAL,1948
6,15,75,3.0,0.162,3.274959746910336,0.026711402044313104,0.008223325068888733,OPTIMAL,55
7,15,75,3.0,1.822,4.4719289037401655,0.04170583513939885,0.009413935707885504,OPTIMAL,728
8,15,75,3.0,28.55,2.287455683965412,0.022629600737534172,0.009991760914940537,OPTIMAL,8908
9,15,75,3.0,0.119,4.3133398005811046,0.03937026984845282,0.009211640271498121,OPTIMAL,37
10,15,75,3.0,0.382,2.391722770462672,0.014534158879838,0.0061140116560463136,OPTIMAL,150
1,16,80,4.0,8.035,2.6633825943920137,0.025546912752383744,0.009684800660708424,OPTIMAL,3029
2,16,80,4.0,4.681,2.346449784313559,0.022920839385606406,0.009864667034013268,OPTIMAL,1549
3,16,80,4.0,9.878,5.091732867438444,0.049647722531150684,0.009846664842876931,OPTIMAL,3404
4,16,80,4.0,7.673,3.5972405325105408,0.03521379258552848,0.009885886647293894,OPTIMAL,2475
5,16,80,4.0,36.746,3.63769637900974,0.036009676070860586,0.00999800344696213,OPTIMAL,12446
6,16,80,4.0,0.295,3.452723946379324,0.0232165890065672,0.006769657151093776,OPTIMAL,104
7,16,80,4.0,7.529,4.703793852904876,0.04594187837750763,0.009863318677526102,OPTIMAL,2592
8,16,80,4.0,919.436,2.133833155360607,0.0211261300415444,0.009999554973010947,OPTIMAL,213671
9,16,80,4.0,0.232,4.506263132840163,0.044250479052156066,0.009917156782285188,OPTIMAL,78
10,16,80,4.0,3.146,1.9988265865273447,0.01904764616427279,0.00962109747504418,OPTIMAL,1099
1,17,85,4.0,1.918,2.3474422755205793,0.02030474911365099,0.008725203767824272,OPTIMAL,561
2,17,85,4.0,16.937,2.510257899045362,0.02480114408317302,0.009978505573938388,OPTIMAL,4836
3,17,85,4.0,5.209,5.014570729546344,0.049510300398128315,0.009971741755139542,OPTIMAL,1582
4,17,85,4.0,11.481,3.9150015695258875,0.03765047255715226,0.009710359370495731,OPTIMAL,3710
5,17,85,4.0,22.929,3.8998167893942313,0.03846301650825801,0.009961018536644151,OPTIMAL,7436
6,17,85,4.0,0.229,3.193775533784988,0.029045675619364886,0.00917793205774621,OPTIMAL,66
7,17,85,4.0,3.466,4.518599214707445,0.04328592488806837,0.00967215524029054,OPTIMAL,1129
