seed,dimension,p,k,time,solution,termination
1,16,80,4.0,1.6171519756317139,2.4340409693590725,LOCALLY_SOLVED
1,17,85,4.0,1.6716299057006836,2.2092908256088757,LOCALLY_SOLVED
1,18,90,4.0,1.7425010204315186,2.3074526750456954,LOCALLY_SOLVED
1,19,95,4.0,1.6158831119537354,2.5078363525958536,LOCALLY_SOLVED
1,20,100,4.0,1.6557300090789795,2.479972223922283,LOCALLY_SOLVED
1,21,105,5.0,1.610482931137085,2.5800445507981378,LOCALLY_SOLVED
1,22,110,5.0,1.6094050407409668,2.614554737281446,LOCALLY_SOLVED
1,23,115,5.0,1.6420409679412842,2.788719814750928,LOCALLY_SOLVED
1,24,120,5.0,1.6328020095825195,2.591688478958606,LOCALLY_SOLVED
1,25,125,5.0,1.64628005027771,2.9590864437619118,LOCALLY_SOLVED
1,26,130,6.0,1.7489850521087646,2.7198031801314726,LOCALLY_SOLVED
1,27,135,6.0,1.5949761867523193,2.858100348592363,LOCALLY_SOLVED
1,28,140,6.0,1.7742359638214111,2.700752248711411,LOCALLY_SOLVED
1,29,145,6.0,1.6448869705200195,2.977340483534192,LOCALLY_SOLVED
1,30,150,6.0,1.6172630786895752,3.229093522182891,LOCALLY_SOLVED
2,16,80,4.0,1.5880041122436523,2.1278758794123114,LOCALLY_SOLVED
2,17,85,4.0,1.632223129272461,2.20877368440746,LOCALLY_SOLVED
2,18,90,4.0,1.6304450035095215,2.308162310554485,LOCALLY_SOLVED
2,19,95,4.0,1.6072909832000732,2.5464596885579978,LOCALLY_SOLVED
2,20,100,4.0,1.6033508777618408,2.7778218538930775,LOCALLY_SOLVED
2,21,105,5.0,1.6434659957885742,2.7923439446674347,LOCALLY_SOLVED
2,22,110,5.0,1.6068129539489746,2.847272827903809,LOCALLY_SOLVED
2,23,115,5.0,1.658432960510254,2.9936521652817687,LOCALLY_SOLVED
2,24,120,5.0,1.6008219718933105,3.0836942984426012,LOCALLY_SOLVED
2,25,125,5.0,1.6285221576690674,3.2752651670729587,LOCALLY_SOLVED
2,26,130,6.0,1.6038408279418945,3.2924225878032995,LOCALLY_SOLVED
2,27,135,6.0,1.6468629837036133,3.2118498816961285,LOCALLY_SOLVED
2,28,140,6.0,1.64473295211792,3.324658602842853,LOCALLY_SOLVED
2,29,145,6.0,1.6155269145965576,3.3920570591453516,LOCALLY_SOLVED
2,30,150,6.0,1.633674144744873,3.5814897780562234,LOCALLY_SOLVED
