dimension,timeBoscia,terminationBoscia,timeScip,terminationScip,timeNoWs,terminationNoWs,timeNoAs,terminationNoAs,timeNoSs,terminationNoSs,timeAfw,terminationAfw,NumInstances,terminationBosciaRel,terminationScipRel,terminationNoWsRel,terminationNoAsRel,terminationNoSsRel,terminationAfwRel,BosciaGeoMeanIntersection,NoWsGeoMeanIntersection,NoAsGeoMeanIntersection,NoSsGeoMeanIntersection,AfwGeoMeanIntersection
20,8,10,4,10,9,10,8,10,8,10,20,10,10,100,100,100,100,100,100,8,9,8,8,20
25,8,10,9,10,11,10,10,10,8,10,18,10,10,100,100,100,100,100,100,8,11,10,8,18
30,17,10,83,9,27,10,18,10,16,10,43,10,10,100,90,100,100,100,100,17,27,18,16,43
35,23,10,200,10,24,10,23,10,23,10,24,10,10,100,100,100,100,100,100,23,24,23,23,24
40,28,10,777,6,32,10,30,10,27,10,44,10,10,100,60,100,100,100,100,28,32,30,27,44
45,59,10,1753,1,71,10,69,10,64,10,86,10,10,100,10,100,100,100,100,59,71,69,64,86
50,63,10,1512,1,68,10,65,10,57,10,45,10,10,100,10,100,100,100,100,63,68,65,57,45
55,57,10,1719,1,64,10,58,10,53,10,55,10,10,100,10,100,100,100,100,57,64,58,53,55
60,119,9,1800,0,154,8,139,9,118,9,120,8,10,90,0,80,90,90,80,63,83,75,63,61
65,67,10,1800,0,97,10,89,10,62,10,113,10,10,100,0,100,100,100,100,67,97,89,62,113
70,93,8,1800,0,166,7,163,7,96,8,138,8,9,89,0,78,78,89,89,56,84,82,57,97
75,141,8,1800,0,193,8,185,8,150,8,159,8,10,80,0,80,80,80,80,74,110,105,80,87
80,144,7,1800,0,220,7,198,7,153,7,235,7,9,78,0,78,78,78,78,70,121,105,75,131
