seed,dimension,p,k,Ns,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings
1,90,90,45.0,1.0,2696.0,-0.03685317468968773,0.9999999999999984,Time limit reached,29,0,0
1,90,90,45.0,1.0,4792.0,-0.03685317468968773,0.9999999999999984,Time limit reached,55,0,0
1,90,90,45.0,1.0,5208.0,-0.03569880953220464,0.9999999999999984,Time limit reached,89,0,0
1,90,90,45.0,1.0,5632.0,-0.03569880953220464,0.9999999999999984,Time limit reached,120,0,0
1,90,90,45.0,1.0,6146.0,-0.03496179110225539,0.9999999999999984,Time limit reached,155,0,0
1,90,90,45.0,1.0,6746.0,-0.03496179110225539,0.9999999999999984,Time limit reached,191,0,0
1,90,90,45.0,1.0,7193.0,-0.03380385639938447,0.9999999999999984,Time limit reached,224,0,0
1,90,90,45.0,1.0,7681.0,-0.03380385639938447,0.9999999999999984,Time limit reached,259,0,0
1,90,90,45.0,1.0,8168.0,-0.03225898745917821,0.9999999999999984,Time limit reached,295,0,0
1,90,90,45.0,1.0,8599.0,-0.03225898745917821,0.9999999999999984,Time limit reached,326,0,0
1,90,90,45.0,1.0,9105.0,-0.03225898745917821,0.9999999999999984,Time limit reached,363,0,0
1,90,90,45.0,1.0,9627.0,-0.03225898745917821,0.9999999999999984,Time limit reached,401,0,0
1,90,90,45.0,1.0,9973.0,-0.03162718565271399,0.9999999999999984,Time limit reached,430,0,0
1,90,90,45.0,1.0,10468.0,-0.03162718565271399,0.9999999999999984,Time limit reached,468,0,0
1,90,90,45.0,1.0,10991.0,-0.03129203606802801,0.9999999999999984,Time limit reached,505,0,0
1,90,90,45.0,1.0,11623.0,-0.03129203606802801,0.9999999999999984,Time limit reached,541,0,0
1,90,90,45.0,1.0,12144.0,-0.03094301347555093,0.9999999999999984,Time limit reached,577,0,0
1,90,90,45.0,1.0,12630.0,-0.03094301347555093,0.9999999999999984,Time limit reached,614,0,0
1,90,90,45.0,1.0,13038.0,-0.030454822279036568,0.9999999999999984,Time limit reached,644,0,0
1,90,90,45.0,1.0,13457.0,-0.030454822279036568,0.9999999999999984,Time limit reached,673,0,0
1,90,90,45.0,1.0,13938.0,-0.030454822279036568,0.9999999999999984,Time limit reached,708,0,0
1,90,90,45.0,1.0,14454.0,-0.030454822279036568,0.9999999999999984,Time limit reached,746,0,0
1,90,90,45.0,1.0,14920.0,-0.03041657611372058,0.9999999999999984,Time limit reached,779,0,0
1,90,90,45.0,1.0,15404.0,-0.03041657611372058,0.9999999999999984,Time limit reached,814,0,0
1,90,90,45.0,1.0,15866.0,-0.030366893172350883,0.9999999999999984,Time limit reached,848,0,0
1,90,90,45.0,1.0,16346.0,-0.030366893172350883,0.9999999999999984,Time limit reached,882,0,0
1,90,90,45.0,1.0,16800.0,-0.03024167533300252,0.9999999999999984,Time limit reached,915,0,0
1,90,90,45.0,1.0,17245.0,-0.03024167533300252,0.9999999999999984,Time limit reached,946,0,0
1,90,90,45.0,1.0,17752.0,-0.03024167533300252,0.9999999999999984,Time limit reached,982,0,0
1,90,90,45.0,1.0,18196.0,-0.03024167533300252,0.9999999999999984,Time limit reached,1016,0,0
1,90,90,45.0,1.0,18626.0,-0.03024167533300252,0.9999999999999984,Time limit reached,1050,0,0
1,90,90,45.0,1.0,19132.0,-0.03024167533300252,0.9999999999999984,Time limit reached,1086,0,0
1,90,90,45.0,1.0,19596.0,-0.029943085425433637,0.9999999999999984,Time limit reached,1119,0,0
1,90,90,45.0,1.0,20089.0,-0.029943085425433637,0.9999999999999984,Time limit reached,1157,0,0
1,90,90,45.0,1.0,20561.0,-0.02984766087020089,0.9999999999999984,Time limit reached,1191,0,0
1,90,90,45.0,1.0,21009.0,-0.02984766087020089,0.9999999999999984,Time limit reached,1223,0,0
1,90,90,45.0,1.0,21326.0,-0.02984766087020089,0.9999999999999984,Time limit reached,1251,0,0
1,90,90,45.0,1.0,21853.0,-0.02984766087020089,0.9999999999999984,Time limit reached,1288,0,0
1,90,90,45.0,1.0,22360.0,-0.02984766087020089,0.9999999999999984,Time limit reached,1323,0,0
1,90,90,45.0,1.0,22809.0,-0.02984766087020089,0.9999999999999984,Time limit reached,1354,0,0
1,90,90,45.0,1.0,23320.0,-0.02984766087020089,0.9999999999999984,Time limit reached,1390,0,0
1,90,90,45.0,1.0,23730.0,-0.02984766087020089,0.9999999999999984,Time limit reached,1421,0,0
1,90,90,45.0,1.0,24271.0,-0.029840977961137858,0.9999999999999984,Time limit reached,1460,0,0
1,90,90,45.0,1.0,24789.0,-0.029840977961137858,0.9999999999999984,Time limit reached,1498,0,0
1,90,90,45.0,1.0,25280.0,-0.029840977961137858,0.9999999999999984,Time limit reached,1535,0,0
1,90,90,45.0,1.0,25788.0,-0.029840977961137858,0.9999999999999984,Time limit reached,1571,0,0
1,90,90,45.0,1.0,26259.0,-0.029756253282687346,0.9999999999999984,Time limit reached,1604,0,0
1,90,90,45.0,1.0,26773.0,-0.029756253282687346,0.9999999999999984,Time limit reached,1640,0,0
1,90,90,45.0,1.0,27302.0,-0.029600830997312554,0.9999999999999984,Time limit reached,1678,0,0
1,90,90,45.0,1.0,27790.0,-0.029600830997312554,0.9999999999999984,Time limit reached,1713,0,0
1,90,90,45.0,1.0,28220.0,-0.029563169608716716,0.9999999999999984,Time limit reached,1750,0,0
1,90,90,45.0,1.0,28683.0,-0.029563169608716716,0.9999999999999984,Time limit reached,1784,0,0
1,90,90,45.0,1.0,29175.0,-0.029563169608716716,0.9999999999999984,Time limit reached,1818,0,0
1,90,90,45.0,1.0,29593.0,-0.029563169608716716,0.9999999999999984,Time limit reached,1848,0,0
1,90,90,45.0,1.0,30114.0,-0.029563169608716716,0.9999999999999984,Time limit reached,1885,0,0
1,90,90,45.0,1.0,30598.0,-0.029563169608716716,0.9999999999999984,Time limit reached,1919,0,0
1,90,90,45.0,1.0,31152.0,-0.029563169608716716,0.9999999999999984,Time limit reached,1956,0,0
1,90,90,45.0,1.0,31662.0,-0.029563169608716716,0.9999999999999984,Time limit reached,1991,0,0
1,90,90,45.0,1.0,32203.0,-0.02956097856587946,0.9999999999999984,Time limit reached,2029,0,0
1,90,90,45.0,1.0,32734.0,-0.02956097856587946,0.9999999999999984,Time limit reached,2066,0,0
1,90,90,45.0,1.0,33256.0,-0.02956097856587946,0.9999999999999984,Time limit reached,2105,0,0
1,90,90,45.0,1.0,33712.0,-0.02956097856587946,0.9999999999999984,Time limit reached,2140,0,0
1,90,90,45.0,1.0,34255.0,-0.02945986379420589,0.9999999999999984,Time limit reached,2176,0,0
1,90,90,45.0,1.0,34753.0,-0.02945986379420589,0.9999999999999984,Time limit reached,2211,0,0
1,90,90,45.0,1.0,35239.0,-0.029458967469006343,0.9999999999999984,Time limit reached,2247,0,0
1,90,90,45.0,1.0,35744.0,-0.029458967469006343,0.9999999999999984,Time limit reached,2285,0,0
1,90,90,45.0,1.0,36261.0,-0.029330067204263222,0.9999999999999984,Time limit reached,2321,0,0
1,90,90,45.0,1.0,36687.0,-0.029330067204263222,0.9999999999999984,Time limit reached,2353,0,0
1,90,90,45.0,1.0,37191.0,-0.029330067204263222,0.9999999999999984,Time limit reached,2388,0,0
1,90,90,45.0,1.0,37709.0,-0.029330067204263222,0.9999999999999984,Time limit reached,2424,0,0
1,90,90,45.0,1.0,38226.0,-0.029330067204263222,0.9999999999999984,Time limit reached,2460,0,0
1,90,90,45.0,1.0,38682.0,-0.029330067204263222,0.9999999999999984,Time limit reached,2492,0,0
1,90,90,45.0,1.0,39188.0,-0.029330067204263222,0.9999999999999984,Time limit reached,2526,0,0
1,90,90,45.0,1.0,39702.0,-0.029330067204263222,0.9999999999999984,Time limit reached,2564,0,0
1,90,90,45.0,1.0,40155.0,-0.029330067204263222,0.9999999999999984,Time limit reached,2599,0,0
