seed,num_v,time,lowerBound,upperBound,termination,LMOcalls,openNodes
1,3,65484.0,-397.69177341780465,-380.31400385337474,Time limit reached,82,2
1,3,103854.0,-397.69177341780465,-380.31400385337474,Time limit reached,128,3
1,3,126836.0,-397.39408436077537,-380.31400385337474,Time limit reached,165,4
1,3,178858.0,-397.39408436077537,-380.31400385337474,Time limit reached,232,5
1,3,224470.0,-396.74670751568146,-382.5686624220194,Time limit reached,289,6
1,3,248643.0,-396.74670751568146,-382.5686624220194,Time limit reached,332,7
1,3,279270.0,-396.2520576583689,-382.7556060250281,Time limit reached,399,8
1,3,312749.0,-396.2520576583689,-383.77600933249755,Time limit reached,457,9
1,3,341543.0,-396.2060212031551,-383.77600933249755,Time limit reached,509,10
1,3,374914.0,-396.2060212031551,-383.77600933249755,Time limit reached,554,11
1,3,407612.0,-395.86788527226526,-383.77600933249755,Time limit reached,611,12
1,3,446065.0,-395.86788527226526,-383.77600933249755,Time limit reached,667,13
1,3,474867.0,-395.51253876128624,-383.77600933249755,Time limit reached,728,14
1,3,514797.0,-395.51253876128624,-383.77600933249755,Time limit reached,796,15
1,3,549179.0,-394.9959892617299,-383.77600933249755,Time limit reached,857,16
1,3,562182.0,-394.9959892617299,-383.77600933249755,Time limit reached,892,17
1,3,606069.0,-394.9934129485592,-383.77600933249755,Time limit reached,979,18
