seed,dimension,var_A,p,k,M,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings
7,10,5,50,10.0,1.0,153.0,0.05817327081420969,0.6931471805599454,Time limit reached,29,0,0
7,10,5,50,10.0,1.0,315.0,0.05817327081420969,0.6931471805599454,Time limit reached,55,0,0
7,10,5,50,10.0,1.0,507.0,0.0610256844793812,0.6931471805599454,Time limit reached,85,0,0
7,10,5,50,10.0,1.0,739.0,0.0610256844793812,0.6931471805599454,Time limit reached,114,0,0
7,10,5,50,10.0,1.0,951.0,0.0610256844793812,0.6931471805599454,Time limit reached,144,0,0
7,10,5,50,10.0,1.0,1179.0,0.0610256844793812,0.6931471805599454,Time limit reached,175,0,0
7,10,5,50,10.0,1.0,1426.0,0.06164126267799852,0.6931471805599454,Time limit reached,208,0,0
7,10,5,50,10.0,1.0,1637.0,0.06164126267799852,0.6931471805599454,Time limit reached,238,0,0
7,10,5,50,10.0,1.0,1869.0,0.06202636199170158,0.6931471805599454,Time limit reached,272,0,0
7,10,5,50,10.0,1.0,2144.0,0.06202636199170158,0.6931471805599454,Time limit reached,311,0,0
7,10,5,50,10.0,1.0,2395.0,0.06202636199170158,0.6931471805599454,Time limit reached,348,0,0
7,10,5,50,10.0,1.0,2636.0,0.06202636199170158,0.6931471805599454,Time limit reached,383,0,0
7,10,5,50,10.0,1.0,2941.0,0.06226458659808206,0.6931471805599454,Time limit reached,428,0,0
7,10,5,50,10.0,1.0,3143.0,0.06226458659808206,0.6931471805599454,Time limit reached,456,0,0
7,10,5,50,10.0,1.0,3354.0,0.06296643299852635,0.6931471805599454,Time limit reached,486,0,0
7,10,5,50,10.0,1.0,3591.0,0.06296643299852635,0.6931471805599454,Time limit reached,521,0,0
7,10,5,50,10.0,1.0,3818.0,0.06365999295320544,0.6931471805599454,Time limit reached,555,0,0
7,10,5,50,10.0,1.0,4016.0,0.06365999295320544,0.6931471805599454,Time limit reached,584,0,0
7,10,5,50,10.0,1.0,4233.0,0.06379233673730973,0.6931471805599454,Time limit reached,616,0,0
7,10,5,50,10.0,1.0,4491.0,0.06379233673730973,0.6931471805599454,Time limit reached,653,0,0
7,10,5,50,10.0,1.0,4844.0,0.06379233673730973,0.6931471805599454,Time limit reached,703,0,0
7,10,5,50,10.0,1.0,5162.0,0.06379233673730973,0.6931471805599454,Time limit reached,747,0,0
7,10,5,50,10.0,1.0,5579.0,0.06395612748573236,0.6931471805599454,Time limit reached,801,0,0
7,10,5,50,10.0,1.0,5790.0,0.06395612748573236,0.6931471805599454,Time limit reached,832,0,0
7,10,5,50,10.0,1.0,6008.0,0.06426310434373611,0.6931471805599454,Time limit reached,865,0,0
7,10,5,50,10.0,1.0,6274.0,0.06426310434373611,0.6931471805599454,Time limit reached,900,0,0
7,10,5,50,10.0,1.0,6701.0,0.06441775370683585,0.6931471805599454,Time limit reached,953,0,0
7,10,5,50,10.0,1.0,6949.0,0.06441775370683585,0.6931471805599454,Time limit reached,982,0,0
7,10,5,50,10.0,1.0,7088.0,0.06459988813735089,0.09077540484841233,Time limit reached,1002,0,0
7,10,5,50,10.0,1.0,7296.0,0.06459988813735089,0.09077540484841233,Time limit reached,1033,0,0
7,10,5,50,10.0,1.0,7543.0,0.06485121569446481,0.09077540484841233,Time limit reached,1070,0,0
7,10,5,50,10.0,1.0,7764.0,0.06485121569446481,0.09077540484841233,Time limit reached,1102,0,0
7,10,5,50,10.0,1.0,8006.0,0.0649676890981691,0.09077540484841233,Time limit reached,1139,0,0
7,10,5,50,10.0,1.0,8226.0,0.0649676890981691,0.09077540484841233,Time limit reached,1171,0,0
7,10,5,50,10.0,1.0,8494.0,0.06505386243709994,0.09077540484841233,Time limit reached,1210,0,0
7,10,5,50,10.0,1.0,8694.0,0.06505386243709994,0.09077540484841233,Time limit reached,1240,0,0
7,10,5,50,10.0,1.0,8937.0,0.06505386243709994,0.09077540484841233,Time limit reached,1275,0,0
7,10,5,50,10.0,1.0,9175.0,0.06505386243709994,0.09077540484841233,Time limit reached,1310,0,0
7,10,5,50,10.0,1.0,9401.0,0.06505386243709994,0.09077540484841233,Time limit reached,1345,0,0
7,10,5,50,10.0,1.0,9645.0,0.06505386243709994,0.09077540484841233,Time limit reached,1381,0,0
7,10,5,50,10.0,1.0,9919.0,0.06511141180612297,0.09077540484841233,Time limit reached,1424,0,0
7,10,5,50,10.0,1.0,10140.0,0.06511141180612297,0.09077540484841233,Time limit reached,1457,0,0
7,10,5,50,10.0,1.0,10399.0,0.06511141180612297,0.09077540484841233,Time limit reached,1497,0,0
7,10,5,50,10.0,1.0,10651.0,0.06511141180612297,0.09077540484841233,Time limit reached,1533,0,0
7,10,5,50,10.0,1.0,10979.0,0.06528639181432268,0.09077540484841233,Time limit reached,1581,0,0
7,10,5,50,10.0,1.0,11214.0,0.06528639181432268,0.09077540484841233,Time limit reached,1616,0,0
7,10,5,50,10.0,1.0,11456.0,0.06535130902764635,0.09077540484841233,Time limit reached,1652,0,0
7,10,5,50,10.0,1.0,11688.0,0.06535130902764635,0.09077540484841233,Time limit reached,1685,0,0
7,10,5,50,10.0,1.0,11969.0,0.06535130902764635,0.09077540484841233,Time limit reached,1727,0,0
7,10,5,50,10.0,1.0,12181.0,0.06535130902764635,0.09077540484841233,Time limit reached,1758,0,0
7,10,5,50,10.0,1.0,12438.0,0.06535130902764635,0.09077540484841233,Time limit reached,1796,0,0
7,10,5,50,10.0,1.0,12670.0,0.06535130902764635,0.09077540484841233,Time limit reached,1830,0,0
7,10,5,50,10.0,1.0,12985.0,0.06535130902764635,0.09077540484841233,Time limit reached,1877,0,0
7,10,5,50,10.0,1.0,13214.0,0.06535130902764635,0.09077540484841233,Time limit reached,1911,0,0
7,10,5,50,10.0,1.0,13517.0,0.06567679335426062,0.09077540484841233,Time limit reached,1956,0,0
7,10,5,50,10.0,1.0,13776.0,0.06567679335426062,0.09077540484841233,Time limit reached,1994,0,0
7,10,5,50,10.0,1.0,14143.0,0.06570471424912555,0.09077540484841233,Time limit reached,2046,0,0
7,10,5,50,10.0,1.0,14440.0,0.06570471424912555,0.09077540484841233,Time limit reached,2087,0,0
7,10,5,50,10.0,1.0,14813.0,0.06575221672203922,0.09077540484841233,Time limit reached,2138,0,0
7,10,5,50,10.0,1.0,15047.0,0.06575221672203922,0.09077540484841233,Time limit reached,2169,0,0
7,10,5,50,10.0,1.0,15338.0,0.06575221672203922,0.09077540484841233,Time limit reached,2210,0,0
7,10,5,50,10.0,1.0,15557.0,0.06575221672203922,0.09077540484841233,Time limit reached,2242,0,0
7,10,5,50,10.0,1.0,15843.0,0.0657869361740397,0.09077540484841233,Time limit reached,2286,0,0
7,10,5,50,10.0,1.0,16076.0,0.0657869361740397,0.09077540484841233,Time limit reached,2320,0,0
7,10,5,50,10.0,1.0,16351.0,0.06589485541267821,0.09077540484841233,Time limit reached,2362,0,0
7,10,5,50,10.0,1.0,16611.0,0.06589485541267821,0.09077540484841233,Time limit reached,2399,0,0
7,10,5,50,10.0,1.0,16998.0,0.06593286208801585,0.09077540484841233,Time limit reached,2455,0,0
7,10,5,50,10.0,1.0,17247.0,0.06593286208801585,0.09077540484841233,Time limit reached,2493,0,0
7,10,5,50,10.0,1.0,17520.0,0.06595667045840699,0.09077540484841233,Time limit reached,2535,0,0
7,10,5,50,10.0,1.0,17756.0,0.06595667045840699,0.09077540484841233,Time limit reached,2572,0,0
7,10,5,50,10.0,1.0,18029.0,0.06595667045840699,0.09077540484841233,Time limit reached,2615,0,0
7,10,5,50,10.0,1.0,18273.0,0.06595667045840699,0.09077540484841233,Time limit reached,2651,0,0
7,10,5,50,10.0,1.0,18642.0,0.06598166025463365,0.09077540484841233,Time limit reached,2705,0,0
7,10,5,50,10.0,1.0,18849.0,0.06598166025463365,0.09077540484841233,Time limit reached,2736,0,0
7,10,5,50,10.0,1.0,19234.0,0.06598166025463365,0.09077540484841233,Time limit reached,2793,0,0
7,10,5,50,10.0,1.0,19465.0,0.06598166025463365,0.09077540484841233,Time limit reached,2824,0,0
7,10,5,50,10.0,1.0,19821.0,0.06602067297144641,0.09077540484841233,Time limit reached,2874,0,0
7,10,5,50,10.0,1.0,20030.0,0.06602067297144641,0.09077540484841233,Time limit reached,2908,0,0
7,10,5,50,10.0,1.0,20271.0,0.06607381458687829,0.09077540484841233,Time limit reached,2947,0,0
7,10,5,50,10.0,1.0,20490.0,0.06607381458687829,0.09077540484841233,Time limit reached,2983,0,0
7,10,5,50,10.0,1.0,20795.0,0.06609994043076772,0.09077540484841233,Time limit reached,3033,0,0
7,10,5,50,10.0,1.0,21046.0,0.06609994043076772,0.09077540484841233,Time limit reached,3072,0,0
7,10,5,50,10.0,1.0,21360.0,0.06609994043076772,0.09077540484841233,Time limit reached,3122,0,0
7,10,5,50,10.0,1.0,21639.0,0.06609994043076772,0.09077540484841233,Time limit reached,3162,0,0
7,10,5,50,10.0,1.0,22037.0,0.06610319592280767,0.09077540484841233,Time limit reached,3216,0,0
7,10,5,50,10.0,1.0,22273.0,0.06610319592280767,0.09077540484841233,Time limit reached,3255,0,0
7,10,5,50,10.0,1.0,22515.0,0.06610319592280767,0.09077540484841233,Time limit reached,3295,0,0
7,10,5,50,10.0,1.0,22763.0,0.06610319592280767,0.09077540484841233,Time limit reached,3335,0,0
7,10,5,50,10.0,1.0,23027.0,0.06612765979785235,0.09077540484841233,Time limit reached,3378,0,0
7,10,5,50,10.0,1.0,23239.0,0.06612765979785235,0.09077540484841233,Time limit reached,3412,0,0
7,10,5,50,10.0,1.0,23582.0,0.06615715200559252,0.09077540484841233,Time limit reached,3466,0,0
7,10,5,50,10.0,1.0,23800.0,0.06615715200559252,0.09077540484841233,Time limit reached,3501,0,0
7,10,5,50,10.0,1.0,24152.0,0.06620486653302302,0.09077540484841233,Time limit reached,3555,0,0
7,10,5,50,10.0,1.0,24394.0,0.06620486653302302,0.09077540484841233,Time limit reached,3592,0,0
7,10,5,50,10.0,1.0,24733.0,0.06620486653302302,0.09077540484841233,Time limit reached,3641,0,0
7,10,5,50,10.0,1.0,24991.0,0.06620486653302302,0.09077540484841233,Time limit reached,3679,0,0
7,10,5,50,10.0,1.0,25349.0,0.06622431712880414,0.09077540484841233,Time limit reached,3728,0,0
