seed,num_v,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings,sizeActiveSet,sizeDiscardedSet
2,6,1483.0,-9.997307000700502,-9.397576994700326,Optimal (tolerance reached),31,9,9,13,1
2,6,2620.0,-9.997307000700502,-9.397576994700326,Optimal (tolerance reached),53,6,0,10,2
2,6,2759.0,-9.90571603427944,-9.397585485376723,Optimal (tolerance reached),74,6,0,6,1
2,6,2926.0,-9.90571603427944,-9.397585485376723,Optimal (tolerance reached),102,4,0,11,0
2,6,3046.0,-9.87432184769314,-9.397585485376723,Optimal (tolerance reached),122,5,0,13,0
2,6,3175.0,-9.87432184769314,-9.397585485376723,Optimal (tolerance reached),144,5,0,12,2
2,6,3300.0,-9.808962656931334,-9.397585485376723,Optimal (tolerance reached),165,6,0,16,3
2,6,3450.0,-9.808962656931334,-9.397585485376723,Optimal (tolerance reached),187,2,0,11,2
2,6,3582.0,-9.780447085145882,-9.397585485376723,Optimal (tolerance reached),208,4,0,9,4
2,6,3701.0,-9.780447085145882,-9.397585485376723,Optimal (tolerance reached),227,1,0,10,0
2,6,3872.0,-9.778393601960712,-9.397585485376723,Optimal (tolerance reached),255,7,0,15,3
2,6,4002.0,-9.778393601960712,-9.397585485376723,Optimal (tolerance reached),275,1,0,14,2
2,6,4143.0,-9.747553042693937,-9.397585485376723,Optimal (tolerance reached),298,7,0,12,1
2,6,4291.0,-9.747553042693937,-9.397585485376723,Optimal (tolerance reached),322,1,0,10,1
2,6,4456.0,-9.74283263306357,-9.397585485376723,Optimal (tolerance reached),350,7,0,3,3
2,6,4621.0,-9.74283263306357,-9.397585485376723,Optimal (tolerance reached),377,7,0,9,4
2,6,4742.0,-9.714081268118251,-9.397585485376723,Optimal (tolerance reached),396,1,0,10,2
2,6,4917.0,-9.714081268118251,-9.397585485376723,Optimal (tolerance reached),425,7,0,7,3
2,6,5052.0,-9.709482054006514,-9.397585485376723,Optimal (tolerance reached),447,3,0,6,1
2,6,5209.0,-9.709482054006514,-9.397585485376723,Optimal (tolerance reached),473,7,0,10,7
2,6,5337.0,-9.679749698136465,-9.397585485376723,Optimal (tolerance reached),493,3,0,11,1
2,6,5508.0,-9.679749698136465,-9.397585485376723,Optimal (tolerance reached),521,6,0,12,2
2,6,5625.0,-9.675098243306866,-9.397585485376723,Optimal (tolerance reached),540,5,0,8,2
2,6,5759.0,-9.675098243306866,-9.397585485376723,Optimal (tolerance reached),562,7,0,10,1
2,6,5915.0,-9.643618444497504,-9.397586015202632,Optimal (tolerance reached),587,6,0,14,3
2,6,6084.0,-9.643618444497504,-9.397586015202632,Optimal (tolerance reached),615,5,0,14,1
2,6,6214.0,-9.64169698180598,-9.397586015202632,Optimal (tolerance reached),636,4,0,15,5
2,6,6348.0,-9.64169698180598,-9.397586015202632,Optimal (tolerance reached),658,5,0,12,1
2,6,6480.0,-9.639742257046741,-9.397586015202632,Optimal (tolerance reached),680,4,0,8,1
2,6,6647.0,-9.639742257046741,-9.397586015202632,Optimal (tolerance reached),707,6,0,11,4
2,6,6773.0,-9.61239285821444,-9.397586015202632,Optimal (tolerance reached),727,5,0,9,2
2,6,6905.0,-9.61239285821444,-9.397586015202632,Optimal (tolerance reached),749,3,0,19,3
2,6,7020.0,-9.611782954247499,-9.397586015202632,Optimal (tolerance reached),766,1,0,15,9
2,6,7133.0,-9.611782954247499,-9.397586015202632,Optimal (tolerance reached),783,0,0,12,4
2,6,7314.0,-9.611017502781632,-9.397586015202632,Optimal (tolerance reached),813,2,0,23,6
2,6,7426.0,-9.611017502781632,-9.397586015202632,Optimal (tolerance reached),831,2,0,12,1
