seed,dimension,time,solution,termination,ncalls
6,95,1801.787,-4.804128966743988,Time limit reached,185999
7,95,1800.747,-8.209207233283685,Time limit reached,188875
8,95,1801.547,0.6124041665514515,Time limit reached,183012
9,95,282.535,-0.8188123358339121,OPTIMAL,34252
10,95,151.527,0.09717686306656803,OPTIMAL,27206
1,100,1802.043,-0.8560206923120243,Time limit reached,81894
2,100,334.373,-0.35182471210802363,OPTIMAL,17249
3,100,1802.15,-21.001125528970928,Time limit reached,88511
5,100,330.789,-0.21595071168488,OPTIMAL,26300
6,100,2.267,-107.86999242098021,OPTIMAL,174
7,100,1801.864,4.656742007189493,Time limit reached,82549
8,100,316.451,-0.05003877713383542,OPTIMAL,19647
9,100,338.896,-0.38373675607874425,OPTIMAL,16053
10,100,1802.856,6.017646686949439,Time limit reached,81669
1,105,379.693,-0.06680598685705558,OPTIMAL,21506
2,105,826.283,-0.06683950964644902,OPTIMAL,44244
3,105,532.544,-0.12087248212221868,OPTIMAL,24970
4,105,1801.298,0.5387547767114631,Time limit reached,62265
5,105,312.536,-0.2694307528955222,primal>tree.incumbent+1e-2,16254
6,105,316.696,-0.3301376349546987,tree.lb>primal-dual_gap,16495
7,105,286.794,0.006804542823741433,OPTIMAL,17244
8,105,1802.67,26.311393578220965,Time limit reached,78126
9,105,1803.995,25.197035576895043,Time limit reached,67826
10,105,1804.423,26.294844021388187,Time limit reached,73503
1,110,410.613,-0.2922544418199538,OPTIMAL,19991
2,110,408.158,-0.34319978758906844,OPTIMAL,20090
3,110,1802.252,-12.374923293626663,Time limit reached,85165
4,110,1802.413,4.193303849357558,Time limit reached,82582
5,110,1803.458,7.9766142221297995,Time limit reached,74960
6,110,467.761,-0.34821722574149955,OPTIMAL,23996
7,110,1801.325,30.30653325320585,Time limit reached,69274
8,110,1802.919,11.051956306434683,Time limit reached,79497
9,110,1358.681,-0.38692473219753964,tree.lb>primal-dual_gap,63487
10,110,1804.132,-0.27562206358663033,Time limit reached,74114
1,115,397.054,-0.47502016502468725,tree.lb>primal-dual_gap,20455
2,115,963.344,-0.8686598941457981,OPTIMAL,44528
3,115,1804.659,31.776087257687298,Time limit reached,82604
4,115,1802.73,37.66517326692227,Time limit reached,73868
5,115,1142.444,-0.46190699327527507,OPTIMAL,52679
6,115,429.376,-0.3879504313581237,OPTIMAL,21277
7,115,1802.195,-0.062238745923773764,Time limit reached,70247
8,115,1803.353,-0.2202014161471526,Time limit reached,81776
