seed,num_v,time,solution,termination
1,4,7.180820941925049,13.57902333688251,ALMOST_LOCALLY_SOLVED
2,4,7.20415186882019,64.44671756789826,ALMOST_LOCALLY_SOLVED
3,4,10.097909212112427,105.49430032274157,ALMOST_LOCALLY_SOLVED
1,5,10.079195022583008,62.5046131643494,ALMOST_LOCALLY_SOLVED
2,5,9.654927015304565,84.62594088056001,ALMOST_LOCALLY_SOLVED
3,5,7.226499080657959,51.00573967624858,ALMOST_LOCALLY_SOLVED
1,6,10.157815933227539,117.57645832783065,ALMOST_LOCALLY_SOLVED
2,6,9.7048659324646,117.88442484691001,ALMOST_LOCALLY_SOLVED
3,6,10.163326978683472,103.47474142394199,ALMOST_LOCALLY_SOLVED
1,7,7.132915019989014,154.07580011291816,ALMOST_LOCALLY_SOLVED
2,7,9.511672019958496,130.21054283843984,ALMOST_LOCALLY_SOLVED
3,7,9.823742151260376,112.0424717188502,ALMOST_LOCALLY_SOLVED
1,8,9.931740999221802,93.54910301465645,ALMOST_LOCALLY_SOLVED
2,8,7.158782005310059,153.35937901345306,ALMOST_LOCALLY_SOLVED
3,8,7.033797979354858,131.92086262101506,ALMOST_LOCALLY_SOLVED
