seed,dimension,time,solution,termination
1,20,5.448081016540527,-0.5518160722106555,ALMOST_LOCALLY_SOLVED
1,25,5.5677289962768555,8.509304099575786,ALMOST_LOCALLY_SOLVED
1,30,5.551066875457764,3.940864615749264,ALMOST_LOCALLY_SOLVED
1,35,5.526340007781982,6.623467467504758,ALMOST_LOCALLY_SOLVED
1,40,5.537819862365723,5.846526155768761,ALMOST_LOCALLY_SOLVED
1,45,5.498098850250244,13.640634007101644,ALMOST_LOCALLY_SOLVED
1,50,5.560712099075317,9.126276514892815,ALMOST_LOCALLY_SOLVED
1,55,5.542558193206787,12.668798582570373,ALMOST_LOCALLY_SOLVED
1,60,5.5282371044158936,16.43524951022471,ALMOST_LOCALLY_SOLVED
1,65,5.532613039016724,13.171217740306876,ALMOST_LOCALLY_SOLVED
1,70,5.497819900512695,18.655297449273025,ALMOST_LOCALLY_SOLVED
1,80,5.532893180847168,14.894398525861384,ALMOST_LOCALLY_SOLVED
1,85,5.482339859008789,11.027272700661898,ALMOST_LOCALLY_SOLVED
1,95,5.52514910697937,7.936791180583102,ALMOST_LOCALLY_SOLVED
1,100,5.659275054931641,5.4646249104408025,ALMOST_LOCALLY_SOLVED
1,105,5.6053550243377686,32.504478217034595,ALMOST_LOCALLY_SOLVED
1,110,5.8124589920043945,21.81609163288649,ALMOST_LOCALLY_SOLVED
1,115,5.507736921310425,13.073780999450184,ALMOST_LOCALLY_SOLVED
