seed,dimension,p,k,time,solution,termination,calls
1,20,100,4.0,0.193094,2.956929996161301,OPTIMAL,8
1,20,100,4.0,0.239401,4.094273721776183,OPTIMAL,9
1,20,100,4.0,0.241253,4.094273721776183,OPTIMAL,9
1,20,100,4.0,0.065297,4.094273721776183,OPTIMAL,9
2,20,100,4.0,0.070338,4.130157488030617,OPTIMAL,9
3,20,100,4.0,0.055845,6.43175385732042,OPTIMAL,5
4,20,100,4.0,0.057364,4.800626780904599,OPTIMAL,5
5,20,100,4.0,0.08895499999999999,5.2725388254138075,OPTIMAL,23
6,20,100,4.0,0.06823599999999999,4.521609263020935,OPTIMAL,8
7,20,100,4.0,0.072374,5.951736611786275,OPTIMAL,7
8,20,100,4.0,0.07779799999999999,2.9555758742749325,OPTIMAL,16
9,20,100,4.0,0.0697,6.5424719551968025,OPTIMAL,9
10,20,100,4.0,0.072086,3.5806530859932204,OPTIMAL,9
1,20,100,4.0,0.07432,4.094273721776183,OPTIMAL,9
2,20,100,4.0,0.062931,4.130157488030617,OPTIMAL,9
3,20,100,4.0,0.049961,6.43175385732042,OPTIMAL,5
4,20,100,4.0,0.053043,4.800626780904599,OPTIMAL,5
5,20,100,4.0,0.086266,5.2725388254138075,OPTIMAL,23
6,20,100,4.0,0.063355,4.521609263020935,OPTIMAL,8
7,20,100,4.0,0.069779,5.951736611786275,OPTIMAL,7
8,20,100,4.0,0.077004,2.9555758742749325,OPTIMAL,16
9,20,100,4.0,0.068836,6.5424719551968025,OPTIMAL,9
10,20,100,4.0,0.071098,3.5806530859932204,OPTIMAL,9
1,20,100,4.0,0.073475,4.094273721776183,OPTIMAL,9
2,20,100,4.0,0.061184999999999996,4.130157488030617,OPTIMAL,9
3,20,100,4.0,0.049146999999999996,6.43175385732042,OPTIMAL,5
4,20,100,4.0,0.052951,4.800626780904599,OPTIMAL,5
5,20,100,4.0,0.086049,5.2725388254138075,OPTIMAL,23
6,20,100,4.0,0.063355,4.521609263020935,OPTIMAL,8
7,20,100,4.0,0.07013,5.951736611786275,OPTIMAL,7
8,20,100,4.0,0.07689,2.9555758742749325,OPTIMAL,16
9,20,100,4.0,0.069121,6.5424719551968025,OPTIMAL,9
10,20,100,4.0,0.07141,3.5806530859932204,OPTIMAL,9
1,20,100,4.0,0.0735,4.094273721776183,OPTIMAL,9
2,20,100,4.0,0.061179,4.130157488030617,OPTIMAL,9
3,20,100,4.0,0.049655,6.43175385732042,OPTIMAL,5
4,20,100,4.0,0.052143999999999996,4.800626780904599,OPTIMAL,5
5,20,100,4.0,0.08502,5.2725388254138075,OPTIMAL,23
6,20,100,4.0,0.062565,4.521609263020935,OPTIMAL,8
