seed,dimension,var_A,M,time,solution,dual_gap,rel_dual_gap,termination,ncalls
1,10,1,0.1,0.404,0.4839787794388131,8.85646511128435e-8,1.8299287299793733e-7,OPTIMAL,26
1,10,5,0.1,726.898,0.11922551715862784,0.0011771803512582307,0.00997201979371505,OPTIMAL,80454
1,10,1,1.0,4.762,0.4833375449435055,0.004590769864790012,0.00958914002926745,OPTIMAL,1525
1,10,5,1.0,1800.561,0.11922551715863781,0.0013328954698809403,0.011306012630712878,Time limit reached,747866
2,10,1,0.1,2.427,0.6202681730603599,0.005052823474101964,0.00821309721465836,OPTIMAL,256
2,10,5,0.1,63.604,0.2506403354067891,0.0024645009549997543,0.00993046305432493,OPTIMAL,9232
2,10,1,1.0,1.595,0.6202681730603544,0.006013319948974694,0.00978961732010008,OPTIMAL,311
2,10,5,1.0,674.783,0.2506403360315216,0.002481152540506515,0.0099982297878424,OPTIMAL,285787
3,10,1,0.1,1.834,0.6177061922885712,0.0058191558948144095,0.009510180063807909,OPTIMAL,242
3,10,5,0.1,70.906,0.25014774592436784,0.0024743026518129763,0.009990181503190488,OPTIMAL,8889
3,10,1,1.0,1.518,0.617706192288567,0.005996069257460657,0.009802141621834412,OPTIMAL,298
3,10,5,1.0,128.326,0.2501477459243764,0.0024666212894994544,0.00995885856516383,OPTIMAL,49849
4,10,1,0.1,1.8,0.6105890503771472,0.005873035754235256,0.0097120559274382,OPTIMAL,228
4,10,5,0.1,74.117,0.2402774497229948,0.002373896963959732,0.00997840064357583,OPTIMAL,11807
4,10,1,1.0,14.186,0.6105890503771372,0.004983391099608436,0.008228772342638753,OPTIMAL,890
4,10,5,1.0,1815.018,0.24027744972298654,0.006196727277405223,0.026472608306503442,Time limit reached,740161
5,10,1,0.1,1.824,0.6051447637018624,0.005839071861190481,0.009743060913132165,OPTIMAL,225
5,10,5,0.1,124.511,0.22507443416258138,0.0022246743954018877,0.009982844036834944,OPTIMAL,17644
5,10,1,1.0,1.792,0.6051447637018539,0.005545967348523084,0.009249463778534611,OPTIMAL,404
5,10,5,1.0,1821.194,0.22507449704211785,0.003974077251422958,0.01797408279543307,Time limit reached,753570
1,15,1,0.1,4.066,0.5636770554553646,0.005483721349596182,0.009824053808132914,OPTIMAL,252
1,15,5,0.1,292.929,0.18277872952962687,0.001808282492738511,0.009992142487054349,OPTIMAL,27519
1,15,1,1.0,5.213,0.5636770554553544,0.004967709207902016,0.008891401658603752,OPTIMAL,872
1,15,5,1.0,227.275,0.18277872952962104,0.0017972860373219879,0.009930775236625097,OPTIMAL,43279
2,15,1,0.1,6.549,0.6274398534232137,0.0050887253768732155,0.008176614691528777,OPTIMAL,499
2,15,5,0.1,125.276,0.26310590470036016,0.00259434408487913,0.009958652425058482,OPTIMAL,18307
2,15,1,1.0,3.952,0.6274398534232165,0.006093113748072643,0.009806301955102043,OPTIMAL,629
2,15,5,1.0,1805.182,0.2631059057962953,0.0038310805287889993,0.014776137732756312,Time limit reached,71619
3,15,1,0.1,3.959,0.6252714289032655,0.006097414715418914,0.009847659261696768,OPTIMAL,307
3,15,5,0.1,279.328,0.26389932922321424,0.0025987291315598404,0.009945362278725361,OPTIMAL,64760
3,15,1,1.0,2.574,0.6252714289032576,0.006128460286772386,0.00989829586608538,OPTIMAL,358
3,15,5,1.0,1832.212,0.26389847605327493,0.006232612802875015,0.024188740891990634,Time limit reached,586554
4,15,1,0.1,2.49,0.6340664353316329,0.005113252101116128,0.008129781734870523,OPTIMAL,184
4,15,5,0.1,73.074,0.28085071265848094,0.0027129770252284913,0.00975407748629181,OPTIMAL,7189
4,15,1,1.0,3.244,0.6340664353316255,0.006214158996515007,0.009897485811134107,OPTIMAL,489
4,15,5,1.0,57.703,0.2808507126584773,0.0027765836926726406,0.009985048601964993,OPTIMAL,10473
5,15,1,0.1,3.72,0.6091351395410601,0.005436429597359793,0.009005203270795101,OPTIMAL,322
5,15,5,0.1,122.536,0.2347666892690487,0.002318036492351905,0.009972251784047726,OPTIMAL,11832
5,15,1,1.0,3.943,0.6091351395410528,0.005201660679470921,0.008612969576179286,OPTIMAL,590
5,15,5,1.0,110.955,0.23476668926905297,0.002316297648861737,0.009964696693849482,OPTIMAL,20415
1,20,1,0.1,5.666,0.6222824804020576,0.006040308185486842,0.009801841642483452,OPTIMAL,300
1,20,5,0.1,127.425,0.2631864298415595,0.0025887495427336926,0.00993389327090398,OPTIMAL,8755
1,20,1,1.0,7.943,0.6222824804020535,0.0060432900375743115,0.009806727861627826,OPTIMAL,861
1,20,5,1.0,264.257,0.26318642984155866,0.0025999739997564775,0.009977394992987968,OPTIMAL,54104
2,20,1,0.1,8.44,0.6316904518198101,0.006233008044061239,0.009965519007070956,OPTIMAL,424
2,20,5,0.1,129.767,0.2878113530274359,0.0027929318755137156,0.009799127594019654,OPTIMAL,8429
2,20,1,1.0,7.565,0.6316904518198053,0.006191572661397693,0.009898615117789326,OPTIMAL,849
2,20,5,1.0,92.388,0.28781135302743255,0.002849374190885434,0.009999138139477275,OPTIMAL,12260
3,20,1,0.1,4.593,0.5995010769047824,0.005831642219650157,0.009823046090865564,OPTIMAL,226
3,20,5,0.1,265.013,0.21857209854025544,0.002158851145817875,0.009975596095941045,OPTIMAL,17389
3,20,1,1.0,6.259,0.599501076904766,0.005704360272637543,0.009606587764565787,OPTIMAL,682
3,20,5,1.0,548.797,0.21857209854025553,0.0021603444435897567,0.0099825651920218,OPTIMAL,114466
4,20,1,0.1,7.231,0.5951193348725515,0.005415227981753312,0.009182957891042986,OPTIMAL,418
4,20,5,0.1,243.922,0.21327897875331472,0.0020917328251951472,0.009904636125171578,OPTIMAL,17926
4,20,1,1.0,8.263,0.5951193348725422,0.0051060909362447005,0.008654197153574393,OPTIMAL,990
4,20,5,1.0,248.316,0.2132789787533193,0.0021054517301372366,0.009970244660004688,OPTIMAL,35666
5,20,1,0.1,4.856,0.6388250326770433,0.00624918444354472,0.00987894884225488,OPTIMAL,288
5,20,5,0.1,101.377,0.29840951132069604,0.002945701601512807,0.009969754347622069,OPTIMAL,7384
5,20,1,1.0,3.961,0.638825032677048,0.006120152492400499,0.009672997133536261,OPTIMAL,378
5,20,5,1.0,1832.205,0.2984095113206927,0.0044100593018843726,0.015000229665741837,Time limit reached,433253
1,25,1,0.1,14.318,0.6283369552158657,0.006200339968209678,0.009966203268299018,OPTIMAL,524
1,25,5,0.1,177.501,0.2804739305711732,0.002755556978454976,0.00992212701956867,OPTIMAL,8734
1,25,1,1.0,8.883,0.6283369552158415,0.005944652874682266,0.009551295625477952,OPTIMAL,732
1,25,5,1.0,134.627,0.28047393057116843,0.0027014808508628585,0.009725517608326642,OPTIMAL,12524
2,25,1,0.1,14.67,0.6216814003390515,0.005346335030073646,0.008674396981442957,OPTIMAL,490
2,25,5,0.1,302.842,0.26106497588977684,0.002572748484709342,0.00995290462129735,OPTIMAL,11059
2,25,1,1.0,7.132,0.6216814003390363,0.0060001874417696666,0.009745607493095401,OPTIMAL,579
2,25,5,1.0,351.669,0.2610649867096355,0.0025834833780433164,0.00999484816029216,OPTIMAL,48406
3,25,1,0.1,14.653,0.5837527067565944,0.005671369387198033,0.009810677184297345,OPTIMAL,592
3,25,5,0.1,522.111,0.20009330348062054,0.0019797667569846633,0.009993091788303165,OPTIMAL,27985
3,25,1,1.0,10.298,0.5837527067565729,0.00558502323981469,0.009659867541961653,OPTIMAL,892
3,25,5,1.0,866.731,0.2000933034806084,0.0019758204018364423,0.009972973465702932,OPTIMAL,133567
4,25,1,0.1,16.017,0.5080470573087412,0.004858619876053627,0.009655666773351829,OPTIMAL,642
4,25,5,0.1,1804.591,0.13245498993626015,0.0014867549912357392,0.011352027397023588,Time limit reached,85219
4,25,1,1.0,13.047,0.5080470573087216,0.0048043231732564085,0.009546731323423657,OPTIMAL,1176
4,25,5,1.0,1840.5,0.1324549899385595,0.0024809561189917395,0.01908809049071945,Time limit reached,324045
