seed,dimension,time,solution,dual_gap,rel_dual_gap,termination,ncalls
1,20,19.674,-2.485383514659386,0.024475759274468434,0.009847880268821515,OPTIMAL,9697
2,20,6.799,-1.8589182762517051,0.015322732342764267,0.008242821934948531,OPTIMAL,3864
3,20,8.029,0.8377493297643657,0.0068634215966429934,0.00826036586873675,OPTIMAL,5271
4,20,4.33,-0.5047425605781184,0.0013799008901234089,0.0027338706855687144,OPTIMAL,2960
5,20,17.041,1.5453064884525718,0.011735923799790271,0.007652679355154044,OPTIMAL,7387
6,20,1.482,2.7747400884785094,0.012674862226074168,0.004588907642587209,OPTIMAL,1179
7,20,5.147,-0.3751554803904189,0.0,0.0,OPTIMAL,3583
8,20,2.781,-4.171067075821629,0.03851183274690673,0.009233088810810015,OPTIMAL,2108
9,20,3.191,2.0907497426031947,0.01502821693269496,0.007239996669514975,OPTIMAL,2004
10,20,4.964,2.2414157654206948,0.019263430493583478,0.008668816350169502,OPTIMAL,2967
1,25,6.844,4.76260907095854,0.04450740742711279,0.00943332946195985,OPTIMAL,3212
2,25,8.434,5.658724117181837,0.027684223054854407,0.004916360667898708,OPTIMAL,3203
3,25,17.704,4.632954253479961,0.04410037172394077,0.00961032381076053,OPTIMAL,7874
4,25,11.538,5.277386746389526,0.041768665500566016,0.007977790750824606,OPTIMAL,4776
5,25,143.707,-7.964825509978137,0.07963507920362467,0.009998345739509272,OPTIMAL,28955
6,25,33.236,-1.6475345946182056,0.01612738630413091,0.009788799796260557,OPTIMAL,8473
7,25,54.446,-8.448290163133155,0.0843878586051634,0.00998875002819116,OPTIMAL,11529
8,25,43.792,3.1744625191736633,0.031055011572998836,0.009879410002651185,OPTIMAL,16654
9,25,39.373,-5.301943539218637,0.05122295325859927,0.009661165359401043,OPTIMAL,12841
10,25,49.653,-3.526877058726355,0.01750441088613819,0.004963147451603963,OPTIMAL,9424
1,30,45.583,3.940864615749264,0.035481160720154836,0.009085192562708384,OPTIMAL,10423
2,30,18.475,2.937179104729881,0.014394695623550113,0.004924993981321882,OPTIMAL,6101
3,30,21.263,2.9106751048463555,0.026848734007466124,0.009310107667701219,OPTIMAL,6799
4,30,44.502,-11.804488808745113,0.11709531846269172,0.00991955859841589,OPTIMAL,9421
5,30,27.721,3.345854180802773,0.029467750881787325,0.008885499776480935,OPTIMAL,8667
6,30,228.359,2.4759792397156923,0.023952485080521946,0.009768443609044455,OPTIMAL,48040
7,30,19.022,7.140373736095056,0.04554362750059315,0.00641926963767927,OPTIMAL,5802
8,30,14.315,6.684588283277687,0.03871324511414542,0.005825153932602843,OPTIMAL,4556
9,30,10.886,5.841953620863588,0.040394973392204214,0.006962779460966134,OPTIMAL,3584
10,30,1108.029,-7.6401426949017095,0.07569602704973288,0.009907671894694464,OPTIMAL,176529
1,35,36.698,5.444620365578516,0.04773732261064545,0.008845350590438882,OPTIMAL,8592
2,35,7.651,-18.281004205875192,0.18057448665019393,0.009877711564234556,OPTIMAL,2398
3,35,34.271,5.909660421176588,0.027760772326554495,0.00471969499377331,OPTIMAL,8398
4,35,20.912,6.05604144129502,0.048920312686378864,0.00814372003477641,OPTIMAL,6069
5,35,192.322,-0.20620544007426833,0.0013311928117873961,0.0064556629122294,OPTIMAL,39364
6,35,979.473,1.9432477596768276,0.018787465266925096,0.009762459283518706,OPTIMAL,136543
7,35,12.977,9.784495545682114,0.0781419893852604,0.008050602003320488,OPTIMAL,4844
8,35,14.107,5.495979181037755,0.04633037315679989,0.008501533729990029,OPTIMAL,4297
9,35,62.053,5.208177299597729,0.04634725015103314,0.008978840780703573,OPTIMAL,12892
10,35,79.872,4.1657440118389,0.037636588696107864,0.009117153416384341,OPTIMAL,14150
1,40,94.714,4.38234345670403,0.040224408992743044,0.009263773874174446,OPTIMAL,19161
2,40,403.01,-12.884479884908464,0.12878167800940332,0.009995101017639427,OPTIMAL,59864
3,40,171.695,5.363957302161263,0.033003108135472914,0.006190844440655355,OPTIMAL,25718
4,40,236.993,1.9679886305310799,0.01941260300417058,0.009962456034527244,OPTIMAL,42523
5,40,71.806,3.5585423500323055,0.022767522880069002,0.006439189143276494,OPTIMAL,14936
6,40,1800.138,-10.757760900798802,0.23741331519065945,0.022069026945284745,Time limit reached,300712
7,40,62.285,8.359619028667614,0.05823070180001366,0.007014573888990218,OPTIMAL,11764
8,40,130.884,8.762599546052309,0.041960452400777726,0.004811625839592901,OPTIMAL,20093
9,40,54.358,8.862692105524477,0.08691698114363078,0.009904194206407835,OPTIMAL,11148
10,40,1734.593,-0.037663277414651475,0.0003426158256072398,0.009096813902710391,OPTIMAL,215169
1,45,188.621,9.570033809940176,0.08011126651812717,0.008441719745505867,OPTIMAL,29689
2,45,1800.14,-3.2463424538760233,0.4968626434401999,0.15305305909638792,Time limit reached,195021
3,45,14.987,11.720076285232857,0.1122583092508389,0.009670922604327097,OPTIMAL,3524
4,45,46.479,4.979779257194664,0.04003119229572416,0.008103893512339103,OPTIMAL,9430
5,45,580.41,8.155608577814819,0.07500715885246656,0.009282373299152082,OPTIMAL,88981
6,45,113.236,5.409900999267513,0.04202252719190458,0.00782851687319509,OPTIMAL,17111
