seed,num_v,time,lowerBound,upperBound,termination,LMOcalls,openNodes
1,8,216.0,-4.9066186235985025,-2.737265394412579,Time limit reached,45,2
1,8,405.0,-4.9066186235985025,-2.737265394412579,Time limit reached,85,3
1,8,581.0,-4.740135841889576,-2.737295481341528,Time limit reached,120,4
1,8,787.0,-4.740135841889576,-2.737295481341528,Time limit reached,164,5
1,8,985.0,-4.731701849579824,-2.737295481341528,Time limit reached,205,6
1,8,1178.0,-4.731701849579824,-2.737295481341528,Time limit reached,247,7
1,8,1356.0,-4.577726741606455,-2.737295481341528,Time limit reached,283,8
1,8,1574.0,-4.577726741606455,-2.737295481341528,Time limit reached,323,9
1,8,1810.0,-4.569009367811576,-2.737295481341528,Time limit reached,366,10
1,8,1989.0,-4.569009367811576,-2.737295481341528,Time limit reached,402,11
1,8,2210.0,-4.561920003536535,-2.737295481341528,Time limit reached,442,12
1,8,2391.0,-4.561920003536535,-2.737295481341528,Time limit reached,485,13
1,8,2585.0,-4.5524328267357745,-2.737295481341528,Time limit reached,522,14
1,8,2758.0,-4.5524328267357745,-2.737295481341528,Time limit reached,559,15
1,8,2964.0,-4.432504976293316,-2.737295481341528,Time limit reached,601,16
1,8,3164.0,-4.432504976293316,-2.737295481341528,Time limit reached,641,17
1,8,3341.0,-4.423584602604377,-2.737297271447811,Time limit reached,678,18
1,8,3545.0,-4.423584602604377,-2.737297271447811,Time limit reached,718,19
1,8,3732.0,-4.415222748715849,-2.737297271447811,Time limit reached,756,20
1,8,3938.0,-4.415222748715849,-2.737297271447811,Time limit reached,795,21
1,8,4084.0,-4.406389983483346,-2.737297271447811,Time limit reached,828,22
1,8,4292.0,-4.406389983483346,-2.737297271447811,Time limit reached,868,23
1,8,4501.0,-4.3808651999388575,-2.737297271447811,Time limit reached,908,24
1,8,4679.0,-4.3808651999388575,-2.737297271447811,Time limit reached,950,25
1,8,4880.0,-4.3724958113789425,-2.737297271447811,Time limit reached,989,26
1,8,5055.0,-4.3724958113789425,-2.737297271447811,Time limit reached,1027,27
1,8,5271.0,-4.365593218479348,-2.737297271447811,Time limit reached,1071,28
1,8,5474.0,-4.365593218479348,-2.737297271447811,Time limit reached,1111,29
1,8,5698.0,-4.3547593874070385,-2.737297271447811,Time limit reached,1154,30
1,8,5866.0,-4.3547593874070385,-2.737297271447811,Time limit reached,1193,31
1,8,6102.0,-4.288596946530505,-2.737297271447811,Time limit reached,1238,32
1,8,6314.0,-4.288596946530505,-2.737297271447811,Time limit reached,1285,33
1,8,6559.0,-4.278666341175946,-2.737297271447811,Time limit reached,1332,34
1,8,6777.0,-4.278666341175946,-2.737297271447811,Time limit reached,1377,35
