seed,dimension,time_afw,solution_afw,termination_afw
1,20,5.205,-0.24907328181143348,Optimal (tree empty)
2,20,10.978,-5.1345392563138885,OPTIMAL
3,20,10.704,-0.7394277769829829,Optimal (tree empty)
4,20,13.972,-0.4880900653346562,OPTIMAL
1,25,5.437,-0.24654794806410496,OPTIMAL
2,25,5.387,-0.20379936365496193,Optimal (tree empty)
3,25,11.649,-0.5449211081095297,OPTIMAL
4,25,5.801,0.11889501718027007,Optimal (tree empty)
1,30,8.948,-0.1234003712799403,Optimal (tree empty)
2,30,7.719,-0.20913012724279562,OPTIMAL
3,30,16.039,-0.506766438611628,OPTIMAL
4,30,4.458,-0.1398184104346626,OPTIMAL
1,35,7.404,-0.05744557203278261,Optimal (tree empty)
2,35,20.79,-0.6323473403427077,OPTIMAL
3,35,12.209,-0.2857008302696909,OPTIMAL
4,35,19.674,-0.3520517124350046,OPTIMAL
1,40,10.76,-0.08212313928731646,OPTIMAL
2,40,20.009,-0.1104963304777975,OPTIMAL
3,40,23.934,-0.28264111647998,OPTIMAL
4,40,11.573,-0.20697891790824424,OPTIMAL
1,45,63.951,-0.7906363479902453,OPTIMAL
2,45,296.272,-10.592133325078638,OPTIMAL
3,45,207.808,-1.4002230063427383,OPTIMAL
4,45,13.222,0.08275738927625342,OPTIMAL
1,50,357.871,-0.7056653870318783,OPTIMAL
2,50,37.964,-0.2305239014814835,OPTIMAL
3,50,214.851,-19.334158975171924,OPTIMAL
4,50,61.687,-0.4605174943268268,OPTIMAL
1,55,38.012,-0.37150210964108366,OPTIMAL
2,55,34.48,-0.436546448561702,OPTIMAL
3,55,467.697,-9.774816314881374,OPTIMAL
4,55,115.47,-0.4993110117679786,OPTIMAL
1,60,35.421,-0.20061002656754462,OPTIMAL
2,60,108.11,-0.5574431215367501,OPTIMAL
1,65,36.495,-0.1150868856111501,OPTIMAL
2,65,49.872,-0.2101867919784024,OPTIMAL
3,65,34.537,-0.24032260066225153,OPTIMAL
4,65,171.091,-0.9459260889678043,OPTIMAL
1,70,67.789,-0.3960285638947907,OPTIMAL
2,70,65.561,-0.35134920758863414,OPTIMAL
3,70,66.164,-0.11200773758585197,OPTIMAL
4,70,1800.59,-21.125594863785043,Time limit reached
1,75,50.87,-0.12878649855016783,Optimal (tree empty)
2,75,77.802,-0.5117607561406298,OPTIMAL
3,75,48.019,-0.2340875481197514,OPTIMAL
