seed,n0,m0,M,time,solution,dual_gap,rel_dual_gap,termination,ncalls
1,5,50,20.0,10.32,3.7832568240600732,1.7752209718668865e-5,4.692330931649632e-6,OPTIMAL,5437
2,5,50,20.0,4.868,5.452331495095906,0.005612035100723389,0.0010303514146345171,OPTIMAL,359
3,5,50,20.0,6.175,2.951593366334075,1.526348986669035e-5,5.1712979751347595e-6,OPTIMAL,545
4,5,50,20.0,12.358,2.7602201258493935,1.1635015452426956e-5,4.215266886926962e-6,OPTIMAL,10345
5,5,50,20.0,4.752,2.7548417925382047,0.0023271020841817425,0.0008454458362210923,OPTIMAL,401
6,5,50,20.0,4.494,1.893835835268943,8.771931446105441e-6,4.631854521418994e-6,OPTIMAL,771
7,5,50,20.0,5.179,1.7685158153348035,6.526534871653666e-6,3.6904159412600073e-6,OPTIMAL,520
8,5,50,20.0,0.544,6.916214432417929,0.0673685557156789,0.009836482953258858,OPTIMAL,39
9,5,50,20.0,4.236,1.1585655366644907,1.001876198092333e-5,8.647632181720262e-6,OPTIMAL,362
10,5,50,20.0,6.885,4.333125343194689,0.010152598341164776,0.0023485224035361754,OPTIMAL,609
1,6,60,20.0,29.018,5.461964724448867,0.00011112446656369457,2.0345559347115164e-5,OPTIMAL,2821
2,6,60,20.0,14.595,3.0476811943732267,0.031888108499408485,0.010573705685835866,OPTIMAL,1243
3,6,60,20.0,13.511,2.8841788118660294,1.479531299342085e-5,5.129844526353685e-6,OPTIMAL,3224
4,6,60,20.0,15.944,3.7350558456147525,0.0024654435438229427,0.0006605181062607502,OPTIMAL,9116
5,6,60,20.0,16.742,4.631765529006611,0.013042332650149646,0.0028237961219321948,OPTIMAL,2069
6,6,60,20.0,9.391,2.306592758527604,0.015473028760703667,0.006753478903644158,OPTIMAL,615
7,6,60,20.0,11.237,1.7454602042502534,2.054180212240908e-5,1.176884114893861e-5,OPTIMAL,889
8,6,60,20.0,2.69,6.820332553691017,0.0554508129005411,0.008196863600170145,OPTIMAL,223
9,6,60,20.0,10.658,0.5525107537770229,1.2439998439361943e-5,2.251590299757428e-5,OPTIMAL,802
10,6,60,20.0,10.307,5.575375115957907,0.03872568511678498,0.0069944260695049675,OPTIMAL,732
1,7,70,20.0,17.7,5.1397486550323315,0.04171991774036776,0.008183539146256183,OPTIMAL,2399
2,7,70,20.0,24.543,3.2852063967497984,0.02869501203455682,0.00881158044441045,OPTIMAL,2077
3,7,70,20.0,26.554,1.1216548861569453,0.03203742333505333,0.029402450335260587,OPTIMAL,2795
4,7,70,20.0,46.385,1.8483783245334777,0.02713116949360206,0.01489702779687144,OPTIMAL,5070
5,7,70,20.0,16.433,3.1735550613410988,0.0034243877090949226,0.0010802039605426162,OPTIMAL,2152
6,7,70,20.0,39.236,2.4845738168464586,2.5079968275942832e-5,1.009437565207742e-5,OPTIMAL,2673
7,7,70,20.0,31.49,2.3534360795622367,0.0,0.0,OPTIMAL,2416
8,7,70,20.0,6.471,6.603774258961478,0.0620291372578734,0.009482047390088434,OPTIMAL,472
9,7,70,20.0,20.275,-0.046142894128506584,2.2987770556426312e-5,0.0004981865786832975,OPTIMAL,2427
10,7,70,20.0,40.428,5.286260090418505,0.037332301084968655,0.007112367055388428,OPTIMAL,3281
1,8,80,20.0,21.999,5.842870044921049,0.043661355398616486,0.007528847078309234,OPTIMAL,1581
2,8,80,20.0,67.881,4.642308658477097,0.06310887410186439,0.013781638075106328,OPTIMAL,4658
3,8,80,20.0,50.661,1.4896723243845695,0.0020319123815526474,0.001365862586925023,OPTIMAL,3413
4,8,80,20.0,32.427,3.1520256573765897,1.0011075859850393e-5,3.1760869815476954e-6,OPTIMAL,2630
5,8,80,20.0,76.969,4.0898085466963545,0.03183432137495412,0.007844880131645679,OPTIMAL,13765
6,8,80,20.0,43.17,4.0868822213326,0.03608739449451015,0.008908719408699037,OPTIMAL,6234
7,8,80,20.0,41.882,2.345266609150525,0.026599072427313963,0.011471706057913037,OPTIMAL,3158
8,8,80,20.0,8.376,7.659986165278589,0.07313541478718122,0.009639759261435869,OPTIMAL,702
9,8,80,20.0,25.402,-0.6937208490450679,0.16311834495631095,0.23513542252744646,OPTIMAL,1754
10,8,80,20.0,20.982,5.541656049536443,0.04734960966082635,0.008617941168548707,OPTIMAL,1859
1,9,90,20.0,194.327,4.5415516441390835,0.033326485160538155,0.007392373713669867,OPTIMAL,12486
2,9,90,20.0,229.992,5.187698375337374,0.009133154287366274,0.0017636457005970531,OPTIMAL,24306
3,9,90,20.0,73.134,1.0623989162797,0.08673353663434824,0.08889680667553801,OPTIMAL,5959
4,9,90,20.0,75.405,2.3463650881426505,4.3803327228530975e-5,1.86689382703089e-5,OPTIMAL,11405
5,9,90,20.0,70.183,3.5005488953510326,0.003686537467716633,0.0010542415143695073,OPTIMAL,5827
6,9,90,20.0,102.995,3.871318854067899,0.014590882886617251,0.00378322842462446,OPTIMAL,7149
7,9,90,20.0,71.693,1.084905548691793,0.004684553674807912,0.004336662309302972,OPTIMAL,6638
8,9,90,20.0,13.202,9.588746729909975,0.08712265458503232,0.009169238215947083,OPTIMAL,925
9,9,90,20.0,114.889,-0.1672865197301422,0.0033606701672574957,0.020089306494502676,OPTIMAL,7923
10,9,90,20.0,109.896,6.348717559992717,0.0615085488248619,0.009783124549479012,OPTIMAL,9345
1,10,100,20.0,387.356,5.827802899757569,0.030599898010618354,0.005278389941045236,OPTIMAL,29059
2,10,100,20.0,368.867,5.8335523875168045,0.04432410968768341,0.007656307120835167,OPTIMAL,22619
3,10,100,20.0,183.771,2.256184812552736,0.16736247679965155,0.08012288739688923,OPTIMAL,13125
4,10,100,20.0,130.168,1.8355567286570873,0.0005015712297131714,0.00027332760417749023,OPTIMAL,10162
5,10,100,20.0,217.662,3.7832770001891403,0.0019312251229095523,0.00051072428648124,OPTIMAL,14025
6,10,100,20.0,369.58,4.090233181046806,0.021227241187267154,0.005216812533824886,OPTIMAL,25435
7,10,100,20.0,275.543,1.5345277374790136,0.025050667202098253,0.01659559306687758,OPTIMAL,20233
8,10,100,20.0,13.6,9.460690692642363,0.08549364570268025,0.009119130539297592,OPTIMAL,1007
9,10,100,20.0,136.315,-0.5486771441142742,7.071256659862968e-5,0.00012887827998153724,OPTIMAL,10563
10,10,100,20.0,328.545,7.178556715757027,0.05928859664977537,0.008327906135555138,OPTIMAL,23876
