seed,dimension,p,k,Ns,time,num_nodes,solution,termination
1,1,5,0.2,0.1,0.0,11,0.6931471804961691,Optimal
1,1,5,0.2,1.0,0.0,11,0.6931471804961691,Optimal
1,1,5,0.2,5.0,0.0,11,0.6931471804961691,Optimal
1,1,5,0.2,10.0,0.0,11,0.6931471804961691,Optimal
2,1,5,0.2,0.1,0.0,11,0.6931471774043447,Optimal
2,1,5,0.2,1.0,0.0,11,0.6931471774043447,Optimal
2,1,5,0.2,5.0,0.0,11,0.6931471774043447,Optimal
2,1,5,0.2,10.0,0.0,11,0.6931471774043447,Optimal
3,1,5,0.2,0.1,0.0,11,0.6931471707869061,Optimal
3,1,5,0.2,1.0,0.0,11,0.6931471707869061,Optimal
3,1,5,0.2,5.0,0.0,11,0.6931471707869061,Optimal
3,1,5,0.2,10.0,0.0,11,0.6931471707869061,Optimal
1,2,10,0.4,0.1,0.0,21,0.6931471794075283,Optimal
1,2,10,0.4,1.0,0.0,21,0.6931471794075283,Optimal
1,2,10,0.4,5.0,0.0,21,0.6931471794075283,Optimal
1,2,10,0.4,10.0,0.0,21,0.6931471794075283,Optimal
2,2,10,0.4,0.1,0.0,21,0.6931471757511077,Optimal
2,2,10,0.4,1.0,0.0,21,0.6931471757511077,Optimal
2,2,10,0.4,5.0,0.0,21,0.6931471757511077,Optimal
2,2,10,0.4,10.0,0.0,21,0.6931471757511077,Optimal
3,2,10,0.4,0.1,0.0,21,0.6931471757542796,Optimal
3,2,10,0.4,1.0,0.0,21,0.6931471757542796,Optimal
3,2,10,0.4,5.0,0.0,21,0.6931471757542796,Optimal
3,2,10,0.4,10.0,0.0,21,0.6931471757542796,Optimal
1,3,15,0.6,0.1,0.0,31,0.6931471756547002,Optimal
1,3,15,0.6,1.0,0.0,31,0.6931471756547002,Optimal
1,3,15,0.6,5.0,0.0,31,0.6931471756547002,Optimal
1,3,15,0.6,10.0,0.0,31,0.6931471756547002,Optimal
2,3,15,0.6,0.1,0.0,31,0.6931471769399039,Optimal
2,3,15,0.6,1.0,0.0,31,0.6931471769399039,Optimal
2,3,15,0.6,5.0,0.0,31,0.6931471769399039,Optimal
2,3,15,0.6,10.0,0.0,31,0.6931471769399039,Optimal
3,3,15,0.6,0.1,0.0,31,0.6931471758069283,Optimal
3,3,15,0.6,1.0,0.0,31,0.6931471758069283,Optimal
3,3,15,0.6,5.0,0.0,31,0.6931471758069283,Optimal
3,3,15,0.6,10.0,0.0,31,0.6931471758069283,Optimal
1,4,20,0.8,0.1,0.0,41,0.6931471771253348,Optimal
1,4,20,0.8,1.0,0.0,41,0.6931471771253348,Optimal
1,4,20,0.8,5.0,0.0,41,0.6931471771253348,Optimal
1,4,20,0.8,10.0,0.0,41,0.6931471771253348,Optimal
2,4,20,0.8,0.1,0.0,41,0.6931471744206543,Optimal
2,4,20,0.8,1.0,0.0,41,0.6931471744206543,Optimal
2,4,20,0.8,5.0,0.0,41,0.6931471744206543,Optimal
2,4,20,0.8,10.0,0.0,41,0.6931471744206543,Optimal
3,4,20,0.8,0.1,0.0,41,0.6931471832110251,Optimal
3,4,20,0.8,1.0,0.0,41,0.6931471832110251,Optimal
3,4,20,0.8,5.0,0.0,41,0.6931471832110251,Optimal
3,4,20,0.8,10.0,0.0,41,0.6931471832110251,Optimal
1,5,25,1.0,0.1,0.0,37,0.6899785618799074,Optimal
1,5,25,1.0,1.0,0.0,37,0.6899785674824117,Optimal
1,5,25,1.0,5.0,0.0,37,0.6899785700494834,Optimal
1,5,25,1.0,10.0,0.0,37,0.6899785561303766,Optimal
2,5,25,1.0,0.1,0.0,9,0.6709979570748005,Optimal
2,5,25,1.0,1.0,0.0,39,0.6425896707756045,Optimal
2,5,25,1.0,5.0,0.0,39,0.6425896797389725,Optimal
2,5,25,1.0,10.0,0.0,39,0.6425896778435152,Optimal
3,5,25,1.0,0.1,0.0,41,0.6902778114633464,Optimal
3,5,25,1.0,1.0,0.0,41,0.6902778112288598,Optimal
3,5,25,1.0,5.0,0.0,41,0.6902778057145289,Optimal
3,5,25,1.0,10.0,0.0,41,0.6902777973910194,Optimal
1,6,30,1.2,0.1,0.0,115,0.6723557587958345,Optimal
1,6,30,1.2,1.0,0.0,547,0.6703795732181453,Optimal
1,6,30,1.2,5.0,0.0,567,0.6703795731100726,Optimal
1,6,30,1.2,10.0,0.0,567,0.6703795733124482,Optimal
2,6,30,1.2,0.1,0.0,71,0.6789968928175142,Optimal
2,6,30,1.2,1.0,0.0,275,0.6787618595182586,Optimal
2,6,30,1.2,5.0,0.0,347,0.6787618574376252,Optimal
2,6,30,1.2,10.0,0.0,347,0.6787618574279014,Optimal
3,6,30,1.2,0.1,0.0,109,0.6874916764891847,Optimal
3,6,30,1.2,1.0,0.0,429,0.6874916802171194,Optimal
3,6,30,1.2,5.0,0.0,429,0.6874916781751464,Optimal
3,6,30,1.2,10.0,0.0,429,0.6874916779257728,Optimal
1,7,35,1.4,0.1,0.0,107,0.6802474862465662,Optimal
1,7,35,1.4,1.0,0.0,861,0.6802474919002867,Optimal
1,7,35,1.4,5.0,0.0,861,0.680247488838333,Optimal
1,7,35,1.4,10.0,0.0,861,0.6802474884693498,Optimal
2,7,35,1.4,0.1,0.0,221,0.6834545117252349,Optimal
2,7,35,1.4,1.0,0.0,1083,0.6834545171125376,Optimal
2,7,35,1.4,5.0,0.0,1083,0.6834545118607366,Optimal
2,7,35,1.4,10.0,0.0,1083,0.6834545089540894,Optimal
3,7,35,1.4,0.1,0.0,193,0.6813828235015388,Optimal
3,7,35,1.4,1.0,0.0,1203,0.6785723691161459,Optimal
3,7,35,1.4,5.0,0.0,1203,0.6785723695156162,Optimal
3,7,35,1.4,10.0,0.0,1203,0.6785723695074359,Optimal
1,8,40,1.6,0.1,0.0,1641,0.6896357632699662,Optimal
1,8,40,1.6,1.0,0.0,1641,0.6896357720898831,Optimal
1,8,40,1.6,5.0,0.0,1641,0.6896357633341803,Optimal
1,8,40,1.6,10.0,0.0,1641,0.6896357637567178,Optimal
2,8,40,1.6,0.1,0.0,1303,0.6867216993336097,Optimal
2,8,40,1.6,1.0,0.0,1375,0.6867217047491663,Optimal
2,8,40,1.6,5.0,0.0,1375,0.6867217015147714,Optimal
2,8,40,1.6,10.0,0.0,1375,0.6867217014576386,Optimal
3,8,40,1.6,0.1,0.0,733,0.6824662604750483,Optimal
3,8,40,1.6,1.0,0.0,1641,0.6824662598853017,Optimal
3,8,40,1.6,5.0,0.0,1641,0.6824662619008264,Optimal
