seed,dimension,iteration,time,memory,lb,ub,list_time,list_num_nodes,list_lmo_calls,active_set_size,discarded_set_size
1,50,587,1.804753e6,1535554649024,-631.7915282352463,-344.1574675511869,332435.0,109,3533,22,7
1,50,587,1.804753e6,1535554649024,-631.7915282352463,-344.1574675511869,337666.0,111,3584,20,12
1,50,587,1.804753e6,1535554649024,-631.7915282352463,-344.1574675511869,342932.0,113,3641,19,2
1,50,587,1.804753e6,1535554649024,-631.7915282352463,-344.1574675511869,348211.0,115,3701,14,10
1,50,587,1.804753e6,1535554649024,-631.7915282352463,-344.1574675511869,353481.0,117,3760,20,8
1,50,587,1.804753e6,1535554649024,-631.7915282352463,-344.1574675511869,359000.0,119,3812,17,14
1,50,587,1.804753e6,1535554649024,-631.7785589996307,-344.1574675511869,359013.0,119,3816,11,1
1,50,587,1.804753e6,1535554649024,-631.7785589996307,-344.1574675511869,364532.0,121,3889,18,5
1,50,587,1.804753e6,1535554649024,-631.7719739545187,-344.1574675511869,370711.0,123,3973,23,7
1,50,587,1.804753e6,1535554649024,-631.7719739545187,-344.1574675511869,377628.0,125,4045,23,13
1,50,587,1.804753e6,1535554649024,-631.7719739545187,-344.1574675511869,383771.0,127,4118,29,7
1,50,587,1.804753e6,1535554649024,-631.7719739545187,-344.1574675511869,390414.0,129,4187,27,10
1,50,587,1.804753e6,1535554649024,-631.7719739545187,-344.1574675511869,397659.0,131,4265,20,6
1,50,587,1.804753e6,1535554649024,-631.7719739545187,-472.22789355934566,404829.0,133,4322,16,13
1,50,587,1.804753e6,1535554649024,-631.7719739545187,-472.22789355934566,411666.0,135,4394,14,8
1,50,587,1.804753e6,1535554649024,-631.7719739545187,-472.22789355934566,418466.0,137,4468,22,10
1,50,587,1.804753e6,1535554649024,-631.770546803601,-472.22789355934566,418478.0,137,4470,15,3
1,50,587,1.804753e6,1535554649024,-631.770546803601,-472.22789355934566,425083.0,139,4553,20,8
1,50,587,1.804753e6,1535554649024,-631.770546803601,-472.22789355934566,432677.0,141,4645,27,10
1,50,587,1.804753e6,1535554649024,-631.770546803601,-472.22789355934566,439698.0,143,4703,18,15
1,50,587,1.804753e6,1535554649024,-631.770546803601,-472.22789355934566,445945.0,145,4790,21,3
1,50,587,1.804753e6,1535554649024,-631.770546803601,-472.22789355934566,452478.0,147,4873,22,5
1,50,587,1.804753e6,1535554649024,-631.770546803601,-472.22789355934566,459295.0,149,4960,26,9
1,50,587,1.804753e6,1535554649024,-631.770546803601,-472.22789355934566,465930.0,151,5035,22,11
1,50,587,1.804753e6,1535554649024,-631.770546803601,-472.22789355934566,473151.0,153,5087,16,8
1,50,587,1.804753e6,1535554649024,-631.770546803601,-472.22789355934566,480474.0,155,5162,14,12
1,50,587,1.804753e6,1535554649024,-631.770546803601,-472.22789355934566,486835.0,157,5212,25,5
1,50,587,1.804753e6,1535554649024,-631.770546803601,-472.22789355934566,494314.0,159,5292,28,6
1,50,587,1.804753e6,1535554649024,-631.770546803601,-472.22789355934566,500896.0,161,5356,25,6
1,50,587,1.804753e6,1535554649024,-631.770546803601,-472.22789355934566,507765.0,163,5409,19,17
1,50,587,1.804753e6,1535554649024,-631.7703879523012,-472.22789355934566,507776.0,163,5413,9,3
1,50,587,1.804753e6,1535554649024,-631.7703879523012,-472.22789355934566,513892.0,165,5486,20,9
1,50,587,1.804753e6,1535554649024,-631.7703879523012,-472.22789355934566,520411.0,167,5558,23,10
1,50,587,1.804753e6,1535554649024,-631.7703879523012,-472.22789355934566,526799.0,169,5625,23,10
1,50,587,1.804753e6,1535554649024,-631.7703879523012,-472.22789355934566,533053.0,171,5708,23,6
1,50,587,1.804753e6,1535554649024,-631.7703879523012,-472.22789355934566,539561.0,173,5786,16,4
1,50,587,1.804753e6,1535554649024,-631.7703879523012,-472.22789355934566,546138.0,175,5863,22,7
1,50,587,1.804753e6,1535554649024,-631.7703879523012,-472.22789355934566,552547.0,177,5927,24,6
1,50,587,1.804753e6,1535554649024,-631.7703879523012,-472.22789355934566,559257.0,179,6020,31,5
1,50,587,1.804753e6,1535554649024,-631.7703879523012,-472.22789355934566,565644.0,181,6073,19,21
1,50,587,1.804753e6,1535554649024,-631.7686092519244,-472.22789355934566,565657.0,181,6076,5,5
1,50,587,1.804753e6,1535554649024,-631.7686092519244,-472.22789355934566,571972.0,183,6139,17,7
1,50,587,1.804753e6,1535554649024,-631.7686092519244,-472.22789355934566,578445.0,185,6217,24,12
1,50,587,1.804753e6,1535554649024,-631.7686092519244,-472.22789355934566,585264.0,187,6291,15,13
1,50,587,1.804753e6,1535554649024,-631.7686092519244,-472.22789355934566,591580.0,189,6352,29,11
1,50,587,1.804753e6,1535554649024,-631.7686092519244,-472.22789355934566,598030.0,191,6423,30,19
1,50,587,1.804753e6,1535554649024,-631.7686092519244,-472.22789355934566,604169.0,193,6487,20,2
1,50,587,1.804753e6,1535554649024,-631.7686092519244,-472.22789355934566,610496.0,195,6562,17,5
1,50,587,1.804753e6,1535554649024,-631.7686092519244,-472.22789355934566,617257.0,197,6622,21,4
1,50,587,1.804753e6,1535554649024,-631.7686092519244,-472.22789355934566,623812.0,199,6692,18,5
1,50,587,1.804753e6,1535554649024,-631.7686092519244,-472.22789355934566,630375.0,201,6754,7,5
1,50,587,1.804753e6,1535554649024,-631.7686092519244,-472.22789355934566,637443.0,203,6821,17,6
1,50,587,1.804753e6,1535554649024,-631.7686092519244,-472.22789355934566,643394.0,205,6869,16,5
1,50,587,1.804753e6,1535554649024,-631.7686092519244,-472.22789355934566,649286.0,207,6926,17,11
1,50,587,1.804753e6,1535554649024,-631.7686092519244,-472.22789355934566,655191.0,209,6980,25,17
1,50,587,1.804753e6,1535554649024,-631.7686092519244,-472.22789355934566,660987.0,211,7023,17,17
1,50,587,1.804753e6,1535554649024,-631.7644588550006,-472.22789355934566,667122.0,213,7087,21,7
1,50,587,1.804753e6,1535554649024,-631.7644588550006,-472.22789355934566,673438.0,215,7162,24,8
1,50,587,1.804753e6,1535554649024,-631.7564745449976,-472.22789355934566,679695.0,217,7242,22,3
1,50,587,1.804753e6,1535554649024,-631.7564745449976,-472.22789355934566,685685.0,219,7303,19,13
1,50,587,1.804753e6,1535554649024,-631.7564745449976,-472.22789355934566,692000.0,221,7361,21,4
1,50,587,1.804753e6,1535554649024,-631.7564745449976,-472.22789355934566,698292.0,223,7418,23,7
