seed,n0,m0,M,time,solution,dual_gap,rel_dual_gap,termination,ncalls
1,5,50,20.0,5.399,3.7832568240599382,0.018097214882867085,0.004806493418966238,OPTIMAL,468
2,5,50,20.0,4.483,5.452331495095619,3.305460371194613e-6,6.062475067950272e-7,OPTIMAL,293
3,5,50,20.0,6.935,2.951593366334,5.6984049416897165e-6,1.9306236448968245e-6,OPTIMAL,851
4,5,50,20.0,6.921,2.7602201258492447,5.4469959911429555e-6,1.973395777101635e-6,OPTIMAL,595
5,5,50,20.0,3.426,2.754841792538611,0.003633948833354328,0.0013208557985427295,OPTIMAL,231
6,5,50,20.0,4.094,1.8938358352690403,5.867900791045599e-6,3.0984306364102456e-6,OPTIMAL,283
7,5,50,20.0,6.687,1.7685158153348524,3.69155985247005e-6,2.0873817051308557e-6,OPTIMAL,462
8,5,50,20.0,1.786,6.90385672798477,0.05910370947866017,0.00863489293461165,OPTIMAL,114
9,5,50,20.0,1.602,1.1585655366637153,5.1089485628708076e-6,4.4097385346972256e-6,OPTIMAL,131
10,5,50,20.0,13.155,4.333125343193709,0.025980415556137615,0.006031934377092723,OPTIMAL,893
1,6,60,20.0,22.727,5.461866520217357,0.0023271463506269185,0.00042625324066098135,OPTIMAL,1305
2,6,60,20.0,10.646,3.0783678584217182,0.06686851240557168,0.02220439213909534,OPTIMAL,682
3,6,60,20.0,10.116,2.8841788118663305,1.1033013788797064e-5,3.825371696367303e-6,OPTIMAL,899
4,6,60,20.0,7.637,3.734679673677915,0.12492321249627869,0.03460710267844099,OPTIMAL,555
5,6,60,20.0,6.746,4.631784073917451,0.01672189544540359,0.0036233304771941047,OPTIMAL,431
6,6,60,20.0,12.322,2.3065927585281605,0.015215307720362059,0.006640245025976876,OPTIMAL,966
7,6,60,20.0,7.91,1.7454602042482608,6.478907573992387e-6,3.7118758749836237e-6,OPTIMAL,558
8,6,60,20.0,6.251,6.807976192655318,0.06188794338954029,0.00917390065217068,OPTIMAL,396
9,6,60,20.0,5.39,0.5525107537761023,4.094867398940494e-6,7.411435378948316e-6,OPTIMAL,320
10,6,60,20.0,18.874,5.5753963148422665,0.0072990011172544556,0.0013108609110086625,OPTIMAL,1249
1,7,70,20.0,13.394,5.1397486550321965,0.015167437535082762,0.0029597418581826396,OPTIMAL,935
2,7,70,20.0,14.621,3.2852063967491194,1.3689772104807929e-5,4.167113873026052e-6,OPTIMAL,1136
3,7,70,20.0,13.588,1.1179976064938777,0.021386974269386183,0.019502796745643782,OPTIMAL,950
4,7,70,20.0,11.127,1.8431446002262164,0.05905137560618812,0.033098817254218725,OPTIMAL,778
5,7,70,20.0,10.137,3.1735550613409487,9.230077806954284e-6,2.908443204452008e-6,OPTIMAL,669
6,7,70,20.0,24.745,2.4845738182843826,0.00011814984311397936,4.7555625409128675e-5,OPTIMAL,1357
7,7,70,20.0,10.159,2.3521054704449367,0.19813975375820547,0.09198835070735834,OPTIMAL,719
8,7,70,20.0,11.268,6.591411359740972,0.05819913126176868,0.008908195421552413,OPTIMAL,676
9,7,70,20.0,15.854,-0.04614289412837591,1.1008147540181312e-5,0.00023856647373602367,OPTIMAL,1099
10,7,70,20.0,29.349,5.25738116156147,0.04366713001518008,0.008375436349398172,OPTIMAL,1918
1,8,80,20.0,26.626,5.8428700449206605,0.048949327007514754,0.008448394341361529,OPTIMAL,2014
2,8,80,20.0,49.59,4.641723497497753,0.02669151331685793,0.005783603105752972,OPTIMAL,2901
3,8,80,20.0,35.772,1.4905805589294758,0.007671576939381586,0.005173329605898113,OPTIMAL,2136
4,8,80,20.0,26.865,3.152025657377453,1.2186177348105787e-5,3.866156493127548e-6,OPTIMAL,2173
5,8,80,20.0,21.08,4.089808541891621,1.3815742285316901e-5,3.378101643337204e-6,OPTIMAL,1338
6,8,80,20.0,26.255,4.088111764269105,0.023092430904439354,0.005680767792394598,OPTIMAL,1643
7,8,80,20.0,35.984,2.3452666374960236,0.005240203357288031,0.0022393778466937397,OPTIMAL,2162
8,8,80,20.0,14.652,7.652236893873445,0.06993166559486674,0.009223008503278552,OPTIMAL,837
9,8,80,20.0,54.867,-0.7130867820659648,0.03144178009269116,0.04409250161894406,OPTIMAL,3303
10,8,80,20.0,21.509,5.541656049536352,0.041821399022789585,0.007604119338184903,OPTIMAL,1493
1,9,90,20.0,244.775,4.305484743022214,0.027022952994001592,0.006316044017731756,OPTIMAL,14430
2,9,90,20.0,167.81,5.1873685060791335,0.04747232286630698,0.009236047027827937,OPTIMAL,10083
