seed,dimension,p,k,time,lowerBound,upperBound,termination,LMOcalls,openNodes
1,30,150,6.0,736.0,3.2199366910700515,3.680463057455647,OPTIMAL,43,2
1,30,150,6.0,1345.0,3.2199366910700515,3.680463057455647,OPTIMAL,75,3
1,30,150,6.0,1753.0,3.257813996924407,3.680463057455647,OPTIMAL,107,4
1,30,150,6.0,2182.0,3.257813996924407,3.680463057455647,OPTIMAL,136,5
1,30,150,6.0,2498.0,3.264650644057108,3.680463057455647,OPTIMAL,159,6
1,30,150,6.0,2953.0,3.264650644057108,3.680463057455647,OPTIMAL,185,7
1,30,150,6.0,3556.0,3.298106768693126,3.680463057455647,OPTIMAL,222,8
1,30,150,6.0,3861.0,3.298106768693126,3.680463057455647,OPTIMAL,246,9
1,30,150,6.0,4467.0,3.298183161018611,3.680463057455647,OPTIMAL,289,10
1,30,150,6.0,4974.0,3.298183161018611,3.680463057455647,OPTIMAL,315,11
1,30,150,6.0,5367.0,3.2983098918327656,3.680463057455647,OPTIMAL,345,12
1,30,150,6.0,5756.0,3.2983098918327656,3.680463057455647,OPTIMAL,373,13
1,30,150,6.0,6313.0,3.309535415870975,3.680463057455647,OPTIMAL,411,14
1,30,150,6.0,6768.0,3.309535415870975,3.680463057455647,OPTIMAL,438,15
1,30,150,6.0,7162.0,3.3229108340829154,3.680463057455647,OPTIMAL,466,16
1,30,150,6.0,7556.0,3.3229108340829154,3.680463057455647,OPTIMAL,492,17
1,30,150,6.0,8049.0,3.323967281567032,3.680463057455647,OPTIMAL,529,18
1,30,150,6.0,8462.0,3.323967281567032,3.680463057455647,OPTIMAL,560,19
1,30,150,6.0,9024.0,3.3267375208216765,3.680463057455647,OPTIMAL,596,20
1,30,150,6.0,9560.0,3.3267375208216765,3.680463057455647,OPTIMAL,628,21
1,30,150,6.0,10105.0,3.3347065491942405,3.680463057455647,OPTIMAL,664,22
1,30,150,6.0,10599.0,3.3347065491942405,3.680463057455647,OPTIMAL,693,23
1,30,150,6.0,11221.0,3.345710414872972,3.680463057455647,OPTIMAL,731,24
1,30,150,6.0,11770.0,3.345710414872972,3.680463057455647,OPTIMAL,766,25
1,30,150,6.0,12267.0,3.3476763513262555,3.680463057455647,OPTIMAL,803,26
1,30,150,6.0,12650.0,3.3476763513262555,3.680463057455647,OPTIMAL,829,27
1,30,150,6.0,13160.0,3.348664871249994,3.680463057455647,OPTIMAL,866,28
1,30,150,6.0,13493.0,3.348664871249994,3.680463057455647,OPTIMAL,891,29
1,30,150,6.0,14011.0,3.3501173661328894,3.680463057455647,OPTIMAL,932,30
1,30,150,6.0,14650.0,3.3501173661328894,3.680463057455647,OPTIMAL,970,31
1,30,150,6.0,15121.0,3.3555683230240514,3.680463057455647,OPTIMAL,1004,32
1,30,150,6.0,15444.0,3.3555683230240514,3.680463057455647,OPTIMAL,1028,33
1,30,150,6.0,15873.0,3.3607527662007115,3.666072357479498,OPTIMAL,1059,34
