seed,num_v,solution,termination,time
1,4,-8715.87146496643,LOCALLY_SOLVED,15.271973848342896
1,5,-12164.174506409388,LOCALLY_SOLVED,9.626758098602295
1,6,-19055.5550940589,LOCALLY_SOLVED,22.29057788848877
1,7,-18525.8088696645,LOCALLY_SOLVED,19.17814803123474
1,8,-10732.683972244125,LOCALLY_SOLVED,15.38907504081726
2,4,-10640.609977503218,LOCALLY_SOLVED,34.88498902320862
2,5,12342.863873538061,LOCALLY_SOLVED,22.424211978912354
2,6,-21661.08218887372,LOCALLY_SOLVED,33.298112869262695
2,7,-5113.939492546944,LOCALLY_SOLVED,21.021558046340942
2,8,-12844.878154576905,LOCALLY_SOLVED,20.985871076583862
3,4,-8722.053808032124,LOCALLY_SOLVED,15.70122480392456
3,5,-25816.666014696068,LOCALLY_SOLVED,14.000481843948364
3,6,12605.054860879736,LOCALLY_SOLVED,22.232277154922485
3,7,-40220.7475551962,LOCALLY_SOLVED,18.363487005233765
3,8,24729.915103547384,LOCALLY_SOLVED,17.292144060134888
