numV,timeBoscia,terminationBoscia,relGapBoscia,timeScip,terminationScip,relGapScip,timeIpopt,terminationIpopt,relGapIpopt,timeNoWs,terminationNoWs,relGapNoWs,timeNoAs,terminationNoAs,relGapNoAs,timeNoSs,terminationNoSs,relGapNoSs,timeAfw,terminationAfw,relGapAfw,optimalBoscia,optimalIpopt,optimalScip,NumInstances,terminationBosciaRel,terminationScipRel,terminationNoWsRel,terminationNoAsRel,terminationNoSsRel,terminationAfwRel,terminationIpoptRel,BosciaGeoMeanIntersection,NoWsGeoMeanIntersection,NoAsGeoMeanIntersection,NoSsGeoMeanIntersection,AfwGeoMeanIntersection,BosciaGeoMeanIntersectionSolvers,ScipGeoMeanIntersectionSolvers,IpoptGeoMeanIntersectionSolvers
4,4,3.0,1.0,13,3.0,2.0,3,3.0,1.0,2,3.0,1.0,2,3.0,1.0,2,3.0,1.0,2,3.0,1.0,3.0,3.0,2.0,3,100,100,100,100,100,100,100,4,2,2,2,2,5,15,5
5,11,3.0,1.0,288,2.0,1.0,10,3.0,1.0,12,3.0,1.0,12,3.0,1.0,12,3.0,1.0,10,3.0,1.0,3.0,3.0,3.0,3,100,67,100,100,100,100,100,11,12,12,12,10,11,288,10
6,55,3.0,1.0,643,1.0,5.0,33,3.0,1.0,64,3.0,1.0,64,3.0,1.0,64,3.0,1.0,44,3.0,1.0,3.0,3.0,2.0,3,100,33,100,100,100,100,100,55,64,64,64,44,25,385,18
7,47,3.0,1.0,634,2.0,5.0,24,3.0,1.0,61,3.0,1.0,61,3.0,1.0,61,3.0,1.0,38,3.0,1.0,3.0,3.0,2.0,3,100,67,100,100,100,100,100,47,61,61,61,38,13,377,8
8,220,2.0,3.0,1800,0.0,12.0,106,3.0,3.0,241,2.0,4.0,241,2.0,4.0,241,2.0,4.0,223,2.0,2.0,3.0,3.0,1.0,3,67,0,67,67,67,67,100,77,88,88,88,78,137,1800,76
