seed,num_v,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings,sizeActiveSet,sizeDiscardedSet
3,5,195.0,-11.575425857209465,-10.774923809871945,Optimal (tolerance reached),22,6,6,7,0
3,5,427.0,-11.575425857209465,-10.774923809871945,Optimal (tolerance reached),42,11,9,7,1
3,5,663.0,-11.46583311469496,-10.774932610343203,Optimal (tolerance reached),60,11,0,10,0
3,5,880.0,-11.46583311469496,-10.774932610343203,Optimal (tolerance reached),79,2,0,12,1
3,5,1092.0,-11.459324008717136,-10.774932610343203,Optimal (tolerance reached),97,3,0,4,0
3,5,1282.0,-11.459324008717136,-10.774932610343203,Optimal (tolerance reached),113,2,0,10,2
3,5,1494.0,-11.352837775482323,-10.774932610343203,Optimal (tolerance reached),131,4,0,8,3
3,5,1670.0,-11.352837775482323,-10.774936770602945,Optimal (tolerance reached),146,3,0,8,0
3,5,1883.0,-11.347323770592416,-10.774936770602945,Optimal (tolerance reached),163,4,0,11,1
3,5,2083.0,-11.347323770592416,-10.774936770602945,Optimal (tolerance reached),180,4,0,7,4
3,5,2335.0,-11.345999248096746,-10.774936770602945,Optimal (tolerance reached),202,5,0,11,0
3,5,2547.0,-11.345999248096746,-10.774936770602945,Optimal (tolerance reached),221,2,0,7,1
3,5,2755.0,-11.338379638312045,-10.774936770602945,Optimal (tolerance reached),239,4,0,10,2
3,5,2953.0,-11.338379638312045,-10.774936770602945,Optimal (tolerance reached),256,2,0,8,2
3,5,3150.0,-11.276908555117688,-10.774936770602945,Optimal (tolerance reached),273,3,0,13,2
3,5,3313.0,-11.276908555117688,-10.774936770602945,Optimal (tolerance reached),287,1,0,8,0
3,5,3523.0,-11.271834217157897,-10.774936770602945,Optimal (tolerance reached),305,4,0,8,4
3,5,3742.0,-11.271834217157897,-10.774936770602945,Optimal (tolerance reached),324,1,0,7,1
3,5,3967.0,-11.271209452244927,-10.774936770602945,Optimal (tolerance reached),344,4,0,5,1
3,5,4166.0,-11.271209452244927,-10.774936770602945,Optimal (tolerance reached),361,0,0,10,2
3,5,4396.0,-11.265931390185498,-10.774936770602945,Optimal (tolerance reached),380,3,0,3,3
3,5,4600.0,-11.265931390185498,-10.774936770602945,Optimal (tolerance reached),398,0,0,6,1
3,5,4818.0,-11.20834069560897,-10.774936770602945,Optimal (tolerance reached),417,4,0,6,1
3,5,5060.0,-11.20834069560897,-10.774936770602945,Optimal (tolerance reached),438,8,0,12,3
3,5,5263.0,-11.20199931337177,-10.77493700095156,Optimal (tolerance reached),456,2,0,6,1
3,5,5444.0,-11.20199931337177,-10.77493700095156,Optimal (tolerance reached),472,8,0,7,3
3,5,5665.0,-11.201340735720706,-10.77493700095156,Optimal (tolerance reached),491,2,0,5,2
3,5,5913.0,-11.201340735720706,-10.77493700095156,Optimal (tolerance reached),513,8,0,8,1
3,5,6115.0,-11.193257044314553,-10.77493700095156,Optimal (tolerance reached),531,2,0,5,0
3,5,6352.0,-11.193257044314553,-10.77493700095156,Optimal (tolerance reached),552,8,0,14,1
3,5,6536.0,-11.190008061144269,-10.77493700095156,Optimal (tolerance reached),568,3,0,7,3
3,5,6733.0,-11.190008061144269,-10.77493700095156,Optimal (tolerance reached),585,3,0,7,1
3,5,6949.0,-11.182500895741036,-10.77493700095156,Optimal (tolerance reached),604,8,0,5,1
