seed,num_v,time,solution,termination,calls
1,4,18.767482,-12.113848321343617,OPTIMAL,1170
2,4,9.395193,-13.239805603101097,OPTIMAL,799
3,4,11.665608,-17.10798224001847,OPTIMAL,1231
1,5,210.323785,-15.965421921280814,OPTIMAL,2423
2,5,63.048242,-16.770924049969306,OPTIMAL,1681
3,5,1800.000591,-6.39710386041034,TIME_LIMIT,8486
1,6,1800.003321,-5.3324866484291755,TIME_LIMIT,7184
2,6,82.195731,-18.57745040243455,OPTIMAL,2278
3,6,1800.002575,-19.76902346524797,TIME_LIMIT,8882
1,7,216.99702,-8.400099253829357,OPTIMAL,3106
2,7,653.945271,-13.867058009299887,OPTIMAL,6101
3,7,1800.000878,3.1173599431045687,TIME_LIMIT,4786
1,8,1800.002404,-2.3558106250173094,TIME_LIMIT,5236
2,8,1800.000286,-6.580245296516263,TIME_LIMIT,8928
3,8,1800.000652,-13.018309531176625,TIME_LIMIT,9843
