seed,n0,m0,M,time,solution,termination,calls
1,5,50,20.0,1.083098,3.7832573065712234,OPTIMAL,136
2,5,50,20.0,0.028457,5.452331803971415,OPTIMAL,131
3,5,50,20.0,0.025939999999999998,2.9515934583615535,OPTIMAL,115
1,6,60,20.0,0.045527,5.461865668714659,OPTIMAL,163
2,6,60,20.0,0.144254,3.0476814179516745,OPTIMAL,239
3,6,60,20.0,0.046595,2.884178971657188,OPTIMAL,176
1,7,70,20.0,0.057561999999999995,5.139749026957312,OPTIMAL,237
2,7,70,20.0,0.050832999999999996,3.285206780705906,OPTIMAL,207
3,7,70,20.0,0.06005,1.1115405651000083,OPTIMAL,232
1,8,80,20.0,0.08395699999999999,5.842870299124243,OPTIMAL,273
2,8,80,20.0,0.06856899999999999,4.641723129138664,OPTIMAL,237
3,8,80,20.0,0.078065,1.489672514820188,OPTIMAL,268
1,9,90,20.0,0.12514999999999998,4.305484822782873,OPTIMAL,311
2,9,90,20.0,0.092693,5.187203407893222,OPTIMAL,303
3,9,90,20.0,0.085876,1.0108017496110613,OPTIMAL,282
1,10,100,20.0,0.18149099999999999,5.712069576879376,OPTIMAL,385
2,10,100,20.0,0.11173599999999999,5.83265358876814,OPTIMAL,352
3,10,100,20.0,0.136065,2.1463834450946884,OPTIMAL,393
1,11,110,20.0,0.177122,5.753685337125548,OPTIMAL,428
2,11,110,20.0,0.162576,5.630124604248149,OPTIMAL,440
3,11,110,20.0,0.16741699999999998,1.8446495897580324,OPTIMAL,449
1,12,120,20.0,0.210424,6.688040299743828,OPTIMAL,522
2,12,120,20.0,0.21324099999999999,6.439775146381722,OPTIMAL,494
3,12,120,20.0,0.22855999999999999,0.43572123251718287,OPTIMAL,551
1,13,130,20.0,0.280927,7.971170201664589,OPTIMAL,600
2,13,130,20.0,0.29142399999999996,7.3840493566724525,OPTIMAL,599
3,13,130,20.0,0.355,0.5845972532631896,OPTIMAL,714
1,14,140,20.0,0.368261,7.390225493858504,OPTIMAL,659
2,14,140,20.0,0.294964,7.277417968122018,OPTIMAL,650
3,14,140,20.0,0.35364999999999996,1.343504650513915,OPTIMAL,681
1,15,150,20.0,0.392351,9.200583051466456,OPTIMAL,719
2,15,150,20.0,0.470732,8.212307565694427,OPTIMAL,756
3,15,150,20.0,0.428981,2.0398210170302176,OPTIMAL,762
1,16,160,20.0,0.5313019999999999,8.554842184841444,OPTIMAL,842
2,16,160,20.0,0.590101,8.04362864258519,OPTIMAL,874
3,16,160,20.0,1.210934,1.8297676984953057,OPTIMAL,1235
1,17,170,20.0,0.8274809999999999,10.648636882341158,OPTIMAL,938
2,17,170,20.0,0.7314459999999999,8.841568764479266,OPTIMAL,973
3,17,170,20.0,2.3289999999999997,2.980762233780215,OPTIMAL,763
1,18,180,20.0,0.8484149999999999,9.837133243332605,OPTIMAL,1042
2,18,180,20.0,1.099544,7.850009756013303,OPTIMAL,1011
3,18,180,20.0,1.135113,1.9021716437391332,OPTIMAL,957
1,19,190,20.0,1.159248,10.82254722004402,OPTIMAL,1155
2,19,190,20.0,1.151518,9.73666984155156,OPTIMAL,1119
3,19,190,20.0,1.019274,2.854745070453507,OPTIMAL,1148
1,20,200,20.0,2.5162329999999997,10.65041904222576,OPTIMAL,1245
2,20,200,20.0,1.05471,9.882997821963272,OPTIMAL,1132
3,20,200,20.0,1.231558,1.2110415019580247,OPTIMAL,1239
1,20,200,20.0,1.492674,10.65041904222576,OPTIMAL,1245
2,20,200,20.0,1.074364,9.882997821963272,OPTIMAL,1132
3,20,200,20.0,1.172669,1.2110415019580247,OPTIMAL,1239
