seed,dimension,time,solution,termination,calls
1,20,11.474982,-2.7886805750186174,OPTIMAL,4807
2,20,5.219319,-2.802333404743234,OPTIMAL,3530
3,20,6.681652,-1.0930081733746682,OPTIMAL,2182
4,20,1.433983,-0.9606325786277106,OPTIMAL,1181
5,20,4.064802,-0.6133474120630069,OPTIMAL,2070
6,20,1.045884,0.16297352340630034,OPTIMAL,1215
7,20,2.571195,-1.8095856112971163,OPTIMAL,2237
8,20,7.209894,-4.583566201604261,OPTIMAL,2177
9,20,2.461392,-0.12499643216414741,OPTIMAL,1961
10,20,4.564236,-0.06546878414305146,OPTIMAL,2605
1,25,4.8027999999999995,-0.0567543516213731,OPTIMAL,2510
2,25,5.067113,-0.05242230995540542,OPTIMAL,2977
3,25,7.079324,-0.32576664250039766,OPTIMAL,3232
4,25,10.584679,-0.03783447891581515,OPTIMAL,2815
5,25,68.710618,-8.811578216278093,OPTIMAL,5423
6,25,27.458526,-3.594603104720272,OPTIMAL,4224
7,25,1800.,INF,TIME_LIMIT,INF
8,25,8.883605,-0.8643547378583163,OPTIMAL,3375
9,25,16.656595,-6.706877594059943,OPTIMAL,4017
10,25,1800.,INF,TIME_LIMIT,INF
1,30,67.713434,-0.2020199615399998,OPTIMAL,7451
2,30,32.65584,-0.40740925823955765,OPTIMAL,5946
3,30,14.826258,-0.3347691117594722,OPTIMAL,3503
4,30,1800.,INF,TIME_LIMIT,INF
5,30,123.328822,-0.22151736210318534,OPTIMAL,6280
6,30,118.265224,-0.6400500678116622,OPTIMAL,8212
7,30,151.682251,-0.033114050245198534,OPTIMAL,6930
8,30,64.323163,-0.05118105681814006,OPTIMAL,8187
9,30,17.166313,0.14911573930682642,OPTIMAL,4524
10,30,1256.383758,-9.912321292944284,OPTIMAL,11920
1,35,983.632655,-0.12485128319065575,OPTIMAL,27782
2,35,1800.,INF,TIME_LIMIT,INF
3,35,54.397601,-0.34131386418502285,OPTIMAL,7155
4,35,72.809412,-0.21623351680830782,OPTIMAL,7285
5,35,318.672575,-1.4762813437554336,OPTIMAL,13200
6,35,321.936421,-1.4181430995734425,OPTIMAL,13136
7,35,133.060198,0.2729290043430511,OPTIMAL,11265
8,35,86.613941,-0.22847634681145218,OPTIMAL,7058
9,35,106.099918,-0.6529578604668735,OPTIMAL,8528
10,35,117.41683,-0.3402568870805915,OPTIMAL,7204
1,40,671.229838,-0.2778726833365138,OPTIMAL,15098
2,40,1800.,INF,TIME_LIMIT,INF
3,40,1800.007953,10.786190565757575,TIME_LIMIT,25925
4,40,627.094781,-0.8097964072984394,OPTIMAL,18593
5,40,357.049583,-0.3956575028922273,OPTIMAL,12077
6,40,1800.000869,-11.103677252754228,TIME_LIMIT,26407
7,40,662.600424,-0.10837216448152875,OPTIMAL,14164
8,40,826.640502,-0.0824556586785784,OPTIMAL,10848
9,40,156.020891,-0.1979860523823554,OPTIMAL,8899
10,40,1800.000446,-1.0883134358021005,TIME_LIMIT,25084
1,45,1800.027671,12.621258179612717,TIME_LIMIT,20608
2,45,1800.000277,-3.911627134514542,TIME_LIMIT,27529
3,45,347.75335,0.6020911885899864,OPTIMAL,10749
4,45,287.416725,-0.2618496793674863,OPTIMAL,10273
5,45,1800.005139,18.68972933016922,TIME_LIMIT,23063
6,45,1800.004198,8.01899319379029,TIME_LIMIT,16235
7,45,1800.006217,3.704972767210865,TIME_LIMIT,21519
8,45,1800.000568,-0.1919723818710315,TIME_LIMIT,24066
9,45,1800.005754,9.663764740215719,TIME_LIMIT,20360
10,45,1800.083451,11.631605852160853,TIME_LIMIT,20279
1,50,1800.075113,6.250476317455222,TIME_LIMIT,21587
2,50,1800.002344,59.15349399703917,TIME_LIMIT,15021
3,50,1800.133859,20.59141927324484,TIME_LIMIT,20405
4,50,1800.007899,17.635625919973187,TIME_LIMIT,23874
5,50,1800.001526,14.789128529023312,TIME_LIMIT,20032
