seed,dimension,solution,termination,time
1,20,-2.7886808010947486,LOCALLY_SOLVED,9.831553936004639
1,25,-0.05675471015962996,LOCALLY_SOLVED,97.40761113166809
1,30,-0.20201708243408806,LOCALLY_SOLVED,160.6406970024109
1,35,-0.12484093196382101,LOCALLY_SOLVED,473.64092803001404
1,40,-0.2778730914078692,LOCALLY_SOLVED,468.830482006073
1,45,-0.28495672388980253,LOCALLY_SOLVED,1801.6531569957733
1,50,-0.194857295942027,LOCALLY_SOLVED,1801.4708459377289
1,55,-0.3403206561072958,LOCALLY_SOLVED,1803.412267923355
1,60,-0.2911423050114391,LOCALLY_SOLVED,1803.096713066101
1,65,-0.3659555987854019,LOCALLY_SOLVED,1801.6582078933716
1,70,-0.16816234720682338,LOCALLY_SOLVED,1804.190129995346
1,75,-0.09023960224424887,LOCALLY_SOLVED,1804.3591690063477
1,80,-0.15853622784412252,LOCALLY_SOLVED,1803.9724020957947
1,85,-0.4150603999764708,LOCALLY_SOLVED,1802.367213010788
1,90,-0.7093759174388433,LOCALLY_SOLVED,1801.777225971222
1,95,-0.766203368577172,LOCALLY_SOLVED,1802.0301039218903
1,100,-0.8615318464093198,LOCALLY_SOLVED,1801.32901096344
1,105,-0.06680598679785027,LOCALLY_SOLVED,1801.736095905304
1,110,-0.3165411472743399,LOCALLY_SOLVED,1802.1413669586182
1,115,-0.5145837868294251,LOCALLY_SOLVED,1803.5735619068146
1,120,-0.052994307628906,LOCALLY_SOLVED,1803.2243089675903
2,20,-2.8023336412349904,LOCALLY_SOLVED,4.914355993270874
2,25,-0.0524225240100884,LOCALLY_SOLVED,77.21796202659607
2,30,-0.4074096577267618,LOCALLY_SOLVED,149.91217184066772
2,35,-18.569473984384203,LOCALLY_SOLVED,22.20759606361389
2,40,-13.67099936716043,LOCALLY_SOLVED,23.982773065567017
2,45,-4.867834624513771,LOCALLY_SOLVED,100.50828719139099
2,50,-0.005755328549371885,LOCALLY_SOLVED,1802.8387219905853
2,55,-0.17083649403322715,LOCALLY_SOLVED,1801.547131061554
2,60,-0.04599805514417987,LOCALLY_SOLVED,1803.3403248786926
2,65,-0.37505142694783183,LOCALLY_SOLVED,1802.1674089431763
2,70,-0.4591880289230542,LOCALLY_SOLVED,1802.668830871582
2,75,0.10916241194137322,LOCALLY_SOLVED,1801.6890501976013
2,80,-0.048643784996753814,LOCALLY_SOLVED,1801.3521611690521
2,85,-0.1354971913104565,LOCALLY_SOLVED,1802.8369710445404
2,90,-7.526531598481256,LOCALLY_SOLVED,1801.4175448417664
2,95,-0.5841529769176624,LOCALLY_SOLVED,1802.0416860580444
2,100,-0.35425729770048064,LOCALLY_SOLVED,1800.942822933197
2,105,-0.06666307945785549,LOCALLY_SOLVED,1801.3255200386047
2,110,-0.3631552398663102,LOCALLY_SOLVED,1800.9311408996582
2,115,-0.8720825351519987,LOCALLY_SOLVED,1802.2679238319397
2,120,-0.6756495571999053,LOCALLY_SOLVED,1801.4975111484528
3,20,-1.0930084722335707,LOCALLY_SOLVED,26.754017114639282
3,25,-0.3257666873872638,LOCALLY_SOLVED,32.486000061035156
3,30,-0.334769461297642,LOCALLY_SOLVED,214.25378704071045
3,35,-0.34131413297165336,LOCALLY_SOLVED,860.3775019645691
3,40,-0.33404687552975365,LOCALLY_SOLVED,698.8956758975983
3,45,0.6020908943814101,LOCALLY_SOLVED,829.542886018753
3,50,-0.3203631890479418,LOCALLY_SOLVED,416.60679292678833
3,55,-0.3359794166039967,LOCALLY_SOLVED,1802.2170300483704
3,60,-2.9885319467193305,LOCALLY_SOLVED,1801.8260548114777
3,65,-0.02747495578420245,LOCALLY_SOLVED,1802.1974749565125
3,70,-0.19982017071463326,LOCALLY_SOLVED,1803.2745869159698
3,75,-0.24444701448552214,LOCALLY_SOLVED,1801.7346198558807
3,80,-0.23313271936949653,LOCALLY_SOLVED,1802.0245897769928
3,85,-0.18304094050663222,LOCALLY_SOLVED,1801.7855348587036
3,90,-1.2172491503381406,LOCALLY_SOLVED,1800.8186061382294
3,95,-0.034273804608598524,LOCALLY_SOLVED,1801.6491911411285
3,100,-21.23881993027553,LOCALLY_SOLVED,1801.3293550014496
3,105,-0.2274834819615763,LOCALLY_SOLVED,1800.8797211647034
3,110,-12.844024428650894,LOCALLY_SOLVED,1800.7567729949951
3,115,-0.03829531921806356,LOCALLY_SOLVED,1803.3224308490753
3,120,-0.4842018821022129,LOCALLY_SOLVED,1801.0077691078186
4,20,-0.9606330568392063,LOCALLY_SOLVED,14.988726139068604
4,25,-0.037829829117190295,LOCALLY_SOLVED,99.5471260547638
4,30,-12.165565158625537,LOCALLY_SOLVED,7.893060922622681
4,35,-0.21622947883959032,LOCALLY_SOLVED,539.9814419746399
4,40,-0.8097967332357261,LOCALLY_SOLVED,161.92024207115173
4,45,-0.26184991357673704,LOCALLY_SOLVED,264.537269115448
4,50,-0.12503670104002917,LOCALLY_SOLVED,1801.4344129562378
4,55,0.08276691005216308,LOCALLY_SOLVED,1802.126088142395
4,60,-0.21324911777754946,LOCALLY_SOLVED,1802.2161071300507
4,65,-12.807308887642861,LOCALLY_SOLVED,790.6263809204102
4,70,-0.4726418175663756,LOCALLY_SOLVED,1802.1000680923462
4,75,-0.12871616957341053,LOCALLY_SOLVED,1801.601763010025
4,80,-0.31343396771599275,LOCALLY_SOLVED,1801.7069890499115
4,85,-0.806612348897789,LOCALLY_SOLVED,1801.5464968681335
4,90,-0.06996316867660068,LOCALLY_SOLVED,1801.9750719070435
4,95,-0.09855083810683829,LOCALLY_SOLVED,1801.4923779964447
4,100,-0.44641324055836856,LOCALLY_SOLVED,1802.1425631046295
4,105,-0.2025633897321033,LOCALLY_SOLVED,1801.216679096222
4,110,-0.6984853850662738,LOCALLY_SOLVED,1801.227234840393
4,115,0.05021782125832053,LOCALLY_SOLVED,1801.2684180736542
4,120,-10.546671196001622,LOCALLY_SOLVED,1801.0355219841003
5,20,-0.6133478018441698,LOCALLY_SOLVED,27.50935411453247
5,25,-8.811578503390269,LOCALLY_SOLVED,17.030846118927002
5,30,-0.22151766658712657,LOCALLY_SOLVED,113.1281909942627
5,35,-1.4762816710014035,LOCALLY_SOLVED,74.3345398902893
5,40,-0.39565769102366566,LOCALLY_SOLVED,430.8196909427643
5,45,-0.20318952158736936,LOCALLY_SOLVED,1801.504290819168
5,50,-0.5112772761542764,LOCALLY_SOLVED,303.01271319389343
5,55,-20.451217059420465,LOCALLY_SOLVED,226.48976016044617
5,60,0.008277791549169633,LOCALLY_SOLVED,1801.8518600463867
5,65,-0.023075016370339596,LOCALLY_SOLVED,1803.2525010108948
5,70,-0.715054579430372,LOCALLY_SOLVED,1801.7096440792084
5,75,-0.2862748613998022,LOCALLY_SOLVED,1801.2504131793976
5,80,-0.20230842347131328,LOCALLY_SOLVED,1801.6065790653229
5,85,-0.007899813527839195,LOCALLY_SOLVED,1801.3432071208954
5,90,-0.4246884670213395,LOCALLY_SOLVED,1801.4181520938873
5,95,-0.2251651049940699,LOCALLY_SOLVED,1802.6766741275787
5,100,-0.21595071524611187,LOCALLY_SOLVED,1803.1868560314178
5,105,-0.3401734536938926,LOCALLY_SOLVED,1802.0418891906738
5,110,-0.4154899717535731,LOCALLY_SOLVED,1802.0692329406738
5,115,-0.4951076630221819,LOCALLY_SOLVED,1800.3586161136627
5,120,-0.7614896343121832,LOCALLY_SOLVED,1800.8588581085205
6,20,0.16297348340972206,LOCALLY_SOLVED,12.306498050689697
6,25,-3.5946033711918153,LOCALLY_SOLVED,17.81372308731079
6,30,-0.6400503748539523,LOCALLY_SOLVED,77.72873306274414
6,35,-1.418143445025688,LOCALLY_SOLVED,81.13425803184509
6,40,-11.590738450785771,LOCALLY_SOLVED,74.70598292350769
6,45,-0.3305851150580056,LOCALLY_SOLVED,1297.7608139514923
6,50,0.07048853148164769,LOCALLY_SOLVED,1801.8478989601135
6,55,-0.08468074981588458,LOCALLY_SOLVED,1801.4209909439087
6,60,-0.0326773172923327,LOCALLY_SOLVED,1801.5844900608063
6,65,-1.9065524542351717,LOCALLY_SOLVED,1802.090168952942
6,70,-0.7917620990053077,LOCALLY_SOLVED,1801.9910070896149
6,75,-1.1771951732561508,LOCALLY_SOLVED,1801.9056119918823
6,80,-7.667841395246583,LOCALLY_SOLVED,1801.0103290081024
6,85,-0.25886698145200304,LOCALLY_SOLVED,1801.9548468589783
6,90,-0.2240648141027844,LOCALLY_SOLVED,1801.3607380390167
6,95,-4.935535579378563,LOCALLY_SOLVED,1800.8125159740448
6,105,-0.35853126273900315,LOCALLY_SOLVED,1804.3108549118042
6,110,-0.3519903639613303,LOCALLY_SOLVED,1803.4843730926514
6,115,-0.4257187345196878,LOCALLY_SOLVED,1802.4341399669647
6,120,-0.28930023175711833,LOCALLY_SOLVED,1802.031925201416
7,20,-1.8095859659900877,LOCALLY_SOLVED,9.16897201538086
7,25,-8.962461587342563,LOCALLY_SOLVED,8.785150051116943
7,30,-0.033114543332046664,LOCALLY_SOLVED,144.96623301506042
7,35,0.27292858365697636,LOCALLY_SOLVED,436.38106203079224
7,40,-0.10837252528319702,LOCALLY_SOLVED,844.6227531433105
7,45,-0.7504781790719792,LOCALLY_SOLVED,667.1014349460602
7,50,-0.06416483731913486,LOCALLY_SOLVED,1802.4507529735565
7,55,-2.317531202576851,LOCALLY_SOLVED,1801.8516240119934
7,60,-1.8377344075989837,LOCALLY_SOLVED,392.37897300720215
7,65,-0.25866758631386405,LOCALLY_SOLVED,1802.851086139679
7,70,-1.401193211373562,LOCALLY_SOLVED,1801.9534268379211
7,75,-17.848477011452083,LOCALLY_SOLVED,1528.472867012024
7,80,-0.24250087725889247,LOCALLY_SOLVED,1801.4779369831085
7,85,-0.4097222149488271,LOCALLY_SOLVED,1801.0236489772797
7,90,-0.11678656014842848,LOCALLY_SOLVED,1801.3949949741364
7,95,-8.209207233347787,LOCALLY_SOLVED,1801.0880010128021
7,100,-0.47076590051083034,LOCALLY_SOLVED,1801.7343611717224
7,105,0.007027148250064119,LOCALLY_SOLVED,1803.328544139862
7,110,-0.1317027297457979,LOCALLY_SOLVED,1801.4793651103973
7,115,-0.062238745855407895,LOCALLY_SOLVED,1802.2500219345093
7,120,-0.6072809376481645,LOCALLY_SOLVED,1803.0498621463776
8,20,-4.583566352912303,LOCALLY_SOLVED,8.285829067230225
8,25,-0.8643503050421497,LOCALLY_SOLVED,59.69978880882263
8,30,-0.05118131328946468,LOCALLY_SOLVED,114.65458106994629
8,35,-0.2284767098871483,LOCALLY_SOLVED,325.61941599845886
8,40,-0.08245600208676551,LOCALLY_SOLVED,729.0759160518646
8,45,-0.9219770199766807,LOCALLY_SOLVED,348.2133409976959
8,50,-0.36310333825155283,LOCALLY_SOLVED,1801.587798833847
8,55,-0.08091483447253767,LOCALLY_SOLVED,1803.1022629737854
8,60,-0.3235613299343774,LOCALLY_SOLVED,1801.788176059723
8,65,-0.3869099249579985,LOCALLY_SOLVED,1801.4942648410797
8,70,-5.652341542753181,LOCALLY_SOLVED,1801.8399782180786
8,75,-0.38477125070530555,LOCALLY_SOLVED,1803.7513868808746
8,80,-1.03101350872515,LOCALLY_SOLVED,1800.920777797699
8,85,-0.286506660721606,LOCALLY_SOLVED,1801.961308002472
8,90,0.051784722263741645,LOCALLY_SOLVED,1803.0873551368713
8,95,-1.5082547516895204,LOCALLY_SOLVED,1800.9590990543365
8,100,-0.05003877682273217,LOCALLY_SOLVED,1805.7214360237122
8,105,-0.03515054640238635,LOCALLY_SOLVED,1802.2529020309448
8,110,-0.407214992704561,LOCALLY_SOLVED,1802.1361429691315
8,115,-0.2871965723730155,LOCALLY_SOLVED,1802.201844215393
8,120,-0.2831476081328304,LOCALLY_SOLVED,1804.1026690006256
9,20,-0.12499351720244478,LOCALLY_SOLVED,57.16354584693909
9,25,-6.706877953414611,LOCALLY_SOLVED,14.379738092422485
9,30,0.14911540708707371,LOCALLY_SOLVED,112.88368487358093
9,35,-0.6529581567927951,LOCALLY_SOLVED,338.55707597732544
9,40,-0.19798643451170306,LOCALLY_SOLVED,762.1084680557251
9,45,-0.3675386195902316,LOCALLY_SOLVED,1802.4503030776978
9,50,-0.2416160648363445,LOCALLY_SOLVED,1802.104719877243
9,55,-0.49295416773466694,LOCALLY_SOLVED,1803.4200811386108
9,60,-0.9140545760019197,LOCALLY_SOLVED,1801.3599290847778
9,65,-0.24290337751971214,LOCALLY_SOLVED,1801.5276401042938
9,70,-0.17251655518120979,LOCALLY_SOLVED,1802.240963935852
9,75,0.02292842932708683,LOCALLY_SOLVED,1802.3601970672607
9,80,-0.4448692991759062,LOCALLY_SOLVED,1801.061056137085
9,85,-0.060584268749157066,LOCALLY_SOLVED,1802.5000519752502
9,90,-0.6144752792355744,LOCALLY_SOLVED,1803.5414590835571
9,95,-0.8188999540683713,LOCALLY_SOLVED,1801.5833790302277
9,100,-0.4003527319402511,LOCALLY_SOLVED,1800.9681351184845
9,105,-0.2782179307604035,LOCALLY_SOLVED,1801.4925711154938
9,110,-0.4055110620597943,LOCALLY_SOLVED,1802.2375831604004
9,115,-0.2912493719666408,LOCALLY_SOLVED,1800.7041509151459
