seed,dimension,var_A,M,time,solution,dual_gap,rel_dual_gap,termination,ncalls
1,10,1,0.1,0.6,0.4839787794388131,8.85646511128435e-8,1.8299287299793733e-7,OPTIMAL,27
1,10,5,0.1,685.729,0.11922551715862784,0.0011771803512582307,0.00997201979371505,OPTIMAL,82084
1,10,1,1.0,2.992,0.4833375449435055,0.004590769864790012,0.00958914002926745,OPTIMAL,745
1,10,5,1.0,1801.948,0.11922551715863781,0.0013393350367359308,0.011361255514670687,Time limit reached,761192
2,10,1,0.1,2.404,0.6202681730603599,0.005052823474101964,0.00821309721465836,OPTIMAL,263
2,10,5,0.1,63.047,0.2506403354067891,0.0024645009549997543,0.00993046305432493,OPTIMAL,9401
2,10,1,1.0,1.584,0.6202681730603544,0.006013319948974694,0.00978961732010008,OPTIMAL,319
2,10,5,1.0,552.251,0.2506403354067879,0.00247961249611664,0.009991961931095798,OPTIMAL,233003
3,10,1,0.1,1.85,0.6177061922885712,0.0058191558948144095,0.009510180063807909,OPTIMAL,249
3,10,5,0.1,68.239,0.25014774592436784,0.0024743026518129763,0.009990181503190488,OPTIMAL,9050
3,10,1,1.0,1.487,0.617706192288567,0.005996069257460657,0.009802141621834412,OPTIMAL,303
3,10,5,1.0,49.688,0.25014774592436145,0.0024492932901853115,0.009888205857315762,OPTIMAL,14550
4,10,1,0.1,1.495,0.6105890503771467,0.005873035754234812,0.009712055927437464,OPTIMAL,240
4,10,5,0.1,74.677,0.2402774497229948,0.0023739499689414134,0.00997862566711134,OPTIMAL,12635
4,10,1,1.0,2.942,0.6105890503771372,0.005272823558114426,0.00871085777069527,OPTIMAL,458
4,10,5,1.0,1811.552,0.24027744972298654,0.005854986946297519,0.024976219757041725,Time limit reached,799817
5,10,1,0.1,1.834,0.6051447637018624,0.005839071861190481,0.009743060913132165,OPTIMAL,232
5,10,5,0.1,189.375,0.22507443416258138,0.0022218774627923155,0.009970168149273104,OPTIMAL,52866
5,10,1,1.0,1.79,0.6051447637018539,0.005545967348523084,0.009249463778534611,OPTIMAL,411
5,10,5,1.0,1833.269,0.2250744339426367,0.003974014151941818,0.01797379740709595,Time limit reached,737001
1,15,1,0.1,4.039,0.5636770554553646,0.005483721349596182,0.009824053808132914,OPTIMAL,259
1,15,5,0.1,301.959,0.18277872952962687,0.001808282492738511,0.009992142487054349,OPTIMAL,27946
1,15,1,1.0,5.494,0.5636770554553544,0.004967709207902016,0.008891401658603752,OPTIMAL,885
1,15,5,1.0,344.327,0.1827787295296217,0.0018042179319149032,0.009969458770666826,OPTIMAL,79154
2,15,1,0.1,6.918,0.6274398534232137,0.0050887253768732155,0.008176614691528777,OPTIMAL,510
2,15,5,0.1,130.216,0.26310590470036016,0.00259434408487913,0.009958652425058482,OPTIMAL,18428
2,15,1,1.0,4.078,0.6274398534232165,0.006093113748072643,0.009806301955102043,OPTIMAL,641
2,15,5,1.0,1802.923,0.26310590655445687,0.003230864892444729,0.012432378545403841,Time limit reached,88959
3,15,1,0.1,3.951,0.6252714289032655,0.006097414715418914,0.009847659261696768,OPTIMAL,314
