seed,num_v,time,solution,termination,calls
1,4,1800.00086,-457.05290067839275,TIME_LIMIT,6315
2,4,1800.210562,-453.3205387849456,TIME_LIMIT,6975
3,4,1800.055167,-445.33357549193335,TIME_LIMIT,5584
1,5,1800.045992,70.2444916260178,TIME_LIMIT,4861
2,5,1800.000777,70.07711007115682,TIME_LIMIT,6238
3,5,1800.022957,70.28614186398303,TIME_LIMIT,4119
1,6,1800.001061,84.3531006657595,TIME_LIMIT,4572
2,6,1800.000509,83.87373906443577,TIME_LIMIT,5189
3,6,1800.04539,84.4379500778529,TIME_LIMIT,4751
1,7,1800.078423,98.35274483417177,TIME_LIMIT,4509
2,7,1800.04079,98.07744023890055,TIME_LIMIT,3537
3,7,1800.000522,98.57079766421789,TIME_LIMIT,3545
1,8,1800.000716,112.57192542510683,TIME_LIMIT,3735
2,8,1800.055211,112.16298208412906,TIME_LIMIT,3072
3,8,1800.000782,112.50181216994034,TIME_LIMIT,3561
