seed,dimension,p,k,Ns,time,lowerBound,upperBound,termination,LMOcalls,openNodes,localTighteings,globalTightenings
2,10,10,5.0,1.0,673.0,-3.415821666061827,5.889620785185256,OPTIMAL,14,2,0,0
2,10,10,5.0,1.0,1315.0,-3.415821666061827,4.970764194359235,OPTIMAL,24,3,0,0
2,10,10,5.0,1.0,1933.0,-3.415821666061827,0.9999999999999999,OPTIMAL,35,4,0,0
2,10,10,5.0,1.0,2578.0,-3.415821666061827,0.9999999999999999,OPTIMAL,53,5,0,0
2,10,10,5.0,1.0,3206.0,-3.083908473466928,0.9999999999999999,OPTIMAL,65,6,0,0
2,10,10,5.0,1.0,3275.0,-3.083908473466928,0.9999999999999999,OPTIMAL,91,7,0,0
2,10,10,5.0,1.0,3880.0,-3.0503010036962643,0.9999999999999999,OPTIMAL,105,8,0,0
2,10,10,5.0,1.0,3944.0,-3.0503010036962643,0.9999999999999999,OPTIMAL,129,9,0,0
2,10,10,5.0,1.0,4552.0,-2.8226105079155928,0.9999999999999999,OPTIMAL,142,10,0,0
2,10,10,5.0,1.0,5182.0,-2.8226105079155928,0.9999999999999999,OPTIMAL,154,11,0,0
2,10,10,5.0,1.0,5795.0,-2.763910269635086,0.9999999999999999,OPTIMAL,165,12,0,0
2,10,10,5.0,1.0,5860.0,-2.763910269635086,0.9999999999999999,OPTIMAL,186,13,0,0
2,10,10,5.0,1.0,6480.0,-2.763910269635086,0.9999999999999999,OPTIMAL,201,14,0,0
2,10,10,5.0,1.0,6525.0,-2.763910269635086,0.9999999999999999,OPTIMAL,218,15,0,0
2,10,10,5.0,1.0,7158.0,-2.763910269635086,0.9999999999999999,OPTIMAL,229,16,0,0
2,10,10,5.0,1.0,7793.0,-2.763910269635086,0.9999999999999999,OPTIMAL,243,17,0,0
2,10,10,5.0,1.0,8561.0,-2.763910269635086,0.9999999999999999,OPTIMAL,257,18,0,0
2,10,10,5.0,1.0,9209.0,-2.763910269635086,0.9999999999999999,OPTIMAL,265,19,0,0
2,10,10,5.0,1.0,9853.0,-2.763910269635086,0.9999999999999999,OPTIMAL,281,20,0,0
2,10,10,5.0,1.0,9932.0,-2.763910269635086,0.9999999999999999,OPTIMAL,313,21,0,0
2,10,10,5.0,1.0,10090.0,-2.7572747050244746,0.9999999999999999,OPTIMAL,345,22,0,0
2,10,10,5.0,1.0,10813.0,-2.7572747050244746,0.9999999999999999,OPTIMAL,407,23,0,0
2,10,10,5.0,1.0,10870.0,-2.714767034324427,-2.04377709597345,OPTIMAL,432,14,0,0
2,10,10,5.0,1.0,11181.0,-2.714767034324427,-2.04377709597345,OPTIMAL,487,15,0,0
2,10,10,5.0,1.0,11838.0,-2.6887696600461437,-2.04377709597345,OPTIMAL,522,16,0,0
2,10,10,5.0,1.0,11869.0,-2.6887696600461437,-2.04377709597345,OPTIMAL,532,15,0,0
2,10,10,5.0,1.0,12505.0,-2.6887696600461437,-2.04377709597345,OPTIMAL,543,16,0,0
2,10,10,5.0,1.0,12571.0,-2.6887696600461437,-2.04377709597345,OPTIMAL,567,17,0,0
2,10,10,5.0,1.0,13189.0,-2.561166642045874,-2.04377709597345,OPTIMAL,584,18,0,0
2,10,10,5.0,1.0,13839.0,-2.561166642045874,-2.04377709597345,OPTIMAL,614,19,0,0
2,10,10,5.0,1.0,13882.0,-2.5478860073804377,-2.04377709597345,OPTIMAL,633,18,0,0
2,10,10,5.0,1.0,13998.0,-2.5478860073804377,-2.04377709597345,OPTIMAL,663,19,0,0
2,10,10,5.0,1.0,14630.0,-2.5478860073804377,-2.04377709597345,OPTIMAL,674,20,0,0
2,10,10,5.0,1.0,14677.0,-2.5478860073804377,-2.04377709597345,OPTIMAL,693,19,0,0
2,10,10,5.0,1.0,15312.0,-2.430831917901499,-2.04377709597345,OPTIMAL,719,20,0,0
2,10,10,5.0,1.0,15946.0,-2.430831917901499,-2.04377709597345,OPTIMAL,727,21,0,0
2,10,10,5.0,1.0,15972.0,-2.430831917901499,-2.04377709597345,OPTIMAL,739,20,0,0
2,10,10,5.0,1.0,16612.0,-2.430831917901499,-2.04377709597345,OPTIMAL,758,21,0,0
2,10,10,5.0,1.0,16633.0,-2.305882755863635,-2.04377709597345,OPTIMAL,767,20,0,0
2,10,10,5.0,1.0,16770.0,-2.305882755863635,-2.04377709597345,OPTIMAL,799,21,0,0
2,10,10,5.0,1.0,16789.0,-2.2080994400630685,-2.04377709597345,OPTIMAL,807,20,0,0
2,10,10,5.0,1.0,17390.0,-2.2080994400630685,-2.04377709597345,OPTIMAL,819,21,0,0
