seed,dimension,min_number_lower,adaptive_gap,iteration,time,memory,lb,ub,list_time,list_num_nodes,list_lmo_calls,active_set_size,discarded_set_size,node_level
30,40,Inf,0.8,69,4279.0,994332312,1619.0171312929313,1731.0505722623268,313.0,3,49,7,5,1
30,40,Inf,0.8,69,4279.0,994332312,1619.0171312929313,1731.0505722623268,531.0,5,78,11,6,2
30,40,Inf,0.8,69,4279.0,994332312,1632.3191676986664,1731.0505722623268,770.0,7,105,17,8,2
30,40,Inf,0.8,69,4279.0,994332312,1632.3191676986664,1731.0505722623268,958.0,9,123,5,0,3
30,40,Inf,0.8,69,4279.0,994332312,1633.8011585695394,1731.0505722623268,1041.0,9,148,15,5,3
30,40,Inf,0.8,69,4279.0,994332312,1633.8011585695394,1731.0505722623268,1075.0,9,162,9,3,4
30,40,Inf,0.8,69,4279.0,994332312,1634.30806066431,1731.0505722623268,1229.0,11,174,17,7,4
30,40,Inf,0.8,69,4279.0,994332312,1634.30806066431,1731.0505722623268,1309.0,13,188,17,6,5
30,40,Inf,0.8,69,4279.0,994332312,1634.612582310855,1731.0505722623268,1475.0,15,217,14,3,5
30,40,Inf,0.8,69,4279.0,994332312,1634.612582310855,1731.0505722623268,1556.0,17,227,7,7,6
30,40,Inf,0.8,69,4279.0,994332312,1646.429712485716,1731.0505722623268,1668.0,19,257,14,3,6
30,40,Inf,0.8,69,4279.0,994332312,1646.429712485716,1731.0505722623268,1774.0,21,274,6,5,7
30,40,Inf,0.8,69,4279.0,994332312,1655.6944844476502,1731.0505722623268,1825.0,23,290,10,4,7
30,40,Inf,0.8,69,4279.0,994332312,1655.6944844476502,1731.0505722623268,1900.0,25,308,9,6,8
30,40,Inf,0.8,69,4279.0,994332312,1657.1854176228646,1731.0505722623268,1919.0,25,317,6,3,8
30,40,Inf,0.8,69,4279.0,994332312,1657.1854176228646,1731.0505722623268,2003.0,27,334,7,9,9
30,40,Inf,0.8,69,4279.0,994332312,1659.9215997707759,1731.0505722623268,2070.0,29,354,5,0,9
30,40,Inf,0.8,69,4279.0,994332312,1659.9215997707759,1731.0505722623268,2339.0,31,370,11,7,3
30,40,Inf,0.8,69,4279.0,994332312,1672.8317912153393,1731.0505722623268,2569.0,33,400,6,1,3
30,40,Inf,0.8,69,4279.0,994332312,1672.8317912153393,1731.0505722623268,2623.0,35,408,5,6,10
30,40,Inf,0.8,69,4279.0,994332312,1674.1823020409577,1731.0505722623268,2638.0,35,415,4,2,10
30,40,Inf,0.8,69,4279.0,994332312,1674.1823020409577,1731.0505722623268,2655.0,35,422,8,7,11
30,40,Inf,0.8,69,4279.0,994332312,1675.5927131600974,1731.0505722623268,2680.0,37,431,5,3,11
30,40,Inf,0.8,69,4279.0,994332312,1675.5927131600974,1731.0505722623268,2708.0,39,442,4,2,12
