dimension,time_boscia,seed,solution_boscia,dual_gap,lb_boscia,rel_gap_boscia,termination_boscia,termination_afw,time_afw,rel_gap_afw,termination_no_ws,time_no_ws,rel_gap_no_ws,termination_ipopt,time_ipopt,solution_ipopt,termination_no_as,time_no_as,rel_gap_no_as,termination_no_ss,time_no_ss,rel_gap_no_ss,termination_pavito,time_pavito,solution_pavito,termination_shot,time_shot,solution_shot,termination_scip,time_scip,solution_scip,optimal_scip,optimal_ipopt,optimal_boscia,optimal_pavito,optimal_shot,rel_gap_scip,rel_gap_ipopt,rel_gap_pavito
20,1.581,1,-2.788680801094718,0.01864180827945905,-2.807322609374177,0.006684812500642262,1,1,2.362,0.007156954821640118,1,2.647,0.0064570175202458375,1,5.216,-2.7886808010956603,1,1.724,0.004366153514617915,1,1.426,0.006561479097807467,1,15.501285076141357,-2.788680625604793,1,9.831553936004639,-2.7886808010947486,1,11.474982,-2.7886805750186174,1,1,1,1,1,0.007,0.007,0.007
20,1.062,3,-1.0930084722455629,0.009767933446556576,-1.1027764056921194,0.008936740834669436,1,1,1.955,3.504327682821643e-6,1,9.306,0.009366626015002053,1,0.311,-1.0930085078854548,1,2.226,3.5937088059627542e-6,1,1.028,0.0089907303731234,1,34.48620820045471,-1.0930081565247134,1,26.754017114639282,-1.0930084722335707,1,6.681652,-1.0930081733746682,1,1,1,1,1,0.009,0.009,0.009
20,1.367,4,-0.9606330568487316,1.402659291382946e-6,-0.960634459508023,1.460140561875146e-6,1,1,1.536,0.003422677552678471,1,1.512,1.460140561875146e-6,1,0.213,-0.9606330683055678,1,1.686,1.460140561875146e-6,1,1.166,1.460140561875146e-6,0,8.611985921859741,-0.643816883710821,1,14.988726139068604,-0.9606330568392063,1,1.433983,-0.9606325786277106,1,1,1,0,1,0.0,0.0,0.492
20,4.391,5,-0.6133478018418748,0.0009651994456225665,-0.6143130012874973,0.0015736576257778805,1,1,6.505,0.002331079103360278,1,10.723,0.002511126583105877,1,0.223,-0.6133478714558604,1,4.772,0.0016072457606689354,1,4.077,0.001069995106382474,0,9.767294883728027,-0.1886290127963584,1,27.50935411453247,-0.6133478018441698,1,4.064802,-0.6133474120630069,1,1,1,0,1,0.002,0.002,2.257
20,0.507,6,0.16297348338544582,0.0006554019629042562,0.16231808142254156,0.004037763120167331,1,1,0.603,0.0056866983263170875,1,0.829,0.003254624296606283,1,0.104,0.16297346246823602,1,0.726,0.004136901210996914,1,0.521,0.004014952820314202,1,7.698803901672363,0.16297384442832774,1,12.306498050689697,0.16297348340972206,1,1.045884,0.16297352340630034,1,1,1,1,1,0.004,0.004,0.004
20,0.402,7,-1.809585966009454,0.011802078990915232,-1.8213880450003692,0.006521977520051995,1,1,0.49,0.0054808677222621255,1,0.541,0.0065480301025774455,1,0.094,-1.8095859945333705,1,0.534,0.0065480301025774455,1,0.406,0.004718073673851405,1,7.715452194213867,-1.8095856741626855,1,9.16897201538086,-1.8095859659900877,1,2.571195,-1.8095856112971163,1,1,1,1,1,0.007,0.007,0.007
20,0.676,8,-4.583566352912145,0.02873877711445516,-4.6123051300266,0.006269959874410049,1,1,0.767,0.006485643813972552,1,0.859,0.006588326880979401,1,0.152,-4.583566405742001,1,0.871,0.006588326880979401,1,0.617,0.006269959874410049,1,11.518038034439087,-4.583566107903615,1,8.285829067230225,-4.583566352912303,1,7.209894,-4.583566201604261,1,1,1,1,1,0.006,0.006,0.006
20,1.478,9,-0.12499674696557123,3.008747845312243e-8,-0.12499677705304968,2.407060918266109e-7,1,1,1.082,7.476643380947146e-7,1,1.203,2.407060918266109e-7,1,0.088,-0.12499673781731563,1,1.071,2.407060918266109e-7,1,0.763,2.407060918266109e-7,1,10.700001955032349,-0.12499609804119388,1,57.16354584693909,-0.12499351720244478,1,2.461392,-0.12499643216414741,1,1,1,1,1,0.0,0.0,0.0
20,0.833,10,-0.06546891747606043,5.661448343463604e-8,-0.06546897409054386,8.647536207596204e-7,1,1,1.492,8.886681573850609e-7,1,6.643,8.647536207596204e-7,1,0.107,-0.0654689241188135,1,1.171,8.647536207596204e-7,1,0.85,8.647536207596204e-7,0,8.967144966125488,-0.06546874729813257,1,31.625636100769043,-0.06546727075492664,1,4.564236,-0.06546878414305146,1,1,1,1,1,0.0,0.0,0.0
25,0.679,1,-0.056754710159236055,6.561672183380551e-8,-0.05675477577595789,1.1561458361729875e-6,1,1,0.795,1.289150716356268e-6,1,2.13,1.1561458361729875e-6,1,0.118,-0.05675472196237932,1,1.257,1.1561458361729875e-6,1,0.716,1.1561458361729875e-6,0,8.296436071395874,-0.056754535156572083,1,97.40761113166809,-0.05675471015962996,1,4.8027999999999995,-0.0567543516213731,1,1,1,1,1,0.0,0.0,0.0
25,0.819,2,-0.05242252403556785,6.919341394295841e-8,-0.052422593228981795,1.3199176349466077e-6,1,1,0.929,1.8467779383900441e-6,1,1.763,1.7434434056707795e-6,1,0.103,-0.05242254708296364,1,1.432,1.7434434056707795e-6,1,0.792,1.3199176349466077e-6,0,12.10892915725708,-0.052422429143102744,1,77.21796202659607,-0.0524225240100884,1,5.067113,-0.05242230995540542,1,1,1,1,1,0.0,0.0,0.0
25,1.201,3,-0.3257666873980312,3.56118259881022e-8,-0.3257667230098572,1.0931696630045734e-7,1,1,1.353,1.960070657229823e-7,1,2.118,1.0931696630045734e-7,1,0.123,-0.3257666980146758,1,1.74,1.0931696630045734e-7,1,1.309,1.0931696630045734e-7,1,7.568922996520996,-0.32576633483840095,1,32.486000061035156,-0.3257666873872638,1,7.079324,-0.32576664250039766,1,1,1,1,1,0.0,0.0,0.0
25,1.353,4,-0.037834835755681195,7.808453078572697e-8,-0.03783491384021198,2.0638263448520977e-6,1,1,1.343,3.312558692576774e-6,1,2.492,2.0638263448520977e-6,1,0.137,-0.03783485352467451,1,2.201,2.0638263448520977e-6,1,1.311,2.0638263448520977e-6,0,10.817753791809082,-0.0378345834324878,1,99.5471260547638,-0.037829829117190295,1,10.584679,-0.03783447891581515,1,1,1,1,1,0.0,0.0,0.0
25,10.894,5,-8.811578502600085,0.053683740835865024,-8.86526224343595,0.006092409075175832,1,1,24.276,0.0040605451366710855,1,12.627,0.0059485934257995626,1,1.037,-8.81157868168202,1,18.786,0.006054305787141264,1,10.0,0.0060136004402150285,1,418.33943009376526,-8.811578058964486,1,17.030846118927002,-8.811578503390269,1,68.710618,-8.811578216278093,1,1,1,1,1,0.006,0.006,0.006
25,2.588,6,-3.5946033711915666,0.016289511194718997,-3.6108928823862856,0.00453165746331541,1,1,4.852,0.004596361797187956,1,3.309,0.004527299852493306,1,0.247,-3.594603577622084,1,3.33,0.00451077918347688,1,2.477,0.004409403349695073,1,17.715687036514282,-3.5946030469959247,1,17.81372308731079,-3.5946033711918153,1,27.458526,-3.594603104720272,1,1,1,1,1,0.005,0.005,0.005
25,2.227,8,-0.864354986409587,0.00010446858558266214,-0.8644594549951696,0.00012086305652797867,1,1,2.305,0.0003079943181228979,1,2.36,0.00012086305652797867,1,0.122,-0.8643550364001742,1,2.4,0.00012086305652797867,1,1.869,0.00882039886796657,1,12.755503177642822,-0.8643548966325021,1,59.69978880882263,-0.8643503050421497,1,8.883605,-0.8643547378583163,1,1,1,1,1,0.0,0.0,0.0
25,7.775,9,-6.706877953427845,0.046498292775141614,-6.753376246202986,0.006932926631142381,1,1,6.851,0.006866965776356542,1,3.11,0.006880943520730396,1,0.431,-6.706878087227284,1,3.204,0.006699857352164526,1,2.889,0.006752890486548479,1,30.660918951034546,-6.706877472061321,1,14.379738092422485,-6.706877953414611,1,16.656595,-6.706877594059943,1,1,1,1,1,0.007,0.007,0.007
30,2.203,1,-0.20202033795867702,0.001631795144581366,-0.2036521331032584,0.008077380530445145,1,1,3.076,0.007346854596146085,1,4.298,0.007402458505967597,1,0.203,-0.20202034192664428,1,3.68,0.008330586639885123,1,2.599,0.008622033195905935,0,8.93566608428955,-0.20201990004058262,1,160.6406970024109,-0.20201708243408806,1,67.713434,-0.2020199615399998,1,1,1,1,1,0.008,0.008,0.008
30,2.293,2,-0.4074096577413478,1.4167644593610085e-6,-0.40741107450580716,3.4774935557872068e-6,1,1,4.33,0.008902559747765758,1,3.98,3.4774935557872068e-6,1,0.197,-0.40740965338034163,1,3.78,0.009162897342829551,1,2.258,3.4774935557872068e-6,1,8.353474140167236,-0.4074093789853941,1,149.91217184066772,-0.4074096577267618,1,32.65584,-0.40740925823955765,1,1,1,1,1,0.0,0.0,0.0
30,1.344,3,-0.3347694613150489,0.0010684962976333923,-0.3358379576126823,0.003191737661601811,1,1,2.032,4.119131171804838e-6,1,2.76,0.0016270040733965816,1,0.173,-0.33476946163721,1,2.224,0.0018006317260386702,1,1.32,0.002359482741835455,1,9.728081941604614,-0.33476917159252995,1,214.25378704071045,-0.334769461297642,1,14.826258,-0.3347691117594722,1,1,1,1,1,0.003,0.003,0.003
