seed,dimension,p,k,Ns,time,solution,dual_gap,rel_dual_gap,termination,ncalls
1,50,50,25.0,0.1,0.023,-222.7156054633275,0.0,0.0,OPTIMAL,3
1,50,50,25.0,1.0,15.057,-822.5641841736393,5.312961093295598e-6,6.459023132198591e-9,OPTIMAL,259
1,50,50,25.0,5.0,9.837,-549.6032135211486,6.045797817932907e-8,1.1000295611809166e-10,OPTIMAL,121
1,50,50,25.0,10.0,9.611,-534.5650566964625,1.3708017831959296e-7,2.5643310688268576e-10,OPTIMAL,111
2,50,50,25.0,0.1,0.015,-302.01535887823866,0.0,0.0,OPTIMAL,3
2,50,50,25.0,1.0,19.472,-1102.989873442326,1.0725307220127434e-7,9.723849219625902e-11,OPTIMAL,289
2,50,50,25.0,5.0,6.717,-799.3142630280256,5.546928605326684e-8,6.939609189899064e-11,OPTIMAL,100
2,50,50,25.0,10.0,9.618,-833.0086184042991,8.543952390027698e-8,1.0256739487755105e-10,OPTIMAL,99
3,50,50,25.0,0.1,0.015,-853.8272777602954,0.0,0.0,OPTIMAL,3
3,50,50,25.0,1.0,24.297,-2885.987142868843,0.05981071693076956,2.072452646871952e-5,OPTIMAL,284
3,50,50,25.0,5.0,6.733,-1897.747076889649,1.8224227460450493e-8,9.603085512490663e-12,OPTIMAL,86
3,50,50,25.0,10.0,3.387,-1850.7434014773896,3.01504314847989e-8,1.6290984185452596e-11,OPTIMAL,57
4,50,50,25.0,0.1,0.016,-773.7579916614262,0.0,0.0,OPTIMAL,3
4,50,50,25.0,1.0,184.777,-2688.999480878932,0.005363212429983832,1.994501102778496e-6,OPTIMAL,3321
4,50,50,25.0,5.0,6.682,-1745.7362015036924,6.261097951210104e-8,3.586508629320454e-11,OPTIMAL,106
4,50,50,25.0,10.0,9.448,-1925.6024525443881,1.1729480320354924e-7,6.091330172983637e-11,OPTIMAL,102
5,50,50,25.0,0.1,0.016,-37.879343832756625,0.0,0.0,OPTIMAL,3
5,50,50,25.0,1.0,1801.392,-96.48812832567356,5.476970897122513,0.056763158247160245,Time limit reached,91495
5,50,50,25.0,5.0,6.292,-65.7583839787302,8.044935384532437e-8,1.2234083165934556e-9,OPTIMAL,139
5,50,50,25.0,10.0,7.734,-55.13767504838153,1.1893244078464704e-7,2.1570086275906202e-9,OPTIMAL,97
6,50,50,25.0,0.1,0.015,-101.22956851891348,0.0,0.0,OPTIMAL,3
6,50,50,25.0,1.0,34.193,-448.74605159866564,2.880246370295936e-7,6.418432786283038e-10,OPTIMAL,1565
6,50,50,25.0,5.0,5.621,-341.50549163876883,1.3187388958613155e-8,3.8615452112735744e-11,OPTIMAL,184
6,50,50,25.0,10.0,7.832,-342.78333594484496,1.6008527836675057e-7,4.670159298306988e-10,OPTIMAL,195
7,50,50,25.0,0.1,0.016,-541.6138774625181,0.0,0.0,OPTIMAL,3
7,50,50,25.0,1.0,163.353,-1826.858254679334,0.0006671437731711194,3.651863911511965e-7,OPTIMAL,2635
7,50,50,25.0,5.0,5.603,-1168.2271316595854,8.828078534861561e-8,7.556816902822979e-11,OPTIMAL,90
7,50,50,25.0,10.0,5.636,-1203.3672381567078,8.134156814776361e-8,6.7594966497809e-11,OPTIMAL,80
8,50,50,25.0,0.1,0.016,-511.98607096648544,0.0,0.0,OPTIMAL,3
8,50,50,25.0,1.0,4.674,-1949.752929599034,8.282404451165348e-8,4.247925121912048e-11,OPTIMAL,69
8,50,50,25.0,5.0,5.735,-1594.0510966893507,3.63875187758822e-8,2.2827071761660983e-11,OPTIMAL,125
8,50,50,25.0,10.0,5.092,-1639.9822837975871,4.045386958750896e-8,2.4667260120537944e-11,OPTIMAL,53
9,50,50,25.0,0.1,0.016,-102.22410050053469,0.0,0.0,OPTIMAL,3
9,50,50,25.0,1.0,1147.31,-245.38673433695146,0.1350814123535713,0.0005504837607402403,OPTIMAL,32104
9,50,50,25.0,5.0,5.756,-153.72475837451884,3.04579828025453e-8,1.9813322931587036e-10,OPTIMAL,95
9,50,50,25.0,10.0,5.747,-151.15479397739122,1.254119297300349e-8,8.29692042376064e-11,OPTIMAL,98
10,50,50,25.0,0.1,0.014,-21.262779980770613,0.0,0.0,OPTIMAL,3
10,50,50,25.0,1.0,1802.488,-16.956704951916898,35.91816279741247,2.1182277393670192,Time limit reached,148547
10,50,50,25.0,5.0,3.948,-30.174272472610788,2.500635787328065e-8,8.287310952063199e-10,OPTIMAL,145
10,50,50,25.0,10.0,4.51,-29.94973060112961,7.286532266448376e-8,2.4329208043606077e-9,OPTIMAL,142
1,70,70,35.0,0.1,0.02,-2797.8213805446567,0.0,0.0,OPTIMAL,3
1,70,70,35.0,1.0,986.267,-7209.65033391058,0.11140861221429077,1.5452706727021215e-5,OPTIMAL,6254
