seed,dimension,iteration,time,memory,lb,ub,list_time,list_num_nodes,list_lmo_calls,active_set_size,discarded_set_size
2,150,89,1.820352e6,441037523936,-0.023006308362589406,1.9824178994524133,38902.0,3,49,8,2
2,150,89,1.820352e6,441037523936,-0.023006308362589406,1.9824178994524133,78157.0,5,121,12,3
2,150,89,1.820352e6,441037523936,-0.014495225334974098,1.7319122662667348,117054.0,7,188,14,4
2,150,89,1.820352e6,441037523936,-0.014495225334974098,1.7319122662667348,166488.0,9,246,15,4
2,150,89,1.820352e6,441037523936,-0.011174594318448968,1.7319122662667348,207412.0,11,306,19,3
2,150,89,1.820352e6,441037523936,-0.011174594318448968,1.7021862796506062,246466.0,13,373,21,2
2,150,89,1.820352e6,441037523936,-0.011050944529629144,1.6260040479481428,285380.0,15,429,16,4
2,150,89,1.820352e6,441037523936,-0.011050944529629144,1.6260040479481428,319847.0,17,496,17,3
2,150,89,1.820352e6,441037523936,-0.011050944529629144,1.6260040479481428,358885.0,19,552,19,0
2,150,89,1.820352e6,441037523936,-0.011050944529629144,1.544013521741263,397996.0,21,621,20,2
2,150,89,1.820352e6,441037523936,-0.008703852665539996,1.544013521741263,436951.0,23,696,23,1
2,150,89,1.820352e6,441037523936,-0.008703852665539996,1.4023749188631243,476010.0,25,764,23,2
2,150,89,1.820352e6,441037523936,-0.008703852665539996,1.4023749188631243,514960.0,27,821,15,3
2,150,89,1.820352e6,441037523936,-0.008703852665539996,1.4023749188631243,554045.0,29,893,16,3
2,150,89,1.820352e6,441037523936,-0.008659851986950504,1.4023749188631243,592943.0,31,947,17,1
2,150,89,1.820352e6,441037523936,-0.008659851986950504,1.4023749188631243,631894.0,33,1002,17,5
2,150,89,1.820352e6,441037523936,-0.008591735903147987,1.4023749188631243,670749.0,35,1067,21,4
2,150,89,1.820352e6,441037523936,-0.008591735903147987,1.4023749188631243,709804.0,37,1135,14,4
2,150,89,1.820352e6,441037523936,-0.008591735903147987,1.4023749188631243,748803.0,39,1198,19,3
2,150,89,1.820352e6,441037523936,-0.008591735903147987,1.4023749188631243,787839.0,41,1267,17,6
2,150,89,1.820352e6,441037523936,-0.008354547655810712,1.4023749188631243,826850.0,43,1330,24,5
2,150,89,1.820352e6,441037523936,-0.008354547655810712,1.4023749188631243,865932.0,45,1398,24,6
2,150,89,1.820352e6,441037523936,-0.008189693539330124,1.4023749188631243,904901.0,47,1473,20,3
2,150,89,1.820352e6,441037523936,-0.008189693539330124,1.4023749188631243,944104.0,49,1541,16,3
2,150,89,1.820352e6,441037523936,-0.008149641355109248,1.4023749188631243,983207.0,51,1608,18,3
2,150,89,1.820352e6,441037523936,-0.008149641355109248,1.4023749188631243,1.023431e6,53,1669,15,3
2,150,89,1.820352e6,441037523936,-0.008149641355109248,1.4023749188631243,1.070214e6,55,1728,16,10
2,150,89,1.820352e6,441037523936,-0.008149641355109248,1.4023749188631243,1.112598e6,57,1792,19,4
2,150,89,1.820352e6,441037523936,-0.008059699650874023,1.4023749188631243,1.158904e6,59,1869,20,6
2,150,89,1.820352e6,441037523936,-0.008059699650874023,1.4023749188631243,1.210726e6,61,1940,24,4
2,150,89,1.820352e6,441037523936,-0.008059699650874023,1.4023749188631243,1.27852e6,63,2000,21,4
2,150,89,1.820352e6,441037523936,-0.008059699650874023,1.4023749188631243,1.349749e6,65,2056,20,5
2,150,89,1.820352e6,441037523936,-0.007938093242361522,1.4023749188631243,1.390502e6,67,2120,18,3
2,150,89,1.820352e6,441037523936,-0.007938093242361522,1.4023749188631243,1.429403e6,69,2179,19,2
2,150,89,1.820352e6,441037523936,-0.007633776088176945,1.4023749188631243,1.468581e6,71,2249,22,4
2,150,89,1.820352e6,441037523936,-0.007633776088176945,1.4023749188631243,1.507695e6,73,2314,19,2
2,150,89,1.820352e6,441037523936,-0.007584848950816326,1.4023749188631243,1.546873e6,75,2384,16,1
2,150,89,1.820352e6,441037523936,-0.007584848950816326,1.4023749188631243,1.586024e6,77,2445,23,3
2,150,89,1.820352e6,441037523936,-0.007584848950816326,1.4023749188631243,1.624945e6,79,2507,16,1
2,150,89,1.820352e6,441037523936,-0.007584848950816326,1.4023749188631243,1.663939e6,81,2562,23,5
2,150,89,1.820352e6,441037523936,-0.007584848950816326,1.4023749188631243,1.703066e6,83,2629,18,6
2,150,89,1.820352e6,441037523936,-0.007584848950816326,1.4023749188631243,1.74222e6,85,2698,20,7
2,150,89,1.820352e6,441037523936,-0.007584848950816326,1.4023749188631243,1.781337e6,87,2763,17,3
2,150,89,1.820352e6,441037523936,-0.007584848950816326,1.4023749188631243,1.820352e6,89,2834,17,4
