seed,num_v,time,lowerBound,upperBound,termination,LMOcalls
1,8,183.0,-4.9066186235985025,-2.737265394412579,Time limit reached,45
1,8,337.0,-4.9066186235985025,-2.737265394412579,Time limit reached,85
1,8,485.0,-4.740135841889576,-2.737295481341528,Time limit reached,120
1,8,654.0,-4.740135841889576,-2.737295481341528,Time limit reached,164
1,8,830.0,-4.731701849579824,-2.737295481341528,Time limit reached,205
1,8,979.0,-4.731701849579824,-2.737295481341528,Time limit reached,247
1,8,1119.0,-4.577726741606455,-2.737295481341528,Time limit reached,283
1,8,1313.0,-4.577726741606455,-2.737295481341528,Time limit reached,323
1,8,1509.0,-4.569009367811576,-2.737295481341528,Time limit reached,366
1,8,1661.0,-4.569009367811576,-2.737295481341528,Time limit reached,402
1,8,1843.0,-4.561920003536535,-2.737295481341528,Time limit reached,442
1,8,1989.0,-4.561920003536535,-2.737295481341528,Time limit reached,485
1,8,2153.0,-4.5524328267357745,-2.737295481341528,Time limit reached,522
1,8,2291.0,-4.5524328267357745,-2.737295481341528,Time limit reached,559
1,8,2452.0,-4.432504976293316,-2.737295481341528,Time limit reached,601
1,8,2623.0,-4.432504976293316,-2.737295481341528,Time limit reached,641
1,8,2761.0,-4.423584602604377,-2.737297271447811,Time limit reached,678
1,8,2935.0,-4.423584602604377,-2.737297271447811,Time limit reached,718
1,8,3089.0,-4.415222748715849,-2.737297271447811,Time limit reached,756
1,8,3260.0,-4.415222748715849,-2.737297271447811,Time limit reached,795
1,8,3383.0,-4.406389983483346,-2.737297271447811,Time limit reached,828
1,8,3553.0,-4.406389983483346,-2.737297271447811,Time limit reached,868
1,8,3719.0,-4.3808651999388575,-2.737297271447811,Time limit reached,908
1,8,3865.0,-4.3808651999388575,-2.737297271447811,Time limit reached,950
1,8,4031.0,-4.3724958113789425,-2.737297271447811,Time limit reached,989
1,8,4179.0,-4.3724958113789425,-2.737297271447811,Time limit reached,1027
1,8,4369.0,-4.365593218479348,-2.737297271447811,Time limit reached,1071
1,8,4523.0,-4.365593218479348,-2.737297271447811,Time limit reached,1111
1,8,4710.0,-4.3547593874070385,-2.737297271447811,Time limit reached,1154
1,8,4849.0,-4.3547593874070385,-2.737297271447811,Time limit reached,1193
1,8,5049.0,-4.288596946530505,-2.737297271447811,Time limit reached,1238
1,8,5220.0,-4.288596946530505,-2.737297271447811,Time limit reached,1285
1,8,5417.0,-4.278666341175946,-2.737297271447811,Time limit reached,1332
1,8,5613.0,-4.278666341175946,-2.737297271447811,Time limit reached,1377
1,8,5785.0,-4.2712638015007025,-2.737297271447811,Time limit reached,1419
1,8,5958.0,-4.2712638015007025,-2.737297271447811,Time limit reached,1461
1,8,6122.0,-4.262982247999719,-2.737297271447811,Time limit reached,1504
1,8,6261.0,-4.262982247999719,-2.737297271447811,Time limit reached,1541
1,8,6396.0,-4.237891384005628,-2.737297271447811,Time limit reached,1574
1,8,6555.0,-4.237891384005628,-2.737297271447811,Time limit reached,1613
1,8,6739.0,-4.235260674335557,-2.737297271447811,Time limit reached,1657
1,8,6895.0,-4.235260674335557,-2.737297271447811,Time limit reached,1700
1,8,7100.0,-4.227913014980599,-2.737297271447811,Time limit reached,1745
1,8,7282.0,-4.227913014980599,-2.737297271447811,Time limit reached,1784
1,8,7448.0,-4.225059869731082,-2.737297271447811,Time limit reached,1828
1,8,7615.0,-4.225059869731082,-2.737297271447811,Time limit reached,1865
1,8,7773.0,-4.219746633078157,-2.737297271447811,Time limit reached,1906
1,8,7972.0,-4.219746633078157,-2.737297271447811,Time limit reached,1951
1,8,8138.0,-4.217164753437845,-2.737297271447811,Time limit reached,1993
1,8,8331.0,-4.217164753437845,-2.737297271447811,Time limit reached,2041
1,8,8510.0,-4.211037827470966,-2.737297271447811,Time limit reached,2086
1,8,8676.0,-4.211037827470966,-2.737297271447811,Time limit reached,2128
1,8,8812.0,-4.209119155657561,-2.737297271447811,Time limit reached,2163
1,8,8981.0,-4.209119155657561,-2.737297271447811,Time limit reached,2203
1,8,9125.0,-4.183458078831319,-2.737297271447811,Time limit reached,2244
1,8,9305.0,-4.183458078831319,-2.737297271447811,Time limit reached,2286
1,8,9460.0,-4.174308409133512,-2.737297271447811,Time limit reached,2328
1,8,9626.0,-4.174308409133512,-2.737297271447811,Time limit reached,2363
1,8,9791.0,-4.166913231832543,-2.737297271447811,Time limit reached,2406
1,8,9940.0,-4.166913231832543,-2.737297271447811,Time limit reached,2446
1,8,10136.0,-4.157348872669926,-2.737297271447811,Time limit reached,2490
1,8,10311.0,-4.157348872669926,-2.737297271447811,Time limit reached,2530
1,8,10435.0,-4.150694935743211,-2.737297271447811,Time limit reached,2569
1,8,10641.0,-4.150694935743211,-2.737297271447811,Time limit reached,2614
1,8,10788.0,-4.139995285920583,-2.737297271447811,Time limit reached,2656
1,8,10983.0,-4.139995285920583,-2.737297271447811,Time limit reached,2700
1,8,11191.0,-4.133661854819754,-2.737297271447811,Time limit reached,2750
1,8,11340.0,-4.133661854819754,-2.737297271447811,Time limit reached,2782
1,8,11522.0,-4.123527117086714,-2.737297271447811,Time limit reached,2827
1,8,11684.0,-4.123527117086714,-2.737297271447811,Time limit reached,2865
1,8,11823.0,-4.0982798295923475,-2.737297271447811,Time limit reached,2905
1,8,11967.0,-4.0982798295923475,-2.737297271447811,Time limit reached,2941
1,8,12130.0,-4.096464524875437,-2.737297271447811,Time limit reached,2984
1,8,12261.0,-4.096464524875437,-2.737297271447811,Time limit reached,3018
1,8,12439.0,-4.089359739105617,-2.737297271447811,Time limit reached,3060
1,8,12625.0,-4.089359739105617,-2.737297271447811,Time limit reached,3102
1,8,12770.0,-4.086758700313254,-2.737297271447811,Time limit reached,3137
1,8,12930.0,-4.086758700313254,-2.737297271447811,Time limit reached,3172
1,8,13102.0,-4.085612310847339,-2.737297271447811,Time limit reached,3222
1,8,13259.0,-4.085612310847339,-2.737297271447811,Time limit reached,3260
1,8,13450.0,-4.081825127616419,-2.737297271447811,Time limit reached,3305
1,8,13596.0,-4.081825127616419,-2.737297271447811,Time limit reached,3339
1,8,13796.0,-4.079380284594194,-2.737297271447811,Time limit reached,3387
1,8,13973.0,-4.079380284594194,-2.737297271447811,Time limit reached,3426
