dimension,time_boscia,solution_boscia,seed,p,k,Ns,termination_boscia,termination_afw,time_afw,termination_no_ws,time_no_ws,termination_no_as,time_no_as,termination_no_ss,time_no_ss,termination_ipopt,time_ipopt,solution_ipopt,termination_scip,time_scip,solution_scip,optimal_scip,optimal_ipopt,optimal_boscia
50,7.49,-32.360821263858696,10,50,25.0,10.0,1,1,26.935,1,7.567,1,7.349,1,7.003,0,1.800048e6,-49.32754834411033,1,1800,Inf,0,1,0
70,2.75,-2797.8213805446567,1,70,35.0,0.1,1,1,0.03,1,0.019,1,0.023,1,0.023,1,207.0,-2797.821748628236,1,0.009597999999999999,-2797.8213805446567,0,1,0
70,1804.873,-6897.271630564258,1,70,35.0,1.0,0,0,1804.786,0,1803.74,1,111.85,0,1810.528,0,1.800013e6,Inf,1,0.009932,1.3097760596424778e18,0,0,1
70,17.611,-4676.766159980589,1,70,35.0,10.0,1,1,23.8,1,6.944,1,8.374,1,16.843,1,12468.0,-7208.790226386885,1,1800,Inf,0,1,0
70,0.022,-276.76328207083367,2,70,35.0,0.1,1,1,0.027,1,0.023,1,0.023,1,0.016,1,531.0,-276.7633189398518,1,0.009418,-276.76328207083367,1,1,1
70,1802.429,-623.1430412679701,2,70,35.0,1.0,0,0,1810.695,0,1803.794,0,1806.104,0,1803.997,0,1.800115e6,Inf,1,0.010048,5.047918698871583e17,0,0,1
70,18.663,-449.79815799456117,2,70,35.0,10.0,1,1,21.424,1,14.273,1,14.553,1,17.633,0,1.800131e6,-631.1225736432677,1,1800,Inf,0,1,0
70,0.019,-146048.30629797274,3,70,35.0,0.1,1,1,0.026,1,0.02,1,0.023,1,0.018,1,250.0,-146048.3255273417,1,0.009708,-146048.30629797274,0,1,0
70,1684.353,-453365.5743836374,3,70,35.0,1.0,1,1,35.978,1,13.208,1,13.673,1,631.297,0,1.800077e6,Inf,1,0.008217,-185083.96530291165,0,0,1
70,20.16,-340975.5825761568,3,70,35.0,10.0,1,1,22.238,1,6.932,1,7.152,1,18.312,0,1.800271e6,Inf,1,1800,Inf,0,0,1
70,0.019,-46348.15535596037,4,70,35.0,0.1,1,1,0.026,1,0.018,1,0.031,1,0.017,1,600.0,-46348.16157010124,1,0.009635,-46348.15535596037,0,1,0
70,9.724,-121442.69026493907,4,70,35.0,1.0,1,1,363.688,1,973.003,1,1262.207,1,8.806,0,1.800237e6,Inf,1,0.009597,56871.0817999512,0,0,1
70,14.822,-89383.45283569061,4,70,35.0,10.0,1,1,20.266,1,12.215,1,12.524,1,13.459,1,14089.0,-121635.95393076986,1,1800,Inf,0,1,0
70,0.021,-3035.668395004075,5,70,35.0,0.1,1,1,0.043,1,0.018,1,0.021,1,0.016,1,193.0,-3035.6688070066743,1,0.009535,-3035.668395004075,0,1,0
70,1808.394,-10590.787319466493,5,70,35.0,1.0,0,0,1805.775,1,47.246,1,147.012,0,1807.644,0,1.800065e6,Inf,1,0.011486,147803.46732895402,0,0,1
70,14.233,-7331.126544898022,5,70,35.0,10.0,1,1,31.785,1,13.078,1,13.302,1,14.152,1,23437.0,-10604.765986660026,1,1800,Inf,0,1,0
70,0.021,-3.0386333812987427e6,6,70,35.0,0.1,1,1,0.028,1,0.018,1,0.021,1,0.015,1,223.0,-3.038633791379924e6,1,0.009271999999999999,-3.0386333812987427e6,0,1,0
70,28.046,-1.1846170889893383e7,6,70,35.0,1.0,1,1,15.389,1,26.051,1,26.666,1,27.729,0,1.800059e6,Inf,1,0.009574,-3.016728304418512e6,0,0,1
70,14.179,-7.633649318769312e6,6,70,35.0,10.0,1,1,20.48,1,7.095,1,7.252,1,13.517,0,1.800052e6,Inf,1,1800,Inf,0,0,1
70,0.019,-3386.4677525452216,7,70,35.0,0.1,1,1,0.025,1,0.019,1,0.024,1,0.017,1,197.0,-3386.468204073605,1,0.009736999999999999,-3386.4677525452216,0,1,0
70,1809.718,-10310.569067394137,7,70,35.0,1.0,0,0,1804.731,1,391.988,1,32.057,1,8.828,0,1.800254e6,Inf,1,0.009765,36268.58520688241,0,0,1
90,0.025,-18670.312276752353,1,90,45.0,0.1,1,1,0.033,1,0.025,1,0.028,1,0.02,1,381.0,-18670.314687832077,1,0.777952,-18670.312276752353,0,1,0
90,1807.552,-51807.109364884636,1,90,45.0,1.0,0,0,1806.511,1,29.923,1,165.318,0,1805.697,0,1.800289e6,Inf,1,0.014813,8.608289138390578e19,0,0,1
90,23.906,-39875.69060634597,1,90,45.0,10.0,1,1,33.178,1,33.4,1,31.664,1,22.817,0,1.800358e6,Inf,1,1800,Inf,0,0,1
90,0.024,-14084.188010188294,2,90,45.0,0.1,1,1,0.032,1,0.023,1,0.025,1,0.035,1,948.0,-14084.189911060435,1,0.014261,-14084.188010188294,0,1,0
90,1807.186,-37403.81550597011,2,90,45.0,1.0,0,0,1809.973,0,1815.245,1,1780.929,0,1812.929,0,1.800578e6,Inf,1,1800,Inf,0,0,1
90,34.532,-27740.677769395013,2,90,45.0,10.0,1,1,24.708,1,31.201,1,34.201,1,33.134,0,1.800188e6,Inf,1,1800,Inf,0,0,1
90,0.025,-4063.3151238691667,3,90,45.0,0.1,1,1,0.029,1,0.034,1,0.027,1,0.02,1,394.0,-4063.3156590159915,1,0.01402,-4063.3151238691667,0,1,0
90,1808.885,-9491.04737677451,3,90,45.0,1.0,0,0,1808.585,0,1809.911,0,1812.46,0,1819.274,0,1.800214e6,Inf,1,1800,Inf,0,0,1
90,21.387,-6394.957922008486,3,90,45.0,10.0,1,1,25.935,1,17.764,1,23.491,1,26.396,1,63873.0,-9591.071386984599,1,1800,Inf,0,1,0
90,0.032,-10504.732237194454,4,90,45.0,0.1,1,1,0.028,1,0.024,1,0.032,1,0.038,1,400.0,-10504.733675322186,1,0.01397,-10504.732237194454,0,1,0
90,15.815,-26797.48337802248,4,90,45.0,1.0,1,0,1804.146,1,12.404,1,17.22,1,18.9,0,1.800357e6,Inf,1,0.014034999999999999,13835.505035570246,0,0,1
90,31.598,-19969.33566322021,4,90,45.0,10.0,1,1,40.749,1,16.611,1,23.786,1,36.718,0,1.800363e6,Inf,1,1800,Inf,0,0,1
90,0.042,-1000.1461563458813,5,90,45.0,0.1,1,1,0.031,1,0.021,1,0.032,1,0.025,1,838.0,-1000.1462936413069,1,0.013484,-1000.1461563458813,0,1,0
90,1800.415,-540.0214914686138,5,90,45.0,1.0,0,0,1807.292,0,1811.017,0,1811.677,0,1807.948,0,1.800323e6,Inf,1,0.024977,9871.303881940545,0,0,1
90,18.595,-2250.2100525934984,5,90,45.0,10.0,1,1,28.959,1,26.741,1,24.24,1,17.318,0,1.800327e6,-3051.3807210737236,1,1800,Inf,0,1,0
90,0.024,-1.4397826701698136e6,6,90,45.0,0.1,1,1,0.029,1,0.021,1,0.025,1,0.019,1,349.0,-1.4397828646013439e6,1,0.013134,-1.4397826701698136e6,0,1,0
90,9.115,-6.064949686289286e6,6,90,45.0,1.0,1,1,17.358,1,9.301,1,8.552,1,8.502,0,1.80045e6,Inf,1,0.012456,-346542.9897039145,0,0,1
90,18.219,-4.0717926895593456e6,6,90,45.0,10.0,1,1,28.573,1,9.351,1,8.602,1,17.164,0,1.800099e6,Inf,1,1800,Inf,0,0,1
90,0.029,-129915.86278481437,7,90,45.0,0.1,1,1,0.031,1,0.022,1,0.028,1,0.018,1,366.0,-129915.88016001413,1,0.012631,-129915.86278481437,0,1,0
90,1808.533,-565906.4472250538,7,90,45.0,1.0,0,0,1807.375,1,9.505,1,8.702,0,1806.16,0,1.800527e6,Inf,1,0.013172,2.435955214604256e17,0,0,1
90,19.295,-430257.28109484864,7,90,45.0,10.0,1,1,42.518,1,16.842,1,15.136,1,18.194,0,1.800138e6,Inf,1,1800,Inf,0,0,1
90,0.023,-118972.5986311546,8,90,45.0,0.1,1,1,0.031,1,0.033,1,0.026,1,0.019,1,397.0,-118972.61442133288,1,0.025046,-118972.5986311546,0,1,0
90,12.945,-411810.8353111659,8,90,45.0,1.0,1,1,24.978,1,95.318,1,20.079,1,12.295,0,1.800058e6,Inf,1,0.020662999999999997,56643.47947562734,0,0,1
90,19.336,-310944.66612599214,8,90,45.0,10.0,1,1,41.965,1,9.438,1,8.677,1,18.234,0,1.800136e6,Inf,1,1800,Inf,0,0,1
90,0.022,-8286.736243114898,9,90,45.0,0.1,1,1,0.036,1,0.024,1,0.027,1,0.018,1,398.0,-8286.737334951093,1,0.012817,-8286.736243114898,0,1,0
90,22.549,-19916.53259530186,9,90,45.0,1.0,1,0,1805.565,1,1534.012,1,913.474,1,12.356,0,1.800337e6,Inf,1,1800,Inf,0,0,1
90,27.074,-16191.90684547305,9,90,45.0,10.0,1,1,25.429,1,8.396,1,9.058,1,25.764,1,234679.0,-19992.822433656773,1,1800,Inf,0,1,0
90,0.022,-95338.92676350637,10,90,45.0,0.1,1,1,0.038,1,0.022,1,0.026,1,0.018,1,374.0,-95338.9393779517,1,0.012242999999999999,-95338.92676350637,0,1,0
90,1809.095,-222531.74527262533,10,90,45.0,1.0,0,0,1808.124,1,60.563,1,82.979,0,1804.196,0,1.800338e6,Inf,1,1800,Inf,0,0,1
90,29.715,-148455.7765054367,10,90,45.0,10.0,1,1,26.107,1,24.523,1,26.483,1,18.746,0,1.800353e6,Inf,1,1800,Inf,0,0,1
70,0.019,-1315.312277217477,8,70,35.0,0.1,1,1,0.026,1,0.018,1,0.023,1,0.016,1,229.0,-1315.3124540981357,1,0.754647,-1315.312277217477,0,1,0
70,0.019,-278.068931115756,9,70,35.0,0.1,1,1,0.025,1,0.027,1,0.028,1,0.016,1,552.0,-278.06896824369113,1,0.010518999999999999,-278.068931115756,1,1,1
70,0.021,-542.5786305155099,10,70,35.0,0.1,1,1,0.025,1,0.024,1,0.026,1,0.016,1,188.0,-542.5787041729059,1,0.010622,-542.5786305155099,1,1,1
70,20.93,-2636.5352286640177,8,70,35.0,10.0,1,1,17.392,1,18.539,1,19.047,1,18.583,1,11874.0,-3313.751348392555,1,1800,Inf,0,1,0
70,19.604,-582.3952971058508,9,70,35.0,10.0,1,1,20.058,1,18.991,1,19.82,1,19.757,0,1.800042e6,-867.3525957932573,1,1800,Inf,0,1,0
70,15.066,-1084.9898863992778,10,70,35.0,10.0,1,1,18.536,1,14.718,1,14.27,1,13.273,0,1.80022e6,-1547.043209513503,1,1800,Inf,0,1,0
70,1807.276,-3207.1562198823235,8,70,35.0,1.0,0,0,1807.325,0,1808.372,0,1807.324,0,1806.066,0,1.800169e6,Inf,1,0.011682,7.251467297354661e16,0,0,1
70,1802.699,-166.78656409484574,9,70,35.0,1.0,0,0,1808.677,0,1808.134,0,1808.942,0,1809.308,0,1.800029e6,Inf,1,0.010773,2027.839599618871,0,0,1
70,1809.759,-1535.1032418680243,10,70,35.0,1.0,0,0,1808.019,0,1806.982,1,257.467,0,1803.561,0,1.800172e6,Inf,1,0.028881999999999998,312.33718939179136,0,0,1
50,162.979,-1780.2059751228712,4,50,25.0,5.0,1,1,22.217,1,11.406,1,10.951,1,44.522,1,263878.0,-2703.2323079263365,1,0.733215,8.383790228745361e17,0,1,0
50,15.284,-54.992002599176246,5,50,25.0,5.0,1,1,28.154,1,9.998,1,9.898,1,10.853,0,1.800066e6,-101.59583475554183,1,1800,Inf,0,1,0
50,13.514,-344.8336567322073,6,50,25.0,5.0,1,1,15.691,1,9.103,1,9.456,1,13.039,0,1.800028e6,Inf,1,0.008261,3.406286855148914e18,0,0,1
50,12.169,-1571.2407154801654,7,50,25.0,5.0,1,1,51.438,1,9.477,1,9.255,1,8.851,1,3950.0,-1824.7863003760501,1,1800,Inf,0,1,0
50,19.937,-1543.7903986283338,8,50,25.0,5.0,1,1,41.837,1,9.583,1,9.504,1,30.03,1,463908.0,-2313.2133567909227,1,1800,Inf,0,1,0
50,10.088,-148.45242534922974,9,50,25.0,5.0,1,1,23.602,1,8.98,1,9.39,1,14.097,0,1.800024e6,-242.17185133599764,1,0.008733,8.436536875959484e19,0,1,0
50,7.781,-29.488026662298502,10,50,25.0,5.0,1,1,31.873,1,6.657,1,6.439,1,7.642,0,1.800031e6,-49.327540389685886,1,1800,Inf,0,1,0
70,43.608,-60760.45674189247,4,70,35.0,5.0,1,1,344.957,1,7.113,1,7.205,1,54.822,0,1.800211e6,Inf,1,1800,Inf,0,0,1
70,14.22,-6698.045349091871,5,70,35.0,5.0,1,1,33.135,1,7.167,1,7.328,1,21.141,0,1.800156e6,Inf,1,1800,Inf,0,0,1
70,91.39,-8.241423943561996e6,6,70,35.0,5.0,1,1,33.766,1,14.088,1,14.429,1,775.551,0,1.800166e6,Inf,1,1800,Inf,0,0,1
70,14.615,-6779.870148959403,7,70,35.0,5.0,1,1,20.478,1,7.177,1,7.288,1,13.318,0,1.800181e6,Inf,1,1800,Inf,0,0,1
70,30.758,-1955.8950478475037,8,70,35.0,5.0,1,1,164.854,1,13.162,1,7.014,1,13.655,0,1.800099e6,Inf,1,1800,Inf,0,0,1
70,19.753,-591.369219490589,9,70,35.0,5.0,1,1,41.618,1,14.123,1,14.138,1,19.926,0,1.800194e6,Inf,1,1800,Inf,0,0,1
70,15.094,-1164.8241197097325,10,70,35.0,5.0,1,1,34.021,1,14.731,1,14.209,1,13.296,0,1.800159e6,Inf,1,1800,Inf,0,0,1
90,21.62,-14054.763890204822,4,90,45.0,5.0,1,1,39.278,1,8.952,1,11.808,1,41.128,0,1.80014e6,Inf,1,1800,Inf,0,0,1
90,27.922,-2062.0580630054087,5,90,45.0,5.0,1,1,30.405,1,18.947,1,17.419,1,17.283,0,1.800243e6,Inf,1,1800,Inf,0,0,1
90,18.239,-2.1317104343689275e6,6,90,45.0,5.0,1,1,70.402,1,9.242,1,8.535,1,84.403,0,1.800208e6,Inf,1,1800,Inf,0,0,1
90,19.236,-285656.52233493637,7,90,45.0,5.0,1,1,54.667,1,9.325,1,8.654,1,18.296,0,1.800155e6,Inf,1,1800,Inf,0,0,1
90,57.178,-218304.83075929398,8,90,45.0,5.0,1,1,49.313,1,9.396,1,8.651,1,27.154,0,1.800439e6,Inf,1,1800,Inf,0,0,1
90,19.368,-13316.99830678982,9,90,45.0,5.0,1,1,25.359,1,8.345,1,8.952,1,18.222,0,1.800147e6,Inf,1,1800,Inf,0,0,1
