seed,dimension,time_boscia,solution_boscia,termination_boscia,time_scip,solution_scip,termination_scip,ncalls_scip
1,20,8.73,-0.2490732818114336,Optimal (tree empty),1.5706660000000001,-0.24907318911053752,OPTIMAL,1401.0
1,20,5.823,-0.2490732818114336,Optimal (tree empty),1.455662,-0.24907318911053752,OPTIMAL,1401.0
2,20,14.192,-5.1345392563138885,OPTIMAL,4.272313,-5.134538934581188,OPTIMAL,2800.0
2,20,13.587,-5.1345392563138885,OPTIMAL,4.302981,-5.134538934581188,OPTIMAL,2800.0
3,20,11.007,-0.7394277769829833,Optimal (tree empty),5.992863,-0.7394274099661895,OPTIMAL,1941.0
3,20,11.543,-0.7394277769829833,Optimal (tree empty),5.985388,-0.7394274099661895,OPTIMAL,1941.0
1,25,6.255,-0.24654794806360103,OPTIMAL,6.427684,-0.24654761700338446,OPTIMAL,3179.0
1,25,6.045,-0.24654794806410493,OPTIMAL,6.441891,-0.24654761700338446,OPTIMAL,3179.0
2,25,5.974,-0.20379936365496193,Optimal (tree empty),3.305218,-0.20379892037605285,OPTIMAL,2125.0
2,25,5.945,-0.20379936365496193,Optimal (tree empty),3.333658,-0.20379892037605285,OPTIMAL,2125.0
3,25,19.104,-0.5449211081101935,OPTIMAL,10.607702,-0.5449206758639398,OPTIMAL,3848.0
3,25,11.281,-0.5449211081110489,OPTIMAL,10.603401999999999,-0.5449206758639398,OPTIMAL,3848.0
1,30,10.85,-0.12340037127994019,Optimal (tree empty),67.181519,-0.12340004550969613,OPTIMAL,7699.0
1,30,11.021,-0.12340037127994019,Optimal (tree empty),68.122757,-0.12340004550969613,OPTIMAL,7699.0
2,30,9.318,-0.20913012724279623,OPTIMAL,58.503102,-0.2091297822675373,OPTIMAL,9570.0
2,30,9.386,-0.20913012724279573,OPTIMAL,58.189608,-0.2091297822675373,OPTIMAL,9570.0
3,30,27.589,-0.5067664386115898,OPTIMAL,52.304341,-0.506766056185435,OPTIMAL,5625.0
3,30,18.302,-0.5067664386111307,OPTIMAL,52.105962,-0.506766056185435,OPTIMAL,5625.0
1,35,8.45,-0.05744557203278261,Optimal (tree empty),284.557866,-0.0574451938516658,OPTIMAL,12159.0
1,35,8.51,-0.05744557203278261,Optimal (tree empty),286.442332,-0.0574451938516658,OPTIMAL,12159.0
2,35,35.437,-0.6323473403445433,OPTIMAL,329.476258,-0.6323469995522583,OPTIMAL,16999.0
2,35,25.013,-0.6323473403427076,OPTIMAL,330.761036,-0.6323469995522583,OPTIMAL,16999.0
3,35,14.679,-0.2857008302696909,OPTIMAL,45.128124,-0.2857005943934086,OPTIMAL,6721.0
3,35,14.484,-0.28570083026968973,OPTIMAL,45.120541,-0.2857005943934086,OPTIMAL,6721.0
1,40,12.695,-0.0821231392873164,OPTIMAL,311.732564,-0.08212280065006261,OPTIMAL,12514.0
1,40,12.665,-0.0821231392873164,OPTIMAL,311.507146,-0.08212280065006261,OPTIMAL,12514.0
2,40,21.371,-0.11049633047779811,OPTIMAL,1002.028678,-0.11049589299155926,OPTIMAL,17581.0
2,40,19.38,-0.1104963304777975,OPTIMAL,999.850005,-0.11049589299155926,OPTIMAL,17581.0
3,40,26.19,-0.2826411164781734,OPTIMAL,1800.009661,-0.2826408280017282,TIME_LIMIT,19130.0
3,40,26.179,-0.2826411164781734,OPTIMAL,1800.095243,-0.2826408280017282,TIME_LIMIT,19131.0
1,45,70.771,-0.7906363479889623,OPTIMAL,1800.000489,7.522323610701946,TIME_LIMIT,16884.0
1,45,70.457,-0.7906363479835339,OPTIMAL,1800.031862,7.522323610701946,TIME_LIMIT,16883.0
2,45,335.062,-10.592133325078636,OPTIMAL,1800.091614,-9.50780624383465,TIME_LIMIT,28212.0
2,45,333.303,-10.592133325078636,OPTIMAL,1800.005555,-9.50780624383465,TIME_LIMIT,28175.0
3,45,229.86,-1.4002230063427374,OPTIMAL,1800.004717,-1.4002227206125184,TIME_LIMIT,15941.0
3,45,232.645,-1.4002230063427374,OPTIMAL,1800.005776,-1.4002227206125184,TIME_LIMIT,15938.0
1,50,380.215,-0.7056653869965827,OPTIMAL,1800.001428,3.5880521245440953,TIME_LIMIT,19926.0
1,50,380.938,-0.7056653870357437,OPTIMAL,1800.000971,3.5880521245440953,TIME_LIMIT,19951.0
2,50,37.099,-0.23052390148148494,OPTIMAL,1800.002095,26.34358092691059,TIME_LIMIT,15663.0
2,50,37.06,-0.23052390148148494,OPTIMAL,1800.001621,26.34358092691059,TIME_LIMIT,15446.0
3,50,217.823,-19.334158975171935,OPTIMAL,1800.303317,-18.220188282267266,TIME_LIMIT,13373.0
3,50,262.661,-19.334158975171935,OPTIMAL,1800.05229,-18.220188282267266,TIME_LIMIT,13460.0
