seed,dimension,var_A,p,k,M,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings
7,15,5,75,15.0,1.0,20049.0,0.2550861897053827,0.38381647866821245,Time limit reached,3377,0,0
7,15,5,75,15.0,1.0,20179.0,0.2551304374455871,0.38381647866821245,Time limit reached,3399,0,0
7,15,5,75,15.0,1.0,20563.0,0.2551304374455871,0.38381647866821245,Time limit reached,3428,0,0
7,15,5,75,15.0,1.0,20703.0,0.2551418783416305,0.38381647866821245,Time limit reached,3452,0,0
7,15,5,75,15.0,1.0,21172.0,0.2551418783416305,0.38381647866821245,Time limit reached,3511,0,0
7,15,5,75,15.0,1.0,21892.0,0.25514688354781845,0.38381647866821245,Time limit reached,3606,0,0
7,15,5,75,15.0,1.0,22290.0,0.25514688354781845,0.38381647866821245,Time limit reached,3673,0,0
7,15,5,75,15.0,1.0,22775.0,0.2551526414454725,0.38381647866821245,Time limit reached,3756,0,0
7,15,5,75,15.0,1.0,23109.0,0.2551526414454725,0.38381647866821245,Time limit reached,3786,0,0
7,15,5,75,15.0,1.0,23266.0,0.2551765040772656,0.38381647866821245,Time limit reached,3813,0,0
7,15,5,75,15.0,1.0,23742.0,0.2551765040772656,0.38381647866821245,Time limit reached,3876,0,0
7,15,5,75,15.0,1.0,24479.0,0.25519968778326,0.38381647866821245,Time limit reached,3971,0,0
7,15,5,75,15.0,1.0,24808.0,0.25519968778326,0.38381647866821245,Time limit reached,4018,0,0
7,15,5,75,15.0,1.0,25195.0,0.25519968778326,0.38381647866821245,Time limit reached,4077,0,0
7,15,5,75,15.0,1.0,25582.0,0.25519968778326,0.38381647866821245,Time limit reached,4133,0,0
7,15,5,75,15.0,1.0,26056.0,0.25520332772700643,0.38381647866821245,Time limit reached,4204,0,0
7,15,5,75,15.0,1.0,26498.0,0.25520332772700643,0.38381647866821245,Time limit reached,4263,0,0
7,15,5,75,15.0,1.0,26948.0,0.25520332772700643,0.38381647866821245,Time limit reached,4329,0,0
7,15,5,75,15.0,1.0,27387.0,0.25520332772700643,0.38381647866821245,Time limit reached,4391,0,0
7,15,5,75,15.0,1.0,28023.0,0.2552966843187363,0.38381647866821245,Time limit reached,4478,0,0
7,15,5,75,15.0,1.0,28350.0,0.2552966843187363,0.38381647866821245,Time limit reached,4526,0,0
7,15,5,75,15.0,1.0,28673.0,0.25530289617611723,0.38381647866821245,Time limit reached,4575,0,0
7,15,5,75,15.0,1.0,29225.0,0.25530289617611723,0.38381647866821245,Time limit reached,4637,0,0
7,15,5,75,15.0,1.0,30476.0,0.25530289617611723,0.38381647866821245,Time limit reached,4726,0,0
7,15,5,75,15.0,1.0,31043.0,0.25530289617611723,0.38381647866821245,Time limit reached,4780,0,0
7,15,5,75,15.0,1.0,31194.0,0.2553246980685083,0.38381647866821245,Time limit reached,4806,0,0
7,15,5,75,15.0,1.0,31580.0,0.2553246980685083,0.38381647866821245,Time limit reached,4859,0,0
7,15,5,75,15.0,1.0,32055.0,0.2553907542299204,0.38381647866821245,Time limit reached,4927,0,0
7,15,5,75,15.0,1.0,32442.0,0.2553907542299204,0.38381647866821245,Time limit reached,4981,0,0
7,15,5,75,15.0,1.0,32912.0,0.2553907542299204,0.38381647866821245,Time limit reached,5051,0,0
7,15,5,75,15.0,1.0,33302.0,0.2553907542299204,0.38381647866821245,Time limit reached,5105,0,0
7,15,5,75,15.0,1.0,33786.0,0.2553907542299204,0.38381647866821245,Time limit reached,5178,0,0
7,15,5,75,15.0,1.0,34244.0,0.2553907542299204,0.38381647866821245,Time limit reached,5241,0,0
7,15,5,75,15.0,1.0,34806.0,0.2553907542299204,0.38381647866821245,Time limit reached,5321,0,0
7,15,5,75,15.0,1.0,35340.0,0.2553907542299204,0.38381647866821245,Time limit reached,5394,0,0
7,15,5,75,15.0,1.0,35989.0,0.25541124479314326,0.38381647866821245,Time limit reached,5483,0,0
7,15,5,75,15.0,1.0,36485.0,0.25541124479314326,0.38381647866821245,Time limit reached,5550,0,0
7,15,5,75,15.0,1.0,37280.0,0.2554223115530777,0.38381647866821245,Time limit reached,5644,0,0
7,15,5,75,15.0,1.0,37661.0,0.2554223115530777,0.38381647866821245,Time limit reached,5700,0,0
7,15,5,75,15.0,1.0,38112.0,0.2554223115530777,0.38381647866821245,Time limit reached,5767,0,0
7,15,5,75,15.0,1.0,38572.0,0.2554223115530777,0.38381647866821245,Time limit reached,5835,0,0
7,15,5,75,15.0,1.0,39118.0,0.2554233045469365,0.38381647866821245,Time limit reached,5918,0,0
7,15,5,75,15.0,1.0,39540.0,0.2554233045469365,0.38381647866821245,Time limit reached,5978,0,0
7,15,5,75,15.0,1.0,40194.0,0.2554276095119859,0.38381647866821245,Time limit reached,6068,0,0
