seed,num_v,number_nodes,solution,termination,time
1,4,103,-10.521637542574986,Optimal,1752.0
1,5,915,-6.753904449487145,Optimal,25507.0
1,6,10339,-6.609683662778987,Optimal,76042.0
1,7,1383,-11.690896520375963,Optimal,11965.0
1,8,3549,-1.0950440073235645,Optimal,31586.0
2,4,75,-12.460514440971282,Optimal,1569.0
2,5,1611,-14.615935568803975,Optimal,15288.0
2,6,775,-9.397598135702887,Optimal,7689.0
2,7,3169,-4.423288944836649,Optimal,34844.0
2,8,5475,-10.365844521626132,Optimal,49187.0
3,4,239,-9.927340786696487,Optimal,2792.0
3,5,1259,-10.774937361571908,Optimal,10996.0
3,6,1187,-3.432676495582343,Optimal,10722.0
3,7,3853,-5.7298678972039,Optimal,44602.0
3,8,101457,-0.9868810548419703,Optimal,863675.0
