seed,dimension,var_A,M,time,solution,termination,calls
1,10,1,0.1,26.760245,0.5458769021897922,OPTIMAL,4236
1,10,5,0.1,28.458626,0.1640766896316716,OPTIMAL,4419
1,10,1,1.0,45.300405,0.5458768132611176,OPTIMAL,5480
1,10,5,1.0,46.932615,0.16407665063426136,OPTIMAL,5532
2,10,1,0.1,29.317572,0.5887957441852589,OPTIMAL,4500
2,10,5,0.1,28.223941,0.20138015722353436,OPTIMAL,4409
2,10,1,1.0,51.185003,0.5887957933448527,OPTIMAL,5902
2,10,5,1.0,51.811109,0.2013801154627148,OPTIMAL,5806
3,10,1,0.1,31.400932,0.6513305035582916,OPTIMAL,4640
3,10,5,0.1,28.965848,0.34839940480199116,OPTIMAL,4440
3,10,1,1.0,52.624486,0.6513304875299277,OPTIMAL,5923
3,10,5,1.0,50.144444,0.3483993765665458,OPTIMAL,5741
1,15,1,0.1,369.634177,0.5959992122162118,OPTIMAL,12541
1,15,5,0.1,344.014696,0.21761248054241655,OPTIMAL,11610
1,15,1,1.0,577.697452,0.595999195292392,OPTIMAL,14581
1,15,5,1.0,558.692897,0.2176124017743089,OPTIMAL,14374
2,15,1,0.1,379.477494,0.6145468616747076,OPTIMAL,12688
2,15,5,0.1,353.876839,0.2407687484443538,OPTIMAL,11873
2,15,1,1.0,595.557189,0.6145467916130238,OPTIMAL,15046
2,15,5,1.0,568.685753,0.24076874158848433,OPTIMAL,14349
3,15,1,0.1,0.988494,0.2960759564778511,OPTIMAL,636
3,15,5,0.1,154.844642,0.033556757897138155,OPTIMAL,6921
3,15,1,1.0,424.621851,0.23502551565103702,OPTIMAL,13200
3,15,5,1.0,507.743493,0.033190557714413524,OPTIMAL,14187
